Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP10089,Male,Yes,0,Not Graduate,Self Employed,31979,15545,249944,360,1,Rural,N
LP10090,Female,Yes,1,Graduate,Self Employed,115671,32553,486647,120,1,Rural,N
LP10091,Female,No,2,Not Graduate,Salaried,100242,42358,70668,300,1,Rural,Y
LP10092,Female,No,2,Not Graduate,Salaried,41021,13159,119289,120,1,Semiurban,N
LP10093,Male,No,0,Not Graduate,Self Employed,79385,4934,123797,240,0,Semiurban,Y
LP10094,Male,No,0,Not Graduate,Self Employed,106188,49087,402500,360,1,Rural,Y
LP10095,Male,No,0,Not Graduate,Self Employed,47015,42444,83143,300,1,Urban,N
LP10096,Female,Yes,2,Not Graduate,Self Employed,33220,6369,173102,300,0,Rural,N
LP10097,Female,No,0,Not Graduate,Self Employed,103841,6489,487095,180,1,Rural,N
LP10098,Male,No,3+,Not Graduate,Salaried,65537,6511,409493,120,1,Semiurban,N
LP10099,Male,Yes,1,Graduate,Self Employed,104870,13900,386437,360,0,Urban,N
LP10100,Male,Yes,0,Not Graduate,Salaried,45152,38429,163220,360,0,Semiurban,N
LP10101,Male,No,0,Graduate,Salaried,50853,52331,141486,120,0,Semiurban,N
