customer_id,customer_age,account_age_days,transaction_count,average_transaction,total_spending,purchase_frequency
CUST0056,42,635,21,73.34,1662.24,0.99
CUST0057,41,631,42,212.96,9479.33,2.0
CUST0058,40,331,22,59.83,1111.36,1.99
CUST0059,53,724,16,38.4,634.66,0.66
CUST0060,28,290,13,16.34,179.42,1.34
CUST0061,46,490,116,50.06,6000.88,7.1
CUST0062,29,878,25,36.99,1053.48,0.85
CUST0063,39,662,16,72.5,1296.68,0.73
CUST0064,18,1085,24,28.35,687.23,0.66
CUST0065,28,937,20,60.13,1144.47,0.64
CUST0066,40,1394,20,36.99,759.42,0.43
CUST0067,44,384,13,31.74,460.29,1.02
CUST0068,34,1216,19,68.99,1241.76,0.47
CUST0069,24,497,18,49.57,813.83,1.09
CUST0070,45,890,20,35.37,684.47,0.67
CUST0071,51,1247,94,41.17,3915.53,2.26
CUST0072,18,1108,18,30.73,538.18,0.49
CUST0073,36,752,20,17.86,355.08,0.8
CUST0074,40,654,20,41.3,913.21,0.92
CUST0075,39,471,21,84.89,1937.37,1.34
CUST0076,20,1107,27,43.38,1085.72,0.73
CUST0077,38,297,25,78.13,1938.57,2.53
CUST0078,36,1122,15,34.55,486.39,0.4
CUST0079,32,386,21,93.19,1884.56,1.63
CUST0080,44,558,18,59.56,883.34,0.97
CUST0081,44,837,19,47.15,719.35,0.68
CUST0082,31,334,22,32.57,747.9,1.98
CUST0083,51,651,20,22.41,457.9,0.92
CUST0084,24,673,20,138.8,2706.7,0.89
CUST0085,56,925,22,31.61,636.4,0.71
CUST0086,24,397,34,51.17,1765.98,2.57
CUST0087,50,328,1,6.37,6.37,0.09
CUST0088,24,333,20,24.94,483.39,1.8
CUST0089,41,569,21,46.06,1121.32,1.11
CUST0090,44,1320,20,26.82,523.77,0.45
CUST0091,29,1278,9,37.43,313.04,0.21
CUST0092,43,523,19,95.89,1747.41,1.09
CUST0093,26,783,24,60.86,1518.31,0.92
CUST0094,30,496,33,41.57,1173.4,2.0
CUST0095,37,401,21,19.09,446.84,1.57
CUST0096,37,994,109,653.08,73064.05,3.29
CUST0097,40,510,15,38.07,602.71,0.88
CUST0098,42,282,11,52.98,529.13,1.17
CUST0099,63,531,22,15.0,311.15,1.24
CUST0100,44,557,17,91.23,1891.83,0.92
CUST0101,37,607,22,50.72,1161.89,1.09
CUST0102,35,669,26,20.08,567.16,1.17
CUST0103,35,333,16,63.29,1107.25,1.44
CUST0104,38,812,25,47.87,1219.91,0.92
CUST0105,29,1913,16,34.71,511.82,0.25
CUST0106,53,817,25,73.01,1836.25,0.92
CUST0107,38,1331,14,47.1,663.14,0.32
CUST0108,26,525,24,48.15,1166.62,1.37
CUST0109,27,1583,20,21.7,423.83,0.38
CUST0110,44,337,30,32.9,1041.89,2.67
CUST0111,39,665,19,36.56,612.92,0.86
CUST0112,29,926,17,20.02,352.19,0.55
CUST0113,26,376,18,25.15,449.09,1.44
CUST0114,26,1287,12,23.46,302.05,0.28
CUST0115,39,474,14,56.94,796.76,0.89
CUST0116,32,1035,15,15.0,190.35,0.43
CUST0117,18,1206,18,75.83,1269.67,0.45
CUST0118,39,246,20,28.9,505.97,2.44
CUST0119,18,349,15,38.47,607.1,1.29
CUST0120,28,447,15,53.95,793.52,1.01
CUST0121,50,680,25,55.06,1408.13,1.1
CUST0122,42,755,19,98.98,1970.05,0.75
CUST0123,18,725,10,49.84,510.96,0.41
CUST0124,27,370,21,46.33,904.13,1.7
CUST0125,25,1075,23,63.68,1339.8,0.64
CUST0126,44,1375,15,56.08,839.98,0.33
CUST0127,38,1001,25,60.46,1497.53,0.75
CUST0128,48,164,13,158.56,2174.01,2.38
CUST0129,42,377,19,75.19,1356.99,1.51
CUST0130,41,404,25,47.79,1167.69,1.86
CUST0131,24,227,17,31.25,494.81,2.25
CUST0132,30,1535,20,80.99,1787.83,0.39
CUST0133,30,441,18,20.02,334.34,1.22
CUST0134,20,652,23,77.88,1936.2,1.06
CUST0135,48,1013,20,39.75,885.32,0.59
CUST0136,38,863,25,26.06,633.14,0.87
CUST0137,18,527,21,15.0,305.39,1.2
CUST0138,44,676,23,21.42,453.57,1.02
CUST0139,26,411,16,19.79,318.98,1.17
CUST0140,42,706,18,26.64,474.81,0.76
CUST0141,28,1426,2,6.84,13.69,0.04
CUST0142,23,545,24,23.0,634.48,1.32
CUST0143,23,759,21,28.68,578.09,0.83
CUST0144,18,913,19,22.24,446.83,0.62
CUST0145,27,821,23,25.36,557.91,0.84
CUST0146,18,949,21,59.54,1351.13,0.66
CUST0147,39,1047,14,34.85,601.97,0.4
CUST0148,26,325,13,23.27,309.62,1.2
CUST0149,31,1413,21,46.4,852.94,0.45
CUST0150,38,1135,15,39.48,646.47,0.4
CUST0151,21,752,21,59.63,1299.9,0.84
CUST0152,18,625,19,81.72,1479.28,0.91
CUST0153,52,1037,13,73.95,1025.43,0.38
CUST0154,18,940,27,38.56,1166.58,0.86
CUST0155,25,537,20,29.88,527.99,1.12
CUST0156,39,1408,21,40.36,740.68,0.45
CUST0157,38,605,20,66.56,1236.35,0.99
CUST0158,31,396,20,178.01,3840.43,1.52
CUST0159,21,488,23,32.95,765.51,1.41
CUST0160,47,981,122,1207.12,144643.63,3.73
CUST0161,41,420,17,37.2,665.18,1.21
CUST0162,34,340,19,95.28,2025.87,1.68
CUST0163,33,446,21,57.81,1450.77,1.41
CUST0164,44,648,16,45.46,777.47,0.74
CUST0165,48,1348,20,82.19,1538.0,0.45
CUST0166,36,979,17,31.26,465.41,0.52
CUST0167,36,520,16,29.78,579.01,0.92
CUST0168,42,634,15,26.42,410.05,0.71
CUST0169,18,1190,16,74.57,1345.56,0.4
CUST0170,52,292,21,76.14,1474.44,2.16
CUST0171,23,877,135,52.33,7192.84,4.62
CUST0172,33,950,15,33.69,485.89,0.47
CUST0173,41,714,24,54.56,1449.34,1.01
CUST0174,33,786,22,23.41,581.45,0.84
CUST0175,48,419,21,46.07,1087.97,1.5
CUST0176,56,700,15,23.18,289.59,0.64
CUST0177,36,1098,26,69.07,1727.03,0.71
CUST0178,42,1536,20,73.54,1465.46,0.39
CUST0179,41,846,8,35.96,302.84,0.28
CUST0180,47,562,17,30.56,519.55,0.91
CUST0181,35,804,22,50.95,1127.17,0.82
CUST0182,34,1301,20,70.8,1532.19,0.46
CUST0183,32,1020,20,25.06,532.35,0.59
CUST0184,36,438,20,24.86,528.76,1.37
CUST0185,45,469,13,29.99,373.96,0.83
CUST0186,24,524,13,39.57,501.5,0.74
CUST0187,43,824,21,102.32,2335.16,0.76
CUST0188,33,626,19,102.1,1842.92,0.91
CUST0189,32,765,2,12.87,25.74,0.08
CUST0190,18,1654,11,85.63,873.62,0.2
CUST0191,25,1328,18,81.32,1577.31,0.41
CUST0192,45,698,14,61.77,871.81,0.6
CUST0193,29,1053,21,41.69,796.68,0.6
CUST0194,50,923,17,33.13,528.9,0.55
CUST0195,25,1329,25,31.35,769.21,0.56
CUST0196,21,211,11,53.6,566.31,1.56
CUST0197,37,407,14,26.81,384.01,1.03
CUST0198,24,1995,19,54.79,917.31,0.29
CUST0199,39,465,15,15.0,214.06,0.97
CUST0200,45,624,32,18.12,639.34,1.54
CUST0201,39,685,19,64.57,1271.07,0.83
CUST0202,35,256,19,26.71,475.49,2.23
CUST0203,25,957,18,32.37,606.55,0.56
CUST0204,40,644,15,51.09,802.25,0.7
CUST0205,40,202,25,18.12,497.23,3.71
CUST0206,32,1020,22,37.55,815.58,0.65
CUST0207,33,729,19,39.77,749.31,0.78
CUST0208,29,383,20,35.01,659.45,1.57
CUST0209,37,527,22,15.0,328.1,1.25
CUST0210,35,615,18,15.0,261.88,0.88
CUST0211,33,1048,20,41.23,819.73,0.57
CUST0212,39,434,18,103.66,1642.64,1.24
CUST0213,41,1679,17,40.3,665.91,0.3
CUST0214,39,564,13,21.0,257.47,0.69
CUST0215,36,1338,13,31.02,419.05,0.29
CUST0216,33,468,25,49.37,1187.96,1.6
CUST0217,44,536,143,87.75,12991.93,8.0
CUST0218,36,473,22,18.23,389.1,1.4
CUST0219,46,848,132,34.8,4663.43,4.67
CUST0220,41,1232,22,21.93,469.04,0.54
CUST0221,53,527,18,156.06,2964.3,1.02
CUST0222,35,626,15,66.17,978.48,0.72
CUST0223,35,495,23,27.35,646.53,1.39
CUST0224,40,677,19,20.72,346.0,0.84
CUST0225,39,1327,21,20.31,444.85,0.47
CUST0226,35,2231,14,59.58,803.13,0.19
CUST0227,37,768,18,68.87,1174.61,0.7
CUST0228,42,663,22,53.47,1291.91,1.0
CUST0229,36,585,19,31.95,630.9,0.97
CUST0230,22,938,13,43.32,533.73,0.42
CUST0231,27,349,23,71.04,1516.64,1.98
CUST0232,51,690,17,141.68,2504.01,0.74
CUST0233,29,663,18,22.52,368.87,0.81
CUST0234,34,864,21,39.29,691.75,0.73
CUST0235,32,658,21,114.53,2649.31,0.96
CUST0236,32,450,26,28.07,634.73,1.73
CUST0237,35,543,22,23.89,540.54,1.22
CUST0238,46,196,19,42.74,921.47,2.91
CUST0239,36,1709,21,71.19,1417.92,0.37
CUST0240,31,533,22,3653.78,82062.22,1.24
CUST0241,36,734,19,123.76,2675.42,0.78
CUST0242,41,1484,16,31.1,475.42,0.32
CUST0243,19,1130,19,34.55,712.17,0.5
CUST0244,52,221,16,84.44,1316.02,2.17
CUST0245,23,1375,23,38.07,877.17,0.5
CUST0246,38,1314,25,23.16,617.96,0.57
CUST0247,50,745,12,15.0,201.31,0.48
CUST0248,44,451,21,58.14,1164.79,1.4
CUST0249,47,1283,15,15.0,203.4,0.35
CUST0250,42,235,20,63.44,1347.24,2.55
CUST0251,32,361,17,60.92,912.36,1.41
CUST0252,57,403,9,28.64,250.87,0.67
CUST0253,70,325,18,45.46,826.45,1.66
CUST0254,44,695,23,92.52,2096.49,0.99
CUST0255,40,78,26,80.95,2366.52,10.0
CUST0256,39,709,13,76.83,975.18,0.55
CUST0257,39,713,32,66.75,2198.92,1.35
CUST0258,37,354,29,76.74,2413.34,2.46
CUST0259,48,444,21,33.9,767.3,1.42
CUST0260,31,1004,16,45.54,743.5,0.48
CUST0261,53,907,19,42.37,812.43,0.63
CUST0262,29,998,26,50.48,1179.27,0.78
CUST0263,23,783,22,16.26,330.22,0.84
CUST0264,32,299,27,21.62,579.29,2.71
CUST0265,38,163,25,16.5,386.74,4.6
CUST0266,33,1562,14,23.36,334.47,0.27
CUST0267,38,599,20,64.24,1205.28,1.0
CUST0268,32,490,24,47.54,1129.08,1.47
CUST0269,30,884,23,37.63,884.1,0.78
CUST0270,32,645,15,84.94,1235.05,0.7
CUST0271,25,593,14,121.96,1728.55,0.71
CUST0272,28,782,28,55.44,1631.1,1.07
CUST0273,31,903,18,30.67,552.32,0.6
CUST0274,18,1367,17,55.29,971.71,0.37
CUST0275,51,390,14,152.19,1809.32,1.08
CUST0276,18,606,21,45.74,909.12,1.04
CUST0277,32,604,13,72.96,1018.2,0.65
CUST0278,39,489,22,20.66,476.81,1.35
CUST0279,36,571,14,57.04,868.07,0.74
CUST0280,46,694,23,95.34,2050.29,0.99
CUST0281,38,619,27,15.0,385.37,1.31
CUST0282,30,497,14,17.98,247.93,0.85
CUST0283,39,60,17,37.15,592.31,8.5
CUST0284,45,1343,21,61.9,1315.89,0.47
CUST0285,51,492,18,54.86,1018.57,1.1
CUST0286,34,578,20,105.57,1854.81,1.04
CUST0287,44,551,24,55.69,1422.31,1.31
CUST0288,37,744,20,96.19,1899.95,0.81
CUST0289,23,412,18,71.68,1283.09,1.31
CUST0290,18,730,25,21.11,621.52,1.03
CUST0291,28,568,90,1404.73,131452.98,4.75
CUST0292,24,524,27,39.26,1192.33,1.55
CUST0293,18,546,16,69.01,1058.48,0.88
CUST0294,36,1673,26,21.84,516.95,0.47
CUST0295,42,311,19,53.97,1070.13,1.83
CUST0296,40,898,20,72.78,1430.79,0.67
CUST0297,21,1414,18,26.3,514.29,0.38
CUST0298,26,1185,22,35.84,688.64,0.56
CUST0299,20,625,17,64.25,1109.2,0.82
CUST0300,32,1320,16,64.71,1113.33,0.36
CUST0301,31,1892,15,48.16,721.3,0.24
CUST0302,33,531,21,37.04,758.34,1.19
CUST0303,30,1049,19,43.37,945.06,0.54
CUST0304,47,2197,13,73.69,955.88,0.18
CUST0305,36,719,13,55.75,716.39,0.54
CUST0306,35,349,20,45.69,904.27,1.72
CUST0307,36,367,19,29.96,610.71,1.55
CUST0308,53,548,18,36.09,596.69,0.99
CUST0309,34,590,16,43.87,653.73,0.81
CUST0310,43,125,16,53.93,879.37,3.84
CUST0311,28,728,24,51.85,1368.32,0.99
CUST0312,47,460,19,28.38,559.06,1.24
CUST0313,38,1027,19,64.16,1432.46,0.56
CUST0314,20,1099,17,43.34,749.74,0.46
CUST0315,49,1272,19,91.2,1929.43,0.45
CUST0316,24,1583,17,38.82,620.58,0.32
CUST0317,27,907,24,59.2,1428.43,0.79
CUST0318,43,1014,16,29.48,402.42,0.47
CUST0319,45,1039,24,28.22,661.3,0.69
CUST0320,38,515,17,28.18,488.73,0.99
CUST0321,37,575,22,54.69,1371.81,1.15
CUST0322,35,697,25,98.95,2389.53,1.08
CUST0323,37,972,18,7183.27,131226.3,0.56
CUST0324,33,875,17,52.44,800.59,0.58
CUST0325,30,395,14,59.5,832.76,1.06
CUST0326,50,1156,15,54.95,834.86,0.39
CUST0327,36,1182,17,40.39,719.49,0.43
CUST0328,52,947,20,49.47,1018.54,0.63
CUST0329,54,688,19,66.26,1471.3,0.83
CUST0330,46,932,20,49.32,1068.61,0.64
CUST0331,43,407,21,18.03,393.75,1.55
CUST0332,27,610,22,42.82,1019.11,1.08
CUST0333,30,925,16,26.36,438.81,0.52
CUST0334,29,494,17,26.17,436.55,1.03
CUST0335,31,912,17,30.27,486.02,0.56
CUST0336,44,782,14,88.34,1201.88,0.54
CUST0337,24,722,12,17.81,189.33,0.5
CUST0338,44,722,20,39.56,727.17,0.83
CUST0339,49,417,28,19.79,544.53,2.01
CUST0340,43,381,17,38.39,670.46,1.34
CUST0341,47,834,23,22.81,608.03,0.83
CUST0342,18,439,19,39.27,767.19,1.3
CUST0343,38,408,20,20.4,397.37,1.47
CUST0344,41,1137,20,90.46,1847.0,0.53
CUST0345,39,770,22,19.67,467.48,0.86
CUST0346,39,679,16,40.77,682.93,0.71
CUST0347,36,549,19,39.56,743.24,1.04
CUST0348,35,818,20,28.54,586.39,0.73
CUST0349,36,813,13,70.53,806.14,0.48
CUST0350,47,1509,20,15.0,300.06,0.4
CUST0351,26,849,12,32.61,392.2,0.42
CUST0352,34,886,37,21.44,725.03,1.25
CUST0353,46,766,33,502.43,18222.19,1.29
CUST0354,35,345,28,38.0,1092.74,2.43
CUST0355,36,319,16,40.69,675.09,1.5
CUST0356,26,615,12,24.17,286.45,0.59
CUST0357,28,506,13,39.72,517.54,0.77
CUST0358,39,645,15,54.01,726.71,0.7
CUST0359,18,265,16,70.01,1322.06,1.81
CUST0360,27,923,24,15.0,383.49,0.78
CUST0361,39,603,24,49.47,1346.87,1.19
CUST0362,38,547,17,63.0,1071.26,0.93
CUST0363,39,723,23,44.19,1187.81,0.95
CUST0364,42,520,20,55.02,1104.44,1.15
CUST0365,19,653,18,77.83,1497.3,0.83
CUST0366,19,614,23,20.3,457.07,1.12
CUST0367,33,897,17,43.82,688.76,0.57
CUST0368,23,510,17,23.14,385.79,1.0
CUST0369,18,54,28,47.33,1196.76,15.56
CUST0370,34,779,21,50.58,1063.24,0.81
CUST0371,40,1223,27,22.25,621.53,0.66
CUST0372,42,1301,17,35.87,570.91,0.39
CUST0373,36,838,20,53.77,1060.51,0.72
CUST0374,31,542,20,18.54,391.64,1.11
CUST0375,52,608,19,215.15,4292.11,0.94
CUST0376,32,261,18,27.93,458.52,2.07
CUST0377,31,834,16,39.36,650.9,0.58
CUST0378,31,666,17,21.49,319.6,0.77
CUST0379,35,1115,14,42.04,593.08,0.38
CUST0380,34,304,24,75.89,1845.56,2.37
CUST0381,39,777,12,38.59,474.78,0.46
CUST0382,29,801,19,31.71,679.62,0.71
CUST0383,41,369,20,57.76,1152.29,1.63
CUST0384,45,1075,16,28.63,451.33,0.45
CUST0385,43,840,20,32.43,580.6,0.71
CUST0386,37,703,25,28.08,730.68,1.07
CUST0387,34,1261,17,26.75,508.82,0.4
CUST0388,54,514,15,15.0,205.23,0.88
CUST0389,38,762,2,9.96,19.91,0.08
CUST0390,54,331,22,57.04,1297.38,1.99
CUST0391,58,359,21,40.25,768.22,1.75
CUST0392,19,1171,19,30.79,628.8,0.49
CUST0393,48,1201,17,40.65,678.0,0.42
CUST0394,40,1071,19,28.46,581.89,0.53
CUST0395,29,696,19,6592.76,130480.25,0.82
CUST0396,45,402,21,59.55,1350.71,1.57
CUST0397,45,401,27,18.84,561.76,2.02
CUST0398,42,672,25,17.3,384.0,1.12
CUST0399,47,462,18,60.05,1064.05,1.17
CUST0400,38,433,15,37.92,604.84,1.04
CUST0401,38,791,19,43.51,760.66,0.72
CUST0402,55,795,27,38.23,1013.2,1.02
CUST0403,42,391,19,25.67,510.66,1.46
CUST0404,29,310,17,26.31,473.9,1.65
CUST0405,18,409,19,25.62,471.56,1.39
CUST0406,31,955,18,52.84,967.33,0.57
CUST0407,23,522,10,19.26,197.48,0.57
CUST0408,28,534,18,15.0,279.06,1.01
CUST0409,42,930,26,15.0,439.02,0.84
CUST0410,33,673,16,45.54,783.75,0.71
CUST0411,32,915,16,42.82,571.75,0.52
CUST0412,34,716,20,26.73,539.65,0.84
CUST0413,56,615,18,49.15,934.72,0.88
CUST0414,53,816,20,36.08,811.2,0.74
CUST0415,39,273,15,38.2,556.65,1.65
CUST0416,33,479,21,22.67,457.78,1.32
CUST0417,41,667,20,26.05,514.21,0.9
CUST0418,25,296,17,39.76,669.77,1.72
CUST0419,23,645,9,24.5,231.47,0.42
CUST0420,35,180,45,433.8,20683.33,7.5
CUST0421,29,575,21,17.47,327.92,1.1
CUST0422,32,240,19,19.01,409.5,2.38
CUST0423,36,1106,25,34.03,845.11,0.68
CUST0424,35,389,2,7.16,14.32,0.15
CUST0425,41,917,15,63.05,988.29,0.49
CUST0426,27,310,16,52.54,758.6,1.55
CUST0427,36,1033,18,45.67,723.71,0.52
CUST0428,38,1060,17,49.09,828.37,0.48
CUST0429,44,315,21,69.48,1361.47,2.0
CUST0430,36,218,22,57.47,1376.88,3.03
CUST0431,24,1459,22,36.04,872.89,0.45
CUST0432,18,252,25,91.11,2291.84,2.98
CUST0433,31,322,18,15.0,281.51,1.68
CUST0434,19,725,29,44.09,1359.52,1.2
CUST0435,32,710,18,88.92,1633.2,0.76
CUST0436,34,907,16,21.0,381.98,0.53
CUST0437,24,704,18,21.42,394.41,0.77
CUST0438,36,438,21,7494.01,156514.45,1.44
CUST0439,39,1016,29,55.8,1580.32,0.86
CUST0440,23,666,22,15.0,348.76,0.99
CUST0441,31,858,22,33.48,608.7,0.77
CUST0442,29,1008,20,17.53,330.08,0.6
CUST0443,18,1348,14,59.31,901.14,0.31
CUST0444,25,252,21,19.58,404.67,2.5
CUST0445,36,1426,31,53.78,1910.08,0.65
CUST0446,33,673,17,28.28,495.21,0.76
CUST0447,40,418,22,62.71,1305.53,1.58
CUST0448,21,724,12,52.66,555.55,0.5
CUST0449,29,559,29,29.31,893.61,1.56
CUST0450,24,702,22,88.57,2148.74,0.94
CUST0451,28,545,27,31.52,878.96,1.49
CUST0452,28,572,70,654.7,46845.58,3.67
CUST0453,35,1072,21,30.93,662.08,0.59
CUST0454,38,1573,18,29.35,537.22,0.34
CUST0455,38,945,15,29.67,440.82,0.48
CUST0456,29,762,24,19.57,447.12,0.94
CUST0457,37,1114,19,52.39,997.99,0.51
CUST0458,27,234,18,19.63,352.85,2.31
CUST0459,35,486,126,26.99,3421.66,7.78
CUST0460,47,444,19,57.65,1166.89,1.28
CUST0461,49,1357,18,23.87,364.02,0.4
CUST0462,38,684,21,21.27,397.63,0.92
CUST0463,23,560,16,27.5,483.83,0.86
CUST0464,38,313,19,42.75,791.18,1.82
CUST0465,53,899,19,85.25,1612.88,0.63
CUST0466,43,360,14,45.75,633.06,1.17
CUST0467,40,352,31,523.43,16300.78,2.64
CUST0468,37,506,28,18.73,541.51,1.66
CUST0469,33,444,14,15.0,211.64,0.95
CUST0470,23,490,20,40.24,852.12,1.22
CUST0471,32,911,27,54.5,1448.96,0.89
CUST0472,25,762,18,46.42,953.24,0.71
CUST0473,40,279,19,63.44,1305.85,2.04
CUST0474,44,896,14,35.11,430.98,0.47
CUST0475,32,550,19,69.42,1432.69,1.04
CUST0476,27,200,13,25.58,383.97,1.95
CUST0477,27,810,14,52.37,768.53,0.52
CUST0478,33,1358,16,17.19,271.36,0.35
CUST0479,42,272,14,69.22,861.97,1.54
CUST0480,37,1384,20,75.55,1390.58,0.43
CUST0481,18,299,23,53.21,1307.51,2.31
CUST0482,29,1437,16,53.73,814.01,0.33
CUST0483,53,735,14,49.77,630.91,0.57
CUST0484,36,527,20,23.27,487.72,1.14
CUST0485,37,1223,21,29.46,596.14,0.52
CUST0486,37,833,17,37.72,653.79,0.61
CUST0487,26,840,27,96.2,2567.9,0.96
CUST0488,18,961,23,40.54,885.59,0.72
CUST0489,42,480,11,61.08,705.21,0.69
CUST0490,18,1397,25,37.27,935.69,0.54
CUST0491,39,248,110,54.59,6152.75,13.31
CUST0492,33,776,15,26.79,439.67,0.58
CUST0493,34,591,20,61.86,1045.87,1.02
CUST0494,19,881,15,41.3,538.05,0.51
CUST0495,36,1054,18,53.09,866.87,0.51
CUST0496,23,850,21,24.23,450.3,0.74
CUST0497,23,300,25,15.0,350.47,2.5
CUST0498,25,402,26,37.52,846.34,1.94
CUST0499,31,1013,19,21.85,356.25,0.56
CUST0500,27,732,21,58.59,1132.0,0.86
CUST0501,34,555,17,34.27,554.52,0.92
CUST0502,45,327,19,42.83,731.89,1.74
CUST0503,39,520,10,102.83,861.57,0.58
CUST0504,27,686,20,17.98,339.03,0.87
CUST0505,44,797,21,20.54,450.01,0.79
CUST0506,29,393,18,18.62,373.18,1.37
CUST0507,27,788,18,16.15,271.11,0.69
CUST0508,50,704,14,30.36,390.24,0.6
CUST0509,36,770,26,46.09,1164.19,1.01
CUST0510,24,376,15,22.08,299.05,1.2
CUST0511,43,2000,14,47.86,665.27,0.21
CUST0512,39,699,13,38.03,534.98,0.56
CUST0513,43,397,27,15.0,414.63,2.04
CUST0514,40,753,16,15.0,237.11,0.64
CUST0515,22,750,25,40.33,964.21,1.0
CUST0516,30,659,20,93.12,1832.07,0.91
CUST0517,48,1334,18,20.89,383.81,0.4
CUST0518,28,401,22,33.73,644.42,1.65
CUST0519,30,372,22,26.12,547.66,1.77
CUST0520,28,896,16,31.02,499.52,0.54
CUST0521,27,555,12,40.3,469.09,0.65
CUST0522,39,1270,23,35.1,757.83,0.54
CUST0523,37,645,1,6.35,6.35,0.05
CUST0524,35,153,12,57.84,662.66,2.35
CUST0525,35,234,24,41.8,1081.59,3.08
CUST0526,28,456,27,25.52,697.3,1.78
CUST0527,41,492,17,50.19,899.13,1.04
CUST0528,47,524,19,34.3,619.11,1.09
CUST0529,42,372,23,95.46,2060.68,1.85
CUST0530,27,792,15,50.21,747.31,0.57
CUST0531,39,430,15,51.67,714.7,1.05
CUST0532,36,574,15,29.58,448.19,0.78
CUST0533,32,743,19,15.0,298.33,0.77
CUST0534,23,840,16,4206.89,68225.93,0.57
CUST0535,30,269,20,94.25,1884.23,2.23
CUST0536,36,449,1,10.61,10.61,0.07
CUST0537,30,484,22,82.89,1773.12,1.36
CUST0538,26,1070,16,81.22,1306.87,0.45
CUST0539,33,1036,13,26.36,329.96,0.38
CUST0540,32,922,21,44.61,956.45,0.68
CUST0541,26,809,21,55.4,1061.06,0.78
CUST0542,40,1071,23,86.06,2055.58,0.64
CUST0543,41,1264,27,15.0,428.44,0.64
CUST0544,39,1110,18,46.09,909.36,0.49
CUST0545,22,325,107,523.96,56996.81,9.88
CUST0546,47,606,14,15.0,209.32,0.69
CUST0547,45,611,15,64.53,1155.78,0.74
CUST0548,21,339,19,61.92,1114.43,1.68
CUST0549,33,1012,21,19.54,408.97,0.62
CUST0550,47,1333,19,62.37,1157.46,0.43
CUST0551,46,1059,24,42.52,1085.61,0.68
CUST0552,18,353,16,15.39,244.64,1.36
CUST0553,29,892,20,79.29,1646.75,0.67
CUST0554,27,540,16,18.15,315.73,0.89
CUST0555,31,447,16,19.45,320.13,1.07
CUST0556,36,248,22,57.99,1203.86,2.66
CUST0557,48,316,22,114.78,2503.69,2.09
CUST0558,38,1334,18,79.32,1267.26,0.4
CUST0559,38,598,17,33.34,605.56,0.85
CUST0560,26,508,18,25.81,507.07,1.06
CUST0561,42,386,22,39.29,785.6,1.71
CUST0562,38,478,13,15.0,177.93,0.82
CUST0563,33,874,16,16.9,290.13,0.55
CUST0564,40,875,19,79.95,1640.14,0.65
CUST0565,31,1123,18,51.6,968.94,0.48
CUST0566,21,914,17,26.36,535.6,0.56
