Customer ID,Age,Annual Income,Spending Score,Purchase Frequency,Recency,Engagement,Cluster
C084,24,116825,20,20,38,40,0
C085,26,76661,57,26,130,90,2
C086,41,51024,18,2,135,55,3
C087,18,90313,47,27,162,87,3
C088,25,73006,49,24,91,39,1
C089,41,115285,14,27,17,15,2
C090,28,35338,15,13,128,4,1
C091,34,88027,31,6,171,93,3
C092,25,112772,1,5,108,86,1
C093,52,100135,54,25,179,25,2
C094,52,39508,3,1,152,13,2
C095,50,23051,16,21,25,82,2
C096,22,68747,87,22,180,33,0
C097,59,107142,57,21,88,16,1
C098,56,107235,75,6,161,42,3
C099,58,74021,12,6,177,66,3
C100,45,86412,74,23,29,55,3
C101,24,78335,96,16,63,99,0
C102,26,76179,16,4,150,42,0
C103,25,52093,72,30,154,34,2
C104,29,89678,76,11,156,30,3
C105,51,100738,24,30,114,13,0
C106,50,59734,28,30,49,13,2
C107,40,92615,8,30,81,18,3
C108,41,93523,92,24,84,32,1
C109,54,114476,36,23,105,96,2
C110,52,37019,90,9,177,99,0
C111,57,103613,8,23,148,39,0
C112,39,111794,58,3,118,46,2
C113,44,106672,60,19,86,29,2
C114,52,93847,50,8,63,62,0
C115,18,102750,28,5,104,93,1
C116,52,99634,92,4,49,62,3
C117,54,48251,41,24,71,57,1
C118,31,45945,100,6,1,16,2
C119,20,110852,64,2,141,56,1
C120,18,52217,27,20,179,10,0
C121,22,28308,63,28,123,30,2
C122,43,25949,17,11,62,25,3
C123,31,71990,73,4,32,84,0
C124,56,21150,33,15,158,5,0
C125,44,109480,84,6,29,65,3
C126,26,94740,77,22,49,94,3
C127,32,86617,92,17,173,49,1
C128,32,114841,29,30,30,3,2
C129,43,36896,13,24,144,45,3
C130,59,66175,46,6,168,14,3
C131,30,27805,35,19,19,30,2
C132,49,25237,6,30,18,68,3
C133,56,40056,82,25,1,18,3
C134,49,65543,69,2,78,62,1
C135,21,76556,47,15,115,37,0
C136,47,23343,25,11,175,25,0
C137,54,33500,66,8,113,48,0
C138,40,73222,10,26,114,65,0
C139,56,49375,56,19,166,53,3
C140,32,29662,30,13,179,79,2
C141,60,36964,5,12,63,73,2
C142,46,79638,33,5,132,15,1
C143,53,93666,65,6,129,49,1
C144,30,105067,18,26,8,88,3
C145,49,87215,96,22,157,68,2
C146,24,89042,49,4,55,12,2
C147,39,33284,11,19,103,59,0
C148,45,92789,85,20,131,37,3
C149,19,104664,26,1,32,61,3
C150,59,113468,63,20,10,43,0
C151,23,81389,89,17,110,70,3
C152,45,29435,86,12,162,39,3
C153,45,74340,59,15,124,56,1
C154,37,64078,27,1,87,63,2
C155,47,98832,49,26,55,46,3
C156,28,71293,77,14,32,88,1
C157,45,115981,33,6,178,11,2
C158,42,98781,98,5,135,62,0
C159,56,80403,99,30,93,77,1
C160,50,49124,1,11,8,98,1
C161,18,115435,21,4,65,25,2
C162,44,63919,55,13,57,71,0
C163,30,55247,6,11,67,52,1
C164,58,114758,92,3,72,4,3
C165,20,111747,81,1,54,59,3
C166,56,82752,69,6,67,72,3
C167,23,76573,95,18,51,20,0
C168,25,79101,5,24,97,93,1
C169,44,46646,3,10,92,63,3
C170,26,43049,53,5,8,54,0
C171,54,99605,23,23,162,74,3
C172,50,118116,53,10,35,98,2
C173,59,117379,37,12,96,57,1
C174,41,88385,74,2,88,90,1
C175,32,60158,74,13,78,41,0
C176,49,85417,83,8,32,3,0
C177,49,43289,17,2,120,6,1
C178,41,29823,85,20,46,5,3
C179,58,80160,78,1,144,5,3
C180,29,61975,73,5,165,54,2
C181,56,29540,1,9,142,47,3
C182,19,36364,51,17,55,87,0
C183,20,24611,45,9,176,49,0
C184,54,47663,77,11,7,9,3
C185,34,71991,4,15,74,99,0
C186,19,77679,62,24,7,20,1
C187,19,50977,65,6,161,61,1
C188,45,114704,32,23,151,35,3
C189,40,69115,34,3,85,50,1
C190,54,111007,92,30,147,82,1
C191,49,108223,95,17,112,62,2
C192,50,80890,72,5,125,17,2
C193,18,86387,39,30,147,88,1
C194,36,38071,26,28,36,3,3
C195,19,79275,34,12,29,32,2
C196,43,92369,54,18,82,99,0
C197,49,31938,3,14,2,13,0
C198,23,55195,50,21,129,89,0
C199,49,111680,12,24,47,73,3
C200,21,24000,65,11,148,68,1
C201,28,90588,54,9,11,14,0
C202,34,113610,5,2,130,98,3
C203,55,117856,94,12,119,11,2
C204,41,58304,94,3,140,56,1
C205,22,89449,57,3,20,67,2
C206,51,102986,17,1,5,92,3
C207,23,109643,47,8,37,29,0
C208,39,40764,23,22,166,9,0
C209,28,106027,79,28,137,67,3
C210,33,58494,85,29,53,25,0
C211,50,23373,14,8,172,98,1
C212,26,32161,66,11,99,76,3
C213,23,117532,75,9,86,42,2
C214,33,112658,51,5,108,9,3
C215,46,47350,38,14,24,79,1
C216,20,113008,64,28,81,40,1
C217,37,114297,98,30,158,25,3
C218,53,45351,38,3,120,5,3
C219,36,108668,50,21,59,11,0
C220,43,35305,98,5,128,59,1
C221,20,95353,82,5,114,98,3
C222,36,96797,30,19,115,88,3
C223,37,85953,79,27,14,79,1
C224,49,77458,91,14,9,38,3
C225,24,40358,51,26,40,72,0
C226,58,23267,63,30,25,5,1
C227,50,102745,98,4,103,48,0
C228,57,109588,52,25,22,90,0
C229,56,58513,38,13,4,18,0
C230,35,46092,97,10,154,70,0
C231,57,31338,88,25,29,37,1
C232,18,20412,79,18,109,60,0
C233,28,27543,30,8,98,48,0
C234,45,53496,51,8,37,77,3
C235,42,80692,81,7,75,28,1
C236,40,109084,5,8,70,69,1
C237,48,112920,29,14,146,77,2
C238,47,64425,4,19,128,81,1
C239,59,58756,10,29,85,40,1
C240,52,38888,56,6,42,45,2
C241,24,55735,17,1,100,96,1
C242,33,67295,74,23,41,62,1
C243,43,103042,17,15,166,93,1
C244,19,105999,84,1,34,58,1
C245,18,37955,88,25,17,67,2
C246,29,57841,69,17,165,56,1
C247,22,90640,34,1,153,40,1
C248,54,85510,6,15,122,98,2
C249,49,54911,53,23,76,40,3
C250,26,79031,66,2,87,91,0
C251,58,108726,77,14,117,77,3
C252,52,27357,43,21,106,33,2
C253,36,52479,75,8,86,6,0
C254,33,81476,23,8,27,88,2
C255,20,64811,55,19,57,19,2
C256,37,56208,80,7,31,80,1
C257,41,40150,95,19,134,40,0
C258,50,91180,75,6,168,92,1
C259,41,63286,16,6,98,97,0
C260,28,88450,8,3,12,59,2
C261,25,41352,4,7,53,59,2
C262,53,75069,4,19,138,48,3
C263,55,34397,56,8,173,41,0
C264,57,61555,25,10,145,13,1
C265,37,66959,67,20,154,45,3
C266,52,20728,96,15,122,89,3
C267,42,70517,67,15,46,53,3
C268,52,86234,27,29,64,42,1
C269,42,59954,93,1,130,100,3
C270,46,67280,32,20,54,63,1
C271,35,99459,50,30,107,27,3
C272,35,36779,61,7,51,38,1
C273,19,83932,51,27,36,60,2
C274,52,92936,19,4,115,7,2
C275,33,44466,21,29,26,5,2
C276,58,56939,5,6,29,45,2
C277,53,89896,82,25,149,58,2
C278,50,55270,92,1,11,31,3
C279,21,79163,42,29,40,23,3
C280,50,102637,61,5,11,42,3
C281,31,71934,22,27,164,10,1
C282,38,84895,21,23,113,32,1
C283,37,52307,70,1,39,53,1
C284,25,74098,1,30,54,30,1
C285,24,80921,5,4,98,39,2
C286,20,25486,12,22,55,31,2
C287,34,28335,90,2,111,82,2
C288,50,106900,46,10,152,100,0
C289,29,109112,34,5,150,2,3
C290,39,117203,49,27,69,78,1
C291,39,31130,78,10,56,77,1
C292,47,107508,90,1,33,93,2
C293,55,80566,45,22,36,12,1
C294,55,86703,27,6,148,39,1
C295,25,47192,73,13,81,66,3
C296,44,21062,26,15,109,96,2
C297,44,104076,47,4,154,13,3
C298,51,109780,86,13,73,46,0
C299,38,41545,56,24,40,27,0
C300,47,41689,94,20,17,17,0
