Transaction_Amount,Transaction_Hour,Account_Age_Days,Previous_Transactions,Failed_Transactions,Device_Trust_Score,Location_Change,International_Transaction,Transaction_Frequency,Fraud
26.59,7,2347,287,2,7.98,0,0,5,0
314.17,19,2882,450,1,30.68,0,0,8,0
30.47,21,638,92,4,3.59,0,0,8,0
48.32,10,2689,106,4,50.04,0,0,5,0
150.43,9,1180,13,5,39.48,0,1,7,1
19.48,23,336,146,0,55.7,1,0,8,0
83.72,11,1448,478,1,29.88,0,0,1,0
246.45,20,2267,119,0,48.58,1,1,4,0
13.36,5,1431,203,1,33.47,0,0,5,0
80.21,19,1136,141,1,19.52,0,0,1,0
86.48,4,2693,115,1,64.94,0,0,7,0
145.74,22,1790,152,0,67.34,1,0,3,0
19.36,8,1541,57,3,82.92,0,0,3,0
17.81,15,1924,382,2,87.48,0,0,3,0
112.39,21,2925,157,0,70.45,0,0,9,0
89.75,13,1242,440,1,68.75,0,1,4,0
85.67,21,1966,310,2,5.67,0,0,3,0
94.3,7,2485,133,7,10.98,0,0,1,0
33.78,19,402,163,5,81.26,0,0,5,0
84.12,18,835,275,3,23.3,1,0,4,0
89.4,13,2973,183,0,35.56,1,0,5,0
32.64,6,1922,77,1,14.53,1,1,8,0
430.86,4,2405,325,2,19.52,1,0,2,0
107.11,17,59,44,1,77.54,0,0,2,0
20.26,1,2973,206,1,26.19,1,0,2,0
128.58,10,1406,38,1,44.9,0,0,1,0
25.16,21,1060,318,5,15.17,1,1,8,1
146.51,7,809,22,2,67.79,0,1,11,0
212.43,0,1802,73,1,72.83,0,0,2,0
29.35,21,2706,241,3,36.17,0,1,3,1
174.75,11,1373,424,5,78.47,0,0,2,0
100.76,1,2358,154,1,23.99,1,0,7,1
151.72,17,1575,237,3,69.19,0,1,9,0
444.43,6,2223,381,1,73.0,0,0,4,0
52.18,16,2373,5,3,96.87,0,0,4,0
31.38,21,10,221,5,23.23,0,0,5,0
27.4,22,1029,310,2,9.37,0,0,2,0
29.49,13,1294,86,1,26.3,0,0,7,0
61.74,23,72,177,0,12.29,0,1,4,0
93.8,6,2540,259,1,16.97,0,0,6,0
87.94,21,1879,220,3,33.41,1,0,5,0
152.5,2,2279,38,4,41.4,0,0,5,0
67.56,5,161,142,1,90.37,0,0,2,0
285.3,19,653,431,5,19.56,1,0,6,0
51.18,1,635,398,2,97.18,1,1,8,0
1012.49,16,226,235,3,81.02,1,1,5,0
124.67,11,205,203,1,88.15,0,0,3,0
28.3,11,1024,329,3,92.94,0,1,5,0
22.85,16,2704,294,1,75.32,0,0,9,0
108.04,9,2765,448,5,78.88,0,0,2,0
53.33,2,1531,495,4,43.78,0,0,7,0
136.18,19,1588,172,2,51.05,0,0,4,0
107.04,17,1090,125,3,93.25,0,0,7,0
62.0,12,1537,326,1,37.83,1,1,8,1
28.59,11,731,65,2,4.19,1,0,3,0
14.66,16,1617,281,1,76.28,0,0,3,0
42.67,3,1769,272,5,57.32,0,0,7,0
157.02,22,1572,244,1,81.49,0,1,6,0
82.61,9,649,15,2,7.56,0,1,8,0
19.19,10,2163,226,0,62.12,0,0,8,0
79.3,5,174,465,1,24.77,1,0,4,0
98.03,5,224,131,0,90.33,0,0,5,0
27.55,8,1104,195,3,10.99,0,0,6,0
77.77,14,99,293,0,84.31,0,0,3,0
70.68,1,1805,209,4,8.86,0,0,4,0
21.26,3,2931,439,1,2.51,0,0,6,0
95.37,4,1261,381,2,23.51,0,1,5,1
116.84,16,1112,113,2,33.3,1,0,5,0
196.97,7,617,244,2,62.65,0,0,6,0
191.29,7,358,166,1,13.17,1,0,6,1
16.82,21,2951,191,2,43.73,0,0,4,0
26.11,11,255,257,0,20.43,1,0,9,0
111.61,20,281,327,5,85.53,0,0,6,0
111.47,7,2040,218,4,4.5,0,0,0,0
111.61,18,412,495,4,35.59,0,1,2,1
3142.37,2,1475,359,1,63.14,0,0,5,0
118.02,17,1205,275,1,91.31,0,0,1,0
207.59,20,2955,52,3,86.8,1,1,5,0
173.12,18,1089,374,1,89.52,0,0,3,0
127.92,18,1624,158,3,6.29,1,0,5,0
48.65,14,1136,363,0,84.09,0,0,7,0
142.45,5,293,55,1,77.99,0,1,7,0
30.79,15,526,14,3,90.24,0,0,6,0
52.62,7,2675,269,2,31.16,1,0,6,0
41.04,15,1311,340,3,91.18,0,0,1,1
72.38,17,621,90,2,40.26,0,0,7,0
674.96,19,759,27,1,63.41,1,1,6,0
10.31,15,1302,89,2,42.42,0,0,5,0
132.46,10,1866,393,1,42.76,0,0,3,0
13.29,6,409,41,1,54.66,0,0,6,0
41.6,16,1536,304,3,35.59,0,0,3,0
198.14,16,2034,268,6,79.27,0,1,3,0
71.11,11,2143,138,1,63.36,1,0,7,0
22.7,12,329,6,2,68.98,1,0,4,0
32.61,9,1065,242,5,23.1,0,1,3,0
131.58,6,345,162,2,96.96,0,1,5,0
32.12,13,2108,180,0,66.02,0,0,5,0
82.8,22,183,297,4,19.72,0,0,4,0
69.8,0,1651,467,1,75.05,0,0,6,0
34.76,16,510,6,1,17.37,0,0,3,0
569.04,3,2133,386,0,6.34,0,0,3,0
125.7,20,2373,271,1,52.76,0,1,8,0
8.8,4,1866,401,3,55.35,0,1,3,0
80.35,19,1906,272,3,18.9,1,1,8,0
34.41,23,1673,156,2,34.84,0,0,4,0
156.4,22,1728,85,0,94.58,0,1,7,0
30.19,6,1788,200,2,28.5,0,0,3,0
59.46,9,706,10,1,15.56,0,0,3,0
110.5,16,741,138,3,99.26,0,0,3,0
158.5,6,1104,242,0,30.23,0,1,7,0
20.08,0,2911,394,1,68.03,0,0,7,1
47.73,6,2723,201,3,23.16,0,1,3,0
41.47,23,661,156,4,55.01,1,1,0,0
34.7,10,1104,408,0,38.63,0,0,3,0
389.73,8,55,275,2,96.16,0,1,5,0
99.98,11,1080,225,1,43.28,0,1,2,0
18.9,2,1455,68,1,58.42,0,0,7,0
166.98,3,2206,184,2,94.48,0,0,6,0
556.77,3,2967,195,1,98.92,1,0,5,0
187.25,12,465,42,4,10.17,0,0,4,0
14.59,22,1672,396,3,83.43,0,0,9,0
41.09,18,2934,402,3,38.21,0,0,6,1
236.73,9,975,151,3,59.48,0,1,4,0
32.86,4,2030,84,4,37.5,0,1,5,0
103.94,6,878,134,1,40.11,0,0,10,0
144.7,23,1538,309,3,15.89,0,0,4,0
26.39,15,2986,354,3,57.28,0,0,3,0
62.83,0,1010,298,3,54.67,0,0,7,0
2.61,11,783,450,4,18.94,0,0,10,0
23.94,1,2301,30,1,54.17,0,0,5,0
51.8,6,2531,9,1,97.31,0,0,3,0
19.15,10,2439,475,0,71.44,0,0,3,0
341.18,12,1136,170,6,48.1,0,1,5,1
15.96,1,2546,290,0,91.61,0,0,8,0
42.95,6,1070,168,1,57.53,0,0,5,0
76.0,14,1687,344,3,13.5,0,0,3,0
281.82,10,1553,497,1,54.75,0,0,4,0
15.87,1,406,145,2,18.1,0,0,4,0
213.4,6,2353,413,1,76.75,0,0,6,0
67.37,3,116,228,1,96.72,0,0,4,0
24.99,10,2917,306,2,36.08,0,0,5,0
105.86,1,963,76,2,43.49,0,0,6,0
81.37,15,2587,223,2,42.15,1,0,5,1
36.59,6,1858,177,2,28.53,0,0,7,0
71.51,12,943,457,2,79.42,1,0,6,0
45.36,4,297,189,2,61.77,0,0,6,0
74.7,16,715,467,4,6.41,0,0,5,0
129.3,20,2053,302,1,83.88,0,0,3,0
325.71,11,1494,46,1,18.71,1,1,5,0
19.34,18,224,382,2,97.92,0,1,4,0
562.86,6,1314,17,2,37.67,0,0,3,0
9.47,5,2789,66,3,61.64,0,0,3,0
57.3,7,1987,360,2,7.78,0,0,4,0
120.1,12,1492,261,1,34.47,0,1,5,0
88.32,4,1834,123,3,80.24,0,1,3,0
35.78,1,353,231,5,47.72,1,0,4,1
54.16,8,203,438,2,90.46,0,0,2,0
40.73,10,167,125,3,57.51,0,0,2,0
36.99,23,474,112,1,92.86,0,0,2,0
155.96,5,2161,272,4,98.26,0,1,4,0
95.3,6,2091,81,3,45.39,0,0,1,0
33.35,6,2696,246,2,56.52,0,0,6,0
163.96,18,1759,347,3,83.49,0,1,9,0
90.68,5,2382,391,2,22.15,0,0,7,0
150.33,10,2748,392,1,86.16,1,0,7,0
125.16,10,601,328,1,59.19,0,0,3,0
29.11,6,2198,215,3,72.55,0,0,6,0
38.08,1,2531,352,4,7.99,0,0,4,0
140.79,18,1064,235,5,76.62,0,0,9,0
122.78,3,893,367,3,31.08,0,0,7,1
65.31,5,72,82,2,80.52,0,0,5,0
74.99,16,1120,294,0,50.92,0,0,2,0
239.29,4,313,310,3,27.46,1,1,4,0
36.91,6,1094,76,3,95.28,0,0,4,0
115.25,8,405,15,3,76.51,0,0,1,0
54.48,0,343,220,1,98.57,1,0,10,0
53.64,0,2843,230,2,36.45,0,0,5,0
200.09,18,420,434,3,64.92,0,0,7,0
152.23,5,2341,440,1,61.16,1,0,4,0
150.43,17,475,479,4,68.76,0,0,6,0
246.04,9,89,372,2,3.83,0,0,2,0
68.1,10,2841,265,2,29.17,0,0,8,0
131.89,0,1110,264,2,90.93,0,1,4,0
48.9,0,1987,110,1,42.38,1,1,3,0
92.22,12,742,403,2,96.06,0,0,4,0
58.55,4,1827,307,1,21.35,0,0,5,0
73.48,19,1573,200,5,99.74,1,0,3,0
120.92,0,1394,226,3,69.76,0,1,4,0
29.42,19,2134,185,1,77.64,0,0,3,0
540.44,2,2566,452,2,39.69,1,0,3,0
24.39,17,1197,31,3,90.7,1,0,7,0
19.8,8,1208,102,3,54.55,0,0,5,0
212.32,13,2519,259,5,68.09,0,0,6,0
147.18,16,1621,99,1,9.48,0,0,9,0
124.48,22,2302,339,0,63.17,0,1,7,0
125.0,13,131,299,0,87.91,0,0,6,0
65.87,3,194,285,4,17.83,0,0,8,1
27.19,4,41,266,0,73.77,0,0,3,0
71.94,20,1007,140,1,2.54,0,0,7,0
33.88,16,1996,302,1,92.62,0,0,5,0
176.82,21,2819,286,2,98.29,0,1,10,1
57.57,1,578,350,1,35.42,1,0,5,0
29.21,22,2367,466,3,10.71,0,0,8,0
48.36,21,1405,216,4,65.86,0,0,11,0
100.78,4,1689,32,2,2.98,0,0,4,0
37.95,3,839,457,3,48.25,0,0,4,0
29.31,3,1629,303,2,27.18,0,1,5,1
85.09,5,1089,88,2,47.33,0,0,4,0
85.2,19,800,63,2,1.83,0,0,5,0
40.17,20,2521,410,2,5.16,0,0,5,0
41.64,12,2735,387,4,1.6,0,0,12,1
84.1,21,2727,279,1,61.91,0,0,4,0
15.67,4,2755,459,1,56.01,0,0,1,0
16.32,22,1003,74,1,23.32,1,0,7,0
32.51,22,87,306,5,64.66,1,0,5,0
53.87,6,2591,420,4,88.42,1,0,3,0
91.0,19,117,124,1,27.73,0,1,3,0
291.59,0,1306,269,2,83.2,0,0,3,0
157.22,13,2821,382,4,66.25,0,0,6,0
56.83,23,2072,285,0,3.38,0,0,7,1
65.43,3,379,422,3,37.51,0,0,6,0
24.47,16,2262,461,3,50.78,0,0,8,0
65.46,20,2014,121,3,73.17,0,0,7,0
49.97,13,1713,346,4,28.71,0,0,4,0
92.09,15,2922,212,2,98.27,0,0,4,0
29.16,13,450,389,2,68.45,1,0,5,0
112.09,15,2916,148,1,37.28,0,0,3,0
308.81,23,236,78,3,9.7,0,0,4,0
59.81,19,2585,365,3,18.14,0,1,2,0
99.65,7,2411,14,2,48.76,0,0,4,0
132.97,23,632,136,2,49.47,0,1,4,0
44.65,2,1034,304,2,76.77,1,0,6,0
83.44,18,1586,397,5,72.62,0,0,12,0
67.53,0,2984,280,3,20.13,0,0,4,0
73.53,1,1653,79,2,59.5,0,0,1,0
30.78,14,1194,243,3,2.06,0,0,2,0
68.34,21,170,193,4,39.85,0,1,7,0
109.73,9,880,470,3,76.41,0,0,3,0
284.62,17,1755,418,1,39.95,0,0,6,0
174.04,21,1184,242,0,83.56,1,0,4,0
574.32,13,453,51,7,97.62,0,0,2,0
30.96,16,1800,232,2,60.72,0,0,6,0
159.54,12,1504,259,4,14.5,0,0,7,1
80.11,0,472,384,0,37.97,0,0,3,0
595.74,4,482,375,1,0.95,0,0,5,0
29.72,12,2614,218,2,60.27,0,0,6,0
28.8,13,89,206,1,82.16,0,1,9,0
36.62,23,1072,314,0,62.99,0,0,6,0
7.97,2,249,489,1,78.61,0,0,6,0
39.42,14,566,381,1,79.99,0,0,3,0
31.21,18,599,456,0,85.1,1,0,4,0
77.51,16,1370,369,2,26.67,0,0,6,0
93.86,2,1894,311,3,87.13,0,0,3,0
435.36,15,1985,375,2,65.41,0,0,4,0
172.5,13,1313,120,8,28.97,0,0,5,1
37.45,11,1149,80,1,98.73,0,0,7,0
27.16,11,2326,42,1,95.02,1,0,6,0
109.06,10,1949,21,5,57.44,0,1,8,0
17.81,16,344,10,2,84.32,1,0,5,0
416.32,7,321,313,1,26.15,0,0,3,0
216.9,16,1086,153,2,41.6,0,0,5,0
41.71,20,2751,312,2,18.4,0,0,3,0
12.02,22,43,294,3,52.01,0,0,4,0
258.24,19,1851,86,3,49.6,0,1,1,0
59.47,10,395,113,1,21.28,0,0,3,1
229.94,1,258,189,1,67.28,0,1,2,0
13.54,9,1144,112,4,11.78,1,0,4,0
36.62,9,1443,175,3,6.17,0,0,4,1
67.04,10,1212,310,2,38.49,1,0,3,0
69.89,5,803,302,3,40.98,1,0,1,0
42.52,3,861,452,3,31.97,0,0,4,0
124.32,23,2931,4,1,25.79,0,0,2,0
22.93,11,385,222,3,33.88,0,1,3,0
57.84,10,733,450,0,16.34,0,0,1,0
75.21,22,1620,221,1,40.35,1,0,5,0
111.55,22,1923,171,3,90.46,0,0,6,0
135.86,12,211,318,0,22.44,0,0,8,0
21.66,4,2502,484,2,68.45,0,0,5,0
14.38,5,1952,213,3,14.18,1,1,3,1
239.29,0,2354,253,4,35.39,0,0,7,0
92.97,5,1341,124,1,32.12,1,0,7,0
31.55,17,502,128,3,93.7,0,0,4,0
314.55,21,347,213,0,42.8,0,0,4,0
74.86,8,1978,112,1,69.05,1,0,5,0
216.87,23,2980,85,1,60.25,1,0,4,0
71.34,14,1875,4,3,14.1,0,0,4,0
523.61,7,801,65,2,93.95,0,0,5,0
385.81,18,1526,318,0,34.59,0,0,4,0
51.99,23,2032,346,2,4.48,0,0,1,0
176.19,15,2374,120,2,30.04,0,0,5,0
127.15,5,951,243,4,33.56,0,0,3,0
262.08,5,2683,386,3,9.27,0,0,6,0
25.41,21,2132,137,5,62.0,0,0,7,0
132.43,2,2996,247,2,34.68,0,1,3,0
192.18,9,68,441,4,62.91,0,0,4,0
11.49,0,2443,45,3,0.67,1,1,5,0
20.42,13,2072,146,5,98.2,0,1,5,0
8.68,3,1264,368,0,17.05,0,0,5,0
50.94,11,2256,176,1,65.93,0,0,5,0
136.67,5,1387,42,2,71.58,0,0,3,0
299.57,10,44,297,2,17.16,0,0,5,0
71.82,11,171,459,1,11.17,0,1,3,0
339.89,9,2856,89,3,15.26,0,0,4,1
16.78,17,904,218,6,24.68,1,0,7,0
12.14,6,480,442,5,16.82,0,1,5,0
63.08,6,2588,228,0,67.4,0,0,5,0
97.91,10,2849,298,2,42.08,1,0,2,0
64.54,3,2909,291,0,53.78,1,0,6,0
8.44,19,1456,422,3,4.73,1,1,2,1
61.0,0,357,67,1,86.12,0,1,1,0
18.09,12,703,251,4,17.06,0,1,4,0
130.28,17,944,41,2,36.02,0,0,5,0
96.22,8,922,99,3,7.19,0,0,6,0
26.05,23,156,306,0,13.68,0,0,8,0
39.89,23,1721,360,2,66.58,0,1,5,0
23.12,8,684,342,2,69.26,0,0,9,0
62.63,22,1449,456,1,67.7,0,0,2,0
173.32,8,2744,79,4,55.21,0,0,3,0
24.89,9,1527,301,1,95.25,0,0,3,0
110.39,1,1289,199,1,50.72,0,0,6,0
39.24,5,695,147,1,44.94,0,0,13,0
30.18,14,1136,488,3,24.75,0,0,4,1
59.92,2,130,106,2,9.88,0,0,6,0
23.68,10,2476,401,0,54.82,0,0,5,0
38.33,5,2407,193,6,31.49,1,0,3,1
20.13,2,51,493,2,52.4,0,0,4,0
475.67,23,38,477,1,20.61,0,0,9,0
69.08,10,975,122,1,83.82,0,1,4,0
33.12,14,1925,77,4,99.97,1,1,2,0
82.6,12,2842,312,4,32.24,0,1,6,0
59.6,19,2010,112,2,84.23,0,0,5,0
53.47,9,2071,349,5,87.3,0,1,5,0
123.24,5,929,297,1,99.61,1,0,9,1
142.24,14,827,170,0,34.27,0,1,6,1
39.23,17,2882,6,4,75.6,0,0,3,0
37.49,17,1518,197,7,22.88,0,0,5,0
50.65,6,1222,98,3,62.48,0,0,6,0
6.67,14,881,459,2,70.48,0,1,4,0
14.66,17,304,329,1,74.11,0,0,3,0
261.62,17,873,230,2,20.72,0,0,0,0
345.49,19,2605,168,1,84.87,0,0,5,0
51.99,8,1047,297,1,42.1,0,1,3,0
118.69,23,2692,265,3,21.64,0,1,7,0
91.04,1,604,8,3,54.25,0,0,4,0
1449.36,7,1192,172,6,86.34,1,0,2,0
204.3,19,1527,442,3,96.71,0,0,7,0
58.68,1,1362,360,1,74.82,0,0,2,0
25.65,10,623,195,4,0.56,0,1,3,0
13.38,6,1882,269,3,13.47,1,0,4,0
81.73,5,1613,19,2,7.63,0,0,6,0
31.3,9,1593,354,7,10.12,0,0,11,1
16.08,4,1602,352,1,38.3,0,0,5,0
34.93,10,1165,49,0,33.85,0,0,6,1
22.61,0,474,464,1,11.37,0,0,9,0
360.37,1,1489,356,2,88.22,1,0,4,0
161.04,23,2987,338,5,61.54,0,1,0,0
66.16,0,1300,462,1,79.65,0,0,6,0
292.93,18,2856,158,2,37.15,1,0,6,0
72.05,1,2452,66,1,41.02,0,0,3,0
28.18,20,2303,461,2,31.76,0,1,8,1
305.86,19,577,347,1,43.84,0,0,4,0
114.31,22,47,59,0,61.04,0,0,7,0
23.64,20,254,309,1,49.3,0,0,7,0
55.13,23,30,308,4,83.79,0,0,6,0
27.78,3,1143,337,0,90.01,0,0,6,0
16.73,11,1639,159,2,46.97,0,0,6,0
168.37,21,403,271,3,23.97,1,0,1,0
450.08,19,1443,121,1,94.52,0,0,6,0
16.47,17,996,254,2,73.5,0,0,5,0
117.09,0,1681,404,3,64.01,0,1,8,0
34.79,0,2065,261,4,74.54,0,1,1,0
40.97,23,2385,135,3,7.6,0,0,2,0
36.88,13,1920,274,5,6.76,0,0,8,0
28.11,3,299,56,1,15.31,0,0,6,0
70.0,4,1796,331,2,14.75,1,0,7,0
29.05,10,2568,96,2,42.07,0,1,6,1
87.4,23,921,114,2,15.74,0,0,3,0
63.42,22,370,475,3,85.45,0,1,2,0
52.51,12,1632,474,2,57.81,0,1,3,0
26.91,15,2773,357,2,36.83,0,0,9,1
37.46,23,228,429,5,6.96,1,0,4,0
141.94,12,2463,28,2,59.1,0,0,2,0
110.05,23,2025,306,2,11.65,1,0,8,0
25.09,21,2050,2,3,74.32,0,0,6,0
73.65,1,2054,212,1,80.28,0,0,4,0
141.37,15,2810,68,3,54.4,0,0,9,0
12.56,5,2980,128,1,14.96,1,1,6,0
114.82,13,841,333,2,78.69,0,1,4,0
34.38,0,1803,24,2,30.78,0,0,4,0
117.99,16,1801,253,2,22.27,0,1,5,0
31.09,10,2851,368,2,47.06,0,0,3,0
10.97,18,1253,230,5,92.26,0,1,6,0
13.1,2,604,488,3,29.74,0,0,4,0
69.97,10,2164,176,0,90.56,0,1,5,0
86.46,4,590,429,1,5.37,0,0,4,0
27.0,16,2666,375,1,8.35,0,0,4,0
126.29,21,1757,221,0,69.86,0,0,2,0
12.66,6,2065,442,2,19.06,0,0,5,0
62.42,9,2863,36,4,31.66,0,0,2,0
19.87,10,2246,2,3,13.64,0,1,5,0
34.75,2,90,383,0,33.22,0,0,7,0
69.92,19,2165,361,1,28.05,0,1,6,0
28.21,9,1354,274,3,73.63,0,0,4,0
45.4,9,1612,177,3,70.2,0,1,0,0
182.42,13,2743,264,2,95.49,0,0,3,0
37.45,11,355,186,1,72.44,0,0,5,0
153.81,14,1896,15,1,69.48,0,0,9,0
21.55,9,2385,489,0,69.42,0,0,3,0
113.27,9,564,401,3,88.3,0,1,7,0
281.9,18,311,279,2,29.62,0,0,4,0
5.63,0,209,194,2,30.01,0,0,6,1
30.06,23,2950,198,3,74.12,0,0,5,0
118.76,9,1072,349,1,22.87,0,0,6,0
54.43,1,316,411,1,91.2,0,0,2,0
96.65,16,1666,421,3,53.48,0,1,5,0
36.45,23,1881,305,3,30.01,0,0,8,0
72.72,6,2525,64,3,77.61,0,0,6,0
57.07,6,2236,290,1,31.23,0,0,9,0
214.39,19,2702,18,0,96.33,1,0,7,0
86.01,8,1856,64,3,98.3,0,0,3,0
93.47,21,1774,362,2,66.68,0,0,2,0
44.17,1,285,330,2,11.36,0,0,8,1
40.95,13,1185,358,3,26.32,0,0,3,0
43.27,16,1411,251,2,51.54,0,0,7,0
98.93,0,2678,428,6,85.14,0,0,6,0
43.77,8,647,17,1,18.49,1,0,2,0
