CustomerID,Age,TenureMonths,MonthlyRevenue,SupportTickets,MonthlyLogins,Contract,Segment,ChurnRisk,Churn
C00074,24,41,136.95,2,14,Two Year,Value,0.101,1
C00075,53,46,45.61,1,9,Monthly,Standard,0.455,1
C00076,42,43,84.22,3,17,Monthly,Standard,0.345,0
C00077,35,40,58.64,3,12,Monthly,Premium,0.487,0
C00078,29,47,40.66,2,15,Monthly,Value,0.431,1
C00079,47,1,193.23,4,17,Monthly,Standard,0.404,0
C00080,52,52,137.87,2,8,Monthly,Standard,0.202,0
C00081,66,45,91.73,3,13,Two Year,Standard,0.16,0
C00082,40,45,101.73,2,7,Monthly,Standard,0.341,0
C00083,26,24,106.3,5,8,Monthly,Standard,0.563,1
C00084,61,49,146.63,1,16,Two Year,Standard,0.06,0
C00085,50,23,205.35,4,9,Annual,Value,0.117,0
C00086,54,3,206.56,4,12,Monthly,Premium,0.391,0
C00087,23,55,98.3,1,9,Monthly,Standard,0.244,1
C00088,34,15,85.85,2,9,Annual,Premium,0.38,0
C00089,57,7,110.21,2,15,Annual,Value,0.329,0
C00090,61,38,133.59,2,19,Annual,Standard,0.098,0
C00091,40,15,112.36,3,8,Monthly,Standard,0.579,1
C00092,59,52,151.75,1,9,Annual,Value,0.065,0
C00093,61,27,130.88,2,14,Annual,Standard,0.164,0
C00094,38,1,84.14,2,12,Annual,Premium,0.479,0
C00095,64,58,89.15,2,15,Two Year,Standard,0.096,0
C00096,32,31,95.72,2,11,Annual,Premium,0.225,1
C00097,30,16,38.93,3,7,Annual,Value,0.549,1
C00098,53,41,53.21,3,11,Annual,Standard,0.271,0
C00099,51,32,164.62,2,18,Annual,Value,0.087,0
C00100,25,2,97.82,1,11,Annual,Value,0.416,0
C00101,61,46,62.91,3,10,Monthly,Value,0.439,0
C00102,28,25,132.53,6,13,Annual,Standard,0.235,0
C00103,59,42,171.11,1,16,Annual,Premium,0.058,0
C00104,18,54,71.48,1,8,Monthly,Standard,0.323,0
C00105,59,37,185.36,5,12,Monthly,Value,0.216,0
C00106,58,41,205.5,2,15,Annual,Value,0.045,0
C00107,58,16,139.48,3,10,Annual,Value,0.247,0
C00108,52,15,153.79,1,9,Monthly,Premium,0.402,0
C00109,42,25,30.52,1,15,Monthly,Premium,0.628,1
C00110,54,52,209.1,2,14,Monthly,Value,0.08,0
C00111,32,32,98.5,4,14,Two Year,Premium,0.226,0
C00112,58,21,204.78,1,9,Two Year,Standard,0.098,0
C00113,46,47,135.8,5,16,Annual,Standard,0.101,0
C00114,41,52,20.92,4,16,Monthly,Standard,0.482,0
C00115,44,55,27.71,1,13,Annual,Standard,0.194,0
C00116,47,18,156.08,1,11,Annual,Value,0.168,1
C00117,19,43,132.53,2,10,Two Year,Value,0.113,0
C00118,25,36,25.31,0,12,Monthly,Standard,0.554,0
C00119,30,27,168.69,2,17,Monthly,Standard,0.234,0
C00120,23,24,190.43,0,14,Annual,Value,0.082,0
C00121,40,7,119.28,2,12,Monthly,Standard,0.57,0
C00122,52,17,113.15,3,10,Annual,Standard,0.303,0
C00123,52,33,21.09,0,13,Annual,Standard,0.34,1
C00124,42,54,177.33,4,8,Monthly,Premium,0.15,0
C00125,62,52,86.14,3,15,Monthly,Premium,0.287,1
C00126,47,12,195.75,4,12,Annual,Value,0.164,0
C00127,22,41,94.61,1,14,Annual,Standard,0.146,1
C00128,57,6,133.02,0,11,Monthly,Premium,0.502,1
C00129,47,41,74.07,3,9,Monthly,Standard,0.458,1
C00130,51,21,52.12,2,6,Annual,Value,0.453,0
C00131,47,27,174.98,0,8,Monthly,Standard,0.245,0
C00132,46,44,119.32,2,13,Annual,Standard,0.114,0
C00133,22,26,127.3,3,12,Annual,Premium,0.2,0
C00134,47,49,213.08,4,16,Monthly,Value,0.093,0
C00135,59,33,212.72,2,13,Annual,Value,0.058,0
C00136,33,60,191.13,0,10,Monthly,Standard,0.073,0
C00137,49,39,57.52,1,9,Monthly,Standard,0.48,1
C00138,19,18,138.85,3,6,Annual,Standard,0.262,0
C00139,36,47,195.63,2,11,Two Year,Value,0.048,0
C00140,40,25,94.89,1,8,Annual,Value,0.268,0
C00141,69,33,40.22,1,9,Monthly,Value,0.584,1
C00142,29,9,182.19,2,10,Annual,Standard,0.187,0
C00143,32,8,116.35,1,19,Monthly,Standard,0.487,1
C00144,39,35,132.88,2,14,Annual,Standard,0.127,0
C00145,69,12,216.43,1,12,Annual,Value,0.105,0
C00146,62,60,141.44,1,17,Monthly,Standard,0.109,0
C00147,19,52,105.0,1,12,Monthly,Premium,0.23,1
C00148,30,43,94.0,4,13,Two Year,Standard,0.178,1
C00149,60,45,103.52,3,13,Monthly,Standard,0.31,1
C00150,21,36,43.68,2,13,Annual,Value,0.298,0
C00151,62,4,178.95,4,8,Annual,Premium,0.267,0
C00152,32,24,187.54,3,9,Annual,Standard,0.126,0
C00153,65,30,76.88,3,12,Monthly,Standard,0.519,1
C00154,33,55,80.76,2,14,Monthly,Standard,0.268,1
C00155,40,14,194.87,2,10,Monthly,Value,0.31,0
C00156,52,30,24.79,1,9,Annual,Standard,0.408,0
C00157,24,21,124.09,0,11,Two Year,Standard,0.196,0
C00158,46,9,112.74,3,7,Two Year,Premium,0.391,0
C00159,44,7,158.03,2,8,Monthly,Standard,0.49,0
C00160,58,22,52.68,4,7,Monthly,Value,0.714,0
C00161,69,5,153.67,0,9,Monthly,Value,0.467,0
C00162,52,5,95.35,1,9,Two Year,Premium,0.415,1
C00163,39,22,143.74,3,7,Monthly,Standard,0.433,0
C00164,39,13,28.02,2,16,Monthly,Standard,0.737,1
C00165,39,34,112.35,3,9,Annual,Premium,0.2,0
C00166,60,2,124.45,2,9,Annual,Premium,0.378,1
C00167,34,19,62.87,2,11,Monthly,Premium,0.64,1
C00168,26,28,47.92,0,13,Annual,Premium,0.308,1
C00169,35,58,57.69,4,14,Monthly,Value,0.342,0
C00170,19,39,88.83,2,13,Monthly,Standard,0.376,0
C00171,23,53,39.36,1,9,Monthly,Value,0.413,1
C00172,22,21,209.46,1,14,Monthly,Value,0.19,0
C00173,58,27,101.0,2,11,Two Year,Standard,0.238,0
C00174,55,26,181.79,7,16,Annual,Standard,0.139,0
C00175,54,54,214.88,1,10,Annual,Value,0.03,0
C00176,42,58,36.15,1,7,Monthly,Premium,0.397,1
C00177,55,58,150.33,1,10,Annual,Standard,0.052,0
C00178,26,46,194.28,1,12,Two Year,Standard,0.044,0
C00179,64,31,146.85,4,11,Monthly,Value,0.338,0
C00180,44,33,105.81,3,20,Two Year,Value,0.16,0
C00181,66,59,106.22,1,11,Annual,Value,0.081,0
C00182,25,18,27.18,3,17,Annual,Standard,0.48,1
C00183,43,21,126.92,0,16,Monthly,Standard,0.35,0
C00184,54,54,218.71,2,14,Annual,Value,0.03,0
C00185,43,24,211.74,0,12,Monthly,Value,0.168,1
C00186,41,15,28.08,4,16,Two Year,Standard,0.534,0
C00187,26,34,161.16,3,10,Two Year,Value,0.119,1
C00188,37,20,80.35,1,11,Monthly,Value,0.56,1
C00189,30,54,200.6,3,7,Two Year,Standard,0.044,0
C00190,33,55,29.02,1,17,Two Year,Premium,0.171,0
C00191,53,19,207.17,3,11,Annual,Premium,0.112,0
C00192,50,32,187.5,1,17,Monthly,Value,0.158,1
C00193,49,60,43.5,1,16,Monthly,Premium,0.291,1
C00194,36,45,31.96,3,17,Monthly,Standard,0.479,1
C00195,67,13,186.94,2,12,Monthly,Standard,0.323,1
C00196,22,36,51.15,5,16,Two Year,Value,0.314,0
C00197,35,38,126.98,4,10,Monthly,Value,0.344,0
C00198,24,40,203.15,4,7,Annual,Value,0.074,0
C00199,35,2,133.49,1,13,Annual,Standard,0.302,0
C00200,68,18,99.45,2,7,Annual,Premium,0.334,0
C00201,37,52,109.0,2,12,Monthly,Standard,0.237,0
C00202,65,15,32.62,2,12,Annual,Premium,0.511,1
C00203,43,18,213.75,2,8,Annual,Standard,0.11,0
C00204,54,20,82.13,6,16,Annual,Value,0.376,0
C00205,41,11,57.87,2,13,Monthly,Standard,0.7,0
C00206,31,10,77.21,1,16,Annual,Standard,0.367,0
C00207,57,21,212.87,3,11,Monthly,Standard,0.231,0
C00208,68,53,38.86,7,11,Annual,Value,0.294,0
C00209,31,1,193.46,0,7,Monthly,Standard,0.401,0
C00210,58,17,161.57,0,11,Monthly,Standard,0.328,0
C00211,31,4,186.0,1,9,Annual,Premium,0.198,0
C00212,55,34,215.18,2,13,Monthly,Standard,0.136,0
C00213,59,16,188.43,4,12,Two Year,Standard,0.157,0
C00214,41,48,208.68,3,15,Two Year,Standard,0.038,0
C00215,56,36,45.39,3,24,Monthly,Value,0.456,0
C00216,32,48,179.16,1,13,Monthly,Premium,0.12,0
C00217,22,39,129.14,2,10,Monthly,Standard,0.292,0
C00218,23,27,128.7,1,10,Two Year,Premium,0.175,0
C00219,41,52,199.78,2,7,Annual,Standard,0.044,0
C00220,64,29,214.36,1,12,Monthly,Premium,0.152,0
C00221,24,57,160.97,1,14,Monthly,Premium,0.107,0
C00222,41,60,116.59,3,9,Monthly,Value,0.207,1
C00223,54,36,111.28,0,18,Annual,Value,0.117,0
C00224,28,41,97.27,3,17,Monthly,Standard,0.326,0
C00225,55,16,92.32,2,9,Monthly,Standard,0.598,0
C00226,33,49,98.3,2,14,Annual,Value,0.119,0
C00227,60,41,37.95,5,13,Monthly,Value,0.576,0
C00228,48,55,35.49,0,12,Annual,Standard,0.172,0
C00229,46,17,175.97,2,11,Annual,Premium,0.153,0
C00230,27,48,109.21,1,13,Two Year,Standard,0.104,0
C00231,42,29,206.14,0,11,Monthly,Value,0.158,0
C00232,62,12,142.44,0,12,Two Year,Standard,0.206,0
C00233,19,11,27.04,4,14,Monthly,Standard,0.796,1
C00234,57,34,51.5,3,11,Two Year,Standard,0.327,0
C00235,43,20,61.16,1,12,Monthly,Standard,0.607,0
C00236,55,7,215.15,6,14,Annual,Standard,0.171,0
C00237,52,26,63.74,2,16,Monthly,Standard,0.536,0
C00238,40,40,123.15,3,10,Two Year,Value,0.147,0
C00239,34,20,207.24,1,13,Two Year,Value,0.087,0
C00240,50,58,215.44,0,13,Monthly,Premium,0.054,0
C00241,25,47,67.27,2,8,Annual,Value,0.206,0
C00242,48,31,29.82,1,8,Annual,Value,0.393,1
C00243,22,57,50.72,0,14,Monthly,Standard,0.29,0
C00244,51,26,32.67,3,11,Annual,Standard,0.446,1
C00245,50,9,59.02,1,15,Annual,Value,0.436,1
C00246,22,3,133.71,2,20,Annual,Standard,0.263,0
C00247,57,57,202.49,5,15,Monthly,Premium,0.091,0
C00248,39,58,127.44,0,10,Two Year,Standard,0.062,0
C00249,58,45,145.2,0,7,Monthly,Standard,0.204,0
C00250,20,7,60.37,0,8,Annual,Standard,0.488,1
C00251,27,18,180.12,4,8,Monthly,Premium,0.375,0
C00252,43,3,143.56,2,19,Monthly,Standard,0.472,0
C00253,27,4,192.83,1,13,Monthly,Standard,0.35,0
C00254,35,15,209.77,4,16,Monthly,Value,0.261,0
C00255,52,35,89.58,2,15,Annual,Standard,0.191,1
C00256,25,4,38.12,3,13,Annual,Value,0.603,0
C00257,53,60,65.19,1,8,Annual,Value,0.133,0
C00258,23,28,107.57,1,17,Annual,Premium,0.171,0
C00259,27,16,209.14,2,10,Monthly,Standard,0.261,1
C00260,48,31,95.66,4,6,Monthly,Premium,0.529,0
C00261,59,48,174.15,1,11,Annual,Value,0.054,0
C00262,26,19,128.1,5,11,Annual,Standard,0.281,1
C00263,33,3,56.56,2,11,Annual,Standard,0.553,1
C00264,66,4,84.15,1,10,Monthly,Premium,0.688,0
C00265,69,52,150.64,2,10,Annual,Standard,0.069,0
C00266,48,7,154.57,0,7,Monthly,Value,0.464,0
C00267,41,39,106.95,1,17,Annual,Value,0.124,0
C00268,36,24,65.73,2,10,Monthly,Premium,0.599,0
C00269,49,47,164.38,3,10,Annual,Standard,0.076,0
C00270,48,4,53.77,6,13,Monthly,Standard,0.818,0
C00271,33,54,207.33,2,13,Annual,Standard,0.031,0
C00272,19,42,57.58,1,10,Monthly,Premium,0.445,1
C00273,25,27,41.46,1,12,Annual,Standard,0.361,1
C00274,67,13,119.53,2,10,Monthly,Value,0.535,1
C00275,39,59,123.91,1,7,Annual,Standard,0.075,0
C00276,43,19,121.64,2,14,Monthly,Standard,0.442,1
C00277,42,30,107.33,4,20,Monthly,Standard,0.383,0
C00278,58,24,218.96,2,9,Annual,Standard,0.083,0
C00279,21,14,117.26,2,13,Monthly,Standard,0.507,1
C00280,22,25,115.59,2,10,Monthly,Standard,0.442,0
C00281,32,10,104.35,0,9,Annual,Premium,0.328,1
C00282,43,1,33.37,0,19,Annual,Value,0.525,1
C00283,52,18,138.59,1,12,Two Year,Value,0.194,0
C00284,43,7,65.59,4,10,Monthly,Standard,0.765,1
C00285,40,25,147.52,0,11,Annual,Premium,0.138,0
C00286,66,52,30.17,1,13,Annual,Premium,0.206,0
C00287,26,10,216.28,0,17,Monthly,Premium,0.207,0
C00288,47,1,113.8,1,14,Annual,Value,0.354,0
C00289,46,7,199.35,5,13,Monthly,Value,0.391,1
C00290,42,31,115.11,2,15,Two Year,Standard,0.166,0
C00291,59,17,32.07,2,12,Annual,Value,0.495,1
C00292,31,30,184.44,1,8,Monthly,Premium,0.222,1
C00293,67,2,149.64,3,18,Monthly,Standard,0.494,0
C00294,35,20,176.35,3,23,Monthly,Premium,0.24,1
C00295,46,25,105.63,0,14,Monthly,Standard,0.394,0
C00296,45,26,147.59,5,14,Annual,Value,0.179,0
C00297,62,34,191.25,0,13,Annual,Value,0.061,0
C00298,40,47,146.21,1,9,Annual,Premium,0.081,0
C00299,32,29,89.53,2,12,Monthly,Premium,0.468,1
C00300,19,51,152.51,4,13,Annual,Standard,0.075,0
C00301,36,32,154.37,3,15,Monthly,Premium,0.264,0
C00302,60,16,212.12,3,14,Monthly,Standard,0.245,1
C00303,18,14,94.18,2,17,Two Year,Standard,0.303,1
C00304,64,20,105.02,2,22,Monthly,Standard,0.413,1
C00305,46,36,182.42,1,13,Annual,Standard,0.068,0
C00306,25,15,121.15,4,12,Two Year,Premium,0.302,0
C00307,33,55,167.31,2,12,Monthly,Value,0.122,0
C00308,46,29,111.94,4,18,Two Year,Standard,0.193,0
C00309,34,52,63.1,1,8,Annual,Standard,0.173,1
C00310,23,41,169.04,1,11,Annual,Standard,0.072,0
C00311,52,21,46.23,2,13,Monthly,Standard,0.654,1
C00312,52,14,59.72,0,8,Monthly,Premium,0.671,1
C00313,24,45,145.36,2,13,Monthly,Premium,0.199,1
C00314,32,20,169.45,6,10,Monthly,Standard,0.415,0
C00315,30,15,198.94,1,20,Monthly,Standard,0.21,0
C00316,52,56,74.52,1,21,Annual,Standard,0.091,0
C00317,55,29,42.14,1,15,Annual,Standard,0.32,1
C00318,55,3,211.21,1,13,Monthly,Value,0.309,1
C00319,66,30,50.88,2,5,Annual,Premium,0.388,0
C00320,57,28,59.53,4,5,Two Year,Premium,0.423,1
C00321,34,52,78.27,1,12,Annual,Standard,0.131,1
C00322,23,43,125.88,0,11,Annual,Standard,0.1,0
C00323,49,12,196.57,6,17,Annual,Standard,0.163,0
C00324,65,10,172.11,0,12,Monthly,Standard,0.346,0
C00325,68,37,161.63,2,11,Monthly,Standard,0.225,0
C00326,29,3,55.04,0,5,Two Year,Standard,0.565,1
C00327,30,20,91.54,2,12,Annual,Standard,0.302,0
C00328,19,9,115.68,0,24,Annual,Value,0.207,1
C00329,25,2,49.49,2,14,Two Year,Premium,0.556,0
C00330,46,56,74.69,4,22,Monthly,Standard,0.256,0
C00331,46,6,81.67,1,12,Monthly,Standard,0.664,1
C00332,37,1,45.46,0,12,Annual,Standard,0.55,1
C00333,34,56,130.05,4,9,Monthly,Premium,0.218,0
C00334,61,12,161.01,3,17,Annual,Standard,0.186,0
C00335,41,49,33.99,3,9,Annual,Standard,0.275,0
C00336,60,2,116.22,1,7,Annual,Premium,0.397,0
C00337,68,10,176.44,3,13,Monthly,Standard,0.389,0
C00338,34,7,169.6,2,18,Annual,Value,0.178,1
C00339,28,43,183.01,6,8,Monthly,Standard,0.224,0
C00340,67,38,109.65,5,21,Two Year,Premium,0.15,0
C00341,51,29,184.11,2,10,Monthly,Value,0.232,1
C00342,33,15,68.15,2,9,Two Year,Premium,0.431,1
C00343,50,6,92.16,5,11,Monthly,Value,0.721,1
C00344,44,35,55.27,1,11,Monthly,Standard,0.504,0
C00345,65,14,113.5,4,8,Monthly,Premium,0.605,1
C00346,31,36,98.41,7,11,Monthly,Value,0.501,0
C00347,69,42,68.19,1,5,Monthly,Standard,0.457,0
C00348,66,51,170.36,4,19,Annual,Standard,0.05,0
C00349,27,30,82.77,2,14,Annual,Standard,0.24,1
C00350,26,1,74.56,0,9,Monthly,Standard,0.722,1
C00351,45,17,46.18,2,12,Annual,Standard,0.453,1
C00352,20,52,107.76,0,12,Two Year,Value,0.088,0
C00353,33,32,80.59,0,9,Annual,Standard,0.231,0
C00354,40,38,93.85,1,9,Monthly,Standard,0.382,1
C00355,68,28,67.2,3,10,Monthly,Standard,0.583,0
C00356,69,10,172.63,1,13,Two Year,Standard,0.17,0
C00357,25,54,206.0,3,15,Monthly,Standard,0.082,0
C00358,64,47,119.59,2,9,Monthly,Standard,0.266,1
C00359,22,60,148.6,2,10,Annual,Value,0.055,0
C00360,56,52,193.43,3,9,Monthly,Standard,0.121,0
C00361,61,18,219.77,3,5,Annual,Premium,0.122,0
C00362,64,16,142.7,4,13,Monthly,Standard,0.458,1
C00363,29,15,197.96,4,13,Annual,Standard,0.142,0
C00364,64,56,201.72,3,12,Two Year,Premium,0.035,0
C00365,24,34,178.29,2,17,Two Year,Premium,0.073,0
C00366,44,28,112.19,2,14,Two Year,Standard,0.192,1
C00367,42,59,36.23,1,14,Two Year,Value,0.154,0
C00368,34,37,23.16,6,17,Monthly,Standard,0.639,0
C00369,19,55,115.44,2,11,Two Year,Premium,0.09,0
C00370,58,60,118.86,3,10,Two Year,Value,0.083,0
C00371,35,5,101.47,0,14,Annual,Standard,0.336,1
C00372,52,22,133.63,5,11,Monthly,Value,0.473,0
C00373,39,45,130.43,1,14,Monthly,Standard,0.207,0
C00374,37,49,187.32,2,9,Annual,Premium,0.052,0
C00375,64,9,41.73,1,8,Annual,Standard,0.548,0
C00376,22,20,65.04,1,14,Monthly,Standard,0.579,1
C00377,56,33,178.6,4,14,Monthly,Value,0.226,0
C00378,56,48,189.57,2,13,Annual,Premium,0.046,0
C00379,37,7,218.96,3,13,Monthly,Value,0.298,0
C00380,31,37,194.58,5,20,Two Year,Value,0.064,0
C00381,18,18,197.98,2,8,Monthly,Value,0.288,0
C00382,66,13,82.87,4,11,Monthly,Value,0.674,0
C00383,67,31,100.33,3,11,Monthly,Premium,0.449,0
C00384,30,25,73.62,1,8,Two Year,Standard,0.321,0
C00385,19,39,141.26,2,12,Two Year,Value,0.109,0
C00386,24,20,207.76,2,14,Monthly,Standard,0.214,1
C00387,21,50,88.93,2,10,Monthly,Premium,0.313,0
C00388,61,5,131.4,1,11,Monthly,Standard,0.538,1
C00389,64,52,79.26,1,10,Monthly,Premium,0.303,1
C00390,25,2,53.96,0,11,Annual,Value,0.524,1
C00391,56,45,59.04,1,10,Monthly,Standard,0.415,1
C00392,27,21,31.59,1,14,Annual,Standard,0.422,0
C00393,37,24,209.86,4,9,Monthly,Value,0.247,0
C00394,49,2,100.58,1,12,Monthly,Standard,0.644,1
C00395,55,43,186.82,1,20,Monthly,Value,0.104,0
C00396,63,10,156.27,3,14,Monthly,Premium,0.439,0
C00397,20,40,58.38,3,10,Monthly,Premium,0.505,0
C00398,28,44,55.09,2,11,Monthly,Premium,0.449,1
C00399,32,51,182.4,2,13,Monthly,Standard,0.114,0
C00400,34,43,72.94,1,15,Two Year,Standard,0.166,0
C00401,69,19,202.66,0,13,Monthly,Standard,0.206,0
C00402,58,45,48.01,3,14,Monthly,Premium,0.457,0
C00403,34,50,155.54,0,8,Monthly,Premium,0.155,0
C00404,68,20,182.89,1,8,Annual,Standard,0.132,0
C00405,43,8,67.05,3,7,Two Year,Premium,0.535,1
C00406,44,54,75.24,0,10,Annual,Value,0.125,0
C00407,40,9,212.9,0,9,Annual,Value,0.121,1
C00408,25,36,72.92,2,11,Annual,Standard,0.242,0
C00409,66,15,105.99,2,15,Monthly,Standard,0.515,1
C00410,18,8,106.5,1,13,Two Year,Standard,0.327,0
C00411,27,47,70.61,6,16,Annual,Standard,0.212,1
C00412,29,9,175.16,7,10,Monthly,Value,0.516,0
C00413,32,41,174.37,5,16,Monthly,Value,0.192,0
C00414,24,42,95.66,6,13,Monthly,Standard,0.418,1
C00415,18,4,187.03,4,12,Monthly,Standard,0.439,0
C00416,53,11,62.61,1,13,Annual,Value,0.425,1
C00417,68,48,20.86,2,17,Monthly,Premium,0.464,1
C00418,24,31,134.23,3,16,Annual,Standard,0.144,0
C00419,33,8,218.82,1,5,Two Year,Standard,0.143,0
C00420,44,60,27.73,3,10,Monthly,Standard,0.422,1
C00421,66,16,61.6,1,18,Monthly,Standard,0.589,0
C00422,54,1,123.78,2,9,Annual,Standard,0.388,0
C00423,57,56,181.99,2,15,Annual,Premium,0.036,0
C00424,48,1,37.81,1,14,Monthly,Standard,0.788,1
C00425,39,34,99.05,3,6,Monthly,Value,0.47,0
C00426,28,60,169.42,7,7,Annual,Value,0.073,0
C00427,62,35,94.31,0,8,Two Year,Standard,0.192,0
C00428,59,36,57.77,2,8,Monthly,Standard,0.537,1
C00429,19,24,59.1,3,13,Monthly,Value,0.614,1
C00430,55,8,102.01,3,12,Two Year,Standard,0.388,1
C00431,22,35,115.88,2,11,Monthly,Standard,0.35,0
C00432,56,54,192.36,0,15,Monthly,Standard,0.074,0
C00433,60,6,148.45,1,11,Annual,Premium,0.252,0
C00434,24,53,158.08,4,10,Monthly,Value,0.176,0
C00435,40,25,216.6,0,13,Monthly,Standard,0.151,0
C00436,24,33,102.37,1,22,Annual,Standard,0.134,0
C00437,47,10,100.67,1,10,Annual,Value,0.35,0
C00438,66,38,204.67,1,18,Monthly,Standard,0.107,0
C00439,22,11,69.18,4,11,Monthly,Value,0.723,1
C00440,38,17,165.96,1,11,Annual,Standard,0.157,0
C00441,68,44,170.91,2,17,Annual,Standard,0.057,0
C00442,33,4,39.56,4,14,Annual,Value,0.612,1
C00443,24,27,113.65,1,17,Annual,Value,0.166,1
C00444,43,36,60.11,2,12,Annual,Value,0.265,0
C00445,44,8,57.08,3,17,Two Year,Value,0.478,0
C00446,52,18,112.77,3,10,Annual,Standard,0.297,1
C00447,34,21,77.89,2,5,Monthly,Premium,0.631,1
C00448,67,40,179.21,3,12,Two Year,Standard,0.076,1
C00449,45,59,201.52,5,12,Two Year,Value,0.037,0
C00450,32,51,180.54,1,7,Monthly,Standard,0.129,0
C00451,67,12,73.21,2,13,Monthly,Value,0.652,1
C00452,66,2,74.83,2,11,Annual,Value,0.507,0
C00453,43,4,70.95,3,8,Monthly,Value,0.768,1
C00454,19,36,47.01,1,14,Annual,Value,0.264,0
C00455,49,10,208.76,3,16,Annual,Standard,0.125,0
C00456,46,14,100.41,2,6,Monthly,Standard,0.617,1
C00457,25,51,64.94,2,18,Monthly,Value,0.307,0
