customer_id,age,tenure_months,monthly_spend,orders_last_90d,avg_order_value,days_since_last_order,support_tickets_90d,refund_rate,discount_usage_rate,sessions_last_30d,email_open_rate,payment_failures_90d,late_delivery_count,satisfaction_score,mobile_app_user,membership_tier,acquisition_channel,region,preferred_payment_method,churned
CUST103906,18.0,13,2384.82,4,1788.62,67,1.0,0.041,0.375,12,0.892,0,0,,Yes,Platinum,Organic,West,NetBanking,0
CUST103773,39.0,16,3028.7,2,4543.05,35,2.0,0.019,0.467,9,0.599,0,1,3.9,Yes,Silver,Social,East,Card,0
CUST104635,22.0,9,5324.42,5,3194.65,80,1.0,0.124,0.246,16,0.384,0,2,3.3,Yes,Gold,Organic,West,COD,0
CUST103161,39.0,15,2298.09,3,2298.09,25,0.0,0.059,0.157,7,0.734,0,0,2.4,Yes,Silver,Social,West,NetBanking,0
CUST102659,38.0,56,2403.04,1,6000.0,40,0.0,0.022,0.471,5,0.505,1,0,2.4,Yes,Silver,Paid Search,North,COD,1
CUST104615,51.0,24,4986.98,4,3740.23,15,0.0,0.037,0.279,12,0.767,0,1,5.0,Yes,Gold,Social,West,Card,0
CUST104628,27.0,7,3752.47,4,2814.35,20,1.0,0.051,0.212,15,0.588,0,0,4.2,No,Silver,Organic,Central,NetBanking,0
CUST102451,30.0,23,,6,413.72,40,2.0,0.031,0.353,8,0.517,1,1,4.4,Yes,Bronze,Referral,South,Wallet,0
CUST102846,28.0,33,705.19,6,,24,2.0,0.153,0.065,13,0.554,0,0,3.1,Yes,Bronze,Social,West,Card,0
CUST101144,34.0,24,1229.01,6,614.5,26,0.0,0.026,0.344,10,0.745,1,1,4.2,Yes,Silver,Social,Central,UPI,0
CUST103078,21.0,28,4925.9,9,1641.97,55,1.0,0.035,0.343,13,0.898,0,0,3.4,Yes,Silver,Social,North,NetBanking,0
CUST101103,39.0,15,930.68,7,398.86,26,4.0,0.075,0.527,11,0.735,0,1,5.0,No,Gold,Organic,East,UPI,0
CUST100168,32.0,39,2489.71,2,3734.56,23,1.0,0.05,0.368,13,0.747,0,0,3.6,Yes,Silver,Organic,South,NetBanking,0
CUST101670,33.0,57,1953.4,4,1465.05,31,0.0,0.136,0.019,13,0.949,0,0,3.7,Yes,Bronze,Paid Search,North,UPI,0
CUST102570,57.0,19,1798.45,2,2697.68,51,,0.099,0.396,9,0.75,1,2,4.9,No,Bronze,Social,North,NetBanking,1
CUST102377,27.0,22,3648.25,3,3648.25,3,0.0,0.24,0.441,5,0.858,0,0,3.0,No,Bronze,Social,South,Wallet,0
CUST104395,37.0,45,3801.15,3,3801.15,3,1.0,0.044,0.318,10,0.673,1,1,3.8,Yes,Bronze,Social,East,UPI,0
CUST104257,45.0,22,2354.79,2,3532.18,34,2.0,0.093,0.075,9,0.85,2,0,4.4,Yes,Platinum,Organic,East,Card,0
CUST103862,22.0,18,1239.87,7,531.37,107,1.0,0.049,0.336,7,0.59,1,0,3.9,Yes,Bronze,Paid Search,West,Card,0
CUST100023,32.0,9,2330.5,5,1398.3,8,1.0,0.063,0.231,12,0.513,0,0,4.7,No,Silver,Email,North,UPI,0
CUST102633,34.0,15,4241.81,9,1413.94,1,2.0,0.07,0.463,7,0.524,0,0,3.7,No,Bronze,Email,Central,Card,0
CUST103340,31.0,16,3630.55,4,2722.91,46,1.0,0.046,0.469,10,0.707,0,0,2.5,Yes,Silver,Partner,West,UPI,1
CUST102215,34.0,30,2700.93,3,2700.93,10,1.0,0.028,0.431,10,0.56,0,0,4.0,Yes,Bronze,Organic,North,Wallet,0
CUST103682,35.0,12,,5,2608.78,15,2.0,0.001,0.113,11,0.625,0,4,3.3,Yes,Bronze,Paid Search,East,UPI,0
CUST104724,36.0,10,4073.82,2,6000.0,20,1.0,0.118,0.538,10,0.599,0,0,4.6,No,Gold,Social,West,UPI,0
CUST101907,35.0,18,2105.27,1,6000.0,36,,0.085,0.34,11,0.482,0,2,5.0,Yes,Silver,Organic,West,UPI,0
CUST100084,22.0,37,854.74,3,854.74,47,1.0,0.055,0.354,6,0.472,0,0,3.9,Yes,Bronze,Email,West,UPI,1
CUST100227,53.0,17,3003.02,6,1501.51,43,0.0,0.117,0.076,8,0.653,2,2,4.0,Yes,Gold,Email,East,NetBanking,0
CUST100296,37.0,17,4215.22,7,1806.52,25,0.0,0.021,0.259,9,0.532,2,1,4.5,Yes,Silver,Referral,North,COD,0
CUST101001,27.0,15,3601.25,3,3601.25,69,2.0,0.048,0.404,15,0.839,0,2,3.3,Yes,Gold,Referral,North,Wallet,1
CUST102138,37.0,10,2766.02,6,1383.01,23,1.0,0.035,0.21,8,0.557,0,3,4.2,No,Silver,Email,South,,0
CUST100711,41.0,19,1466.52,1,4399.56,36,3.0,0.058,0.195,11,0.514,0,1,3.7,Yes,Gold,Email,West,Card,0
CUST102801,44.0,17,2163.96,6,1081.98,29,0.0,0.037,0.747,9,0.44,1,1,3.9,Yes,Gold,Organic,South,NetBanking,0
CUST102527,30.0,4,1141.3,4,855.97,85,1.0,0.024,0.665,6,0.603,2,1,3.5,No,Bronze,Paid Search,West,Wallet,1
CUST103752,32.0,13,2096.52,5,1257.91,29,1.0,0.02,0.684,16,0.741,1,1,2.5,No,Silver,Paid Search,West,UPI,0
CUST103321,31.0,11,2155.88,1,,27,0.0,0.089,0.395,17,0.63,2,0,4.7,Yes,Bronze,Email,West,UPI,0
CUST103181,19.0,11,2008.47,4,1506.35,66,1.0,0.114,0.207,12,0.868,0,1,3.5,Yes,Gold,,East,Card,0
CUST104183,58.0,36,1430.89,4,1073.17,35,0.0,0.13,0.508,13,0.896,0,0,2.5,Yes,Gold,Organic,South,Card,0
CUST101615,39.0,10,2907.21,4,2180.41,25,1.0,0.051,0.07,11,0.471,0,0,4.0,Yes,Bronze,Organic,South,Card,0
CUST103024,32.0,39,,7,777.6,38,3.0,0.105,0.6,14,0.639,0,0,3.4,Yes,Silver,Organic,North,UPI,0
CUST101413,47.0,11,1954.87,1,5864.61,25,7.0,0.104,0.282,12,0.661,1,0,4.5,Yes,Platinum,Organic,West,UPI,0
CUST100763,40.0,43,1384.76,3,1384.76,68,0.0,0.102,0.331,9,0.635,0,0,5.0,Yes,Platinum,Email,North,UPI,0
CUST100655,37.0,21,1293.01,1,3879.03,105,1.0,0.074,0.481,10,,0,0,4.0,Yes,Silver,Paid Search,East,Card,1
CUST104797,42.0,5,1771.29,4,1328.47,14,1.0,0.074,0.622,10,0.741,0,0,3.0,No,Bronze,Paid Search,Central,UPI,0
CUST103849,26.0,37,846.32,7,362.71,78,2.0,0.123,0.334,16,0.723,0,0,2.8,No,Bronze,Organic,South,UPI,1
CUST104153,26.0,15,2062.64,0,1852.99,7,2.0,0.011,0.129,7,0.871,0,0,2.9,Yes,Platinum,Organic,East,UPI,0
CUST100468,45.0,17,2463.77,4,1847.83,69,1.0,0.282,0.356,10,0.698,2,1,4.7,Yes,Gold,Organic,East,UPI,0
CUST100157,44.0,27,4140.45,6,2070.22,26,1.0,0.126,0.154,9,0.627,1,1,2.4,Yes,Bronze,,East,UPI,0
CUST101295,42.0,6,2622.42,2,3933.63,21,2.0,0.203,0.443,12,0.773,0,2,4.5,Yes,Gold,Social,North,Card,0
CUST100497,31.0,9,4486.87,4,3365.15,83,1.0,0.168,0.419,9,0.43,0,1,5.0,No,Silver,Social,South,UPI,0
CUST104740,31.0,10,3867.08,2,5800.62,44,0.0,0.12,0.14,6,0.927,0,2,,Yes,Silver,Referral,Central,Card,0
CUST102940,50.0,3,1628.35,3,1628.35,32,1.0,0.035,0.073,17,0.495,0,0,4.4,No,Platinum,Paid Search,West,Card,0
CUST103456,36.0,22,2183.42,4,1637.56,26,0.0,0.062,0.294,13,0.606,0,0,4.1,No,Bronze,Email,Central,Card,0
CUST100373,42.0,29,2193.82,2,3290.73,77,2.0,0.021,0.325,10,0.758,1,2,3.2,Yes,Bronze,Paid Search,West,Card,0
CUST100079,31.0,12,2938.45,6,1469.22,22,1.0,0.019,0.205,4,0.853,1,1,3.9,No,Silver,Organic,East,Card,0
CUST101553,30.0,6,1188.48,6,594.24,34,1.0,0.083,0.62,10,0.587,1,0,4.3,Yes,Gold,Organic,West,UPI,0
CUST101669,27.0,2,621.91,4,466.43,73,3.0,0.083,0.259,11,0.851,0,1,3.5,Yes,Bronze,Email,West,Card,0
CUST102131,57.0,9,2424.63,4,1818.47,61,0.0,0.027,0.222,11,0.483,2,0,2.3,Yes,Gold,Paid Search,North,,0
CUST104439,24.0,60,1451.88,3,1451.88,40,1.0,0.039,0.26,10,0.589,0,0,3.9,Yes,Bronze,Email,Central,UPI,0
CUST100465,29.0,18,1708.47,2,2562.7,7,0.0,0.046,0.35,14,0.333,1,0,4.4,No,Silver,Paid Search,East,NetBanking,0
CUST100248,63.0,17,2503.94,3,2503.94,26,2.0,0.046,0.206,10,0.435,0,1,2.1,Yes,Silver,Partner,West,Card,0
CUST100931,38.0,30,1935.38,5,1161.23,62,1.0,0.061,0.407,19,0.694,2,0,4.2,No,Bronze,Referral,Central,UPI,0
CUST101335,53.0,28,7087.82,7,3037.64,86,0.0,0.128,0.242,6,0.677,2,2,4.2,No,Silver,Social,West,Card,0
CUST104524,44.0,6,3099.36,4,2324.52,31,0.0,0.061,0.175,13,0.492,0,1,4.5,No,Bronze,Paid Search,North,UPI,0
CUST101338,61.0,27,2706.04,2,4059.06,37,1.0,0.233,0.116,11,0.447,0,1,3.0,Yes,Gold,Social,East,Card,1
CUST101406,37.0,14,3745.15,4,2808.86,36,3.0,0.019,0.541,13,0.665,0,1,3.8,Yes,Bronze,Paid Search,North,Wallet,0
CUST101090,28.0,31,849.19,2,1273.79,33,3.0,0.122,0.379,12,0.584,0,1,3.4,Yes,Bronze,Email,South,Card,0
CUST104209,31.0,23,607.7,5,364.62,67,0.0,0.033,0.513,7,0.653,1,1,3.4,No,Silver,Referral,West,Card,0
CUST100742,24.0,19,498.21,4,373.66,15,0.0,0.002,0.408,14,0.682,0,1,,No,Bronze,Paid Search,South,Card,0
CUST102323,34.0,94,3983.78,5,2390.27,5,0.0,0.074,0.479,10,0.779,0,3,3.9,Yes,Bronze,Paid Search,East,Card,0
CUST103601,58.0,15,1446.64,4,1084.98,10,1.0,0.028,0.199,5,0.597,0,1,3.2,Yes,Gold,Referral,West,UPI,0
CUST102123,35.0,17,,3,2820.51,22,0.0,0.005,0.348,9,0.769,0,0,,Yes,Bronze,Organic,North,UPI,0
CUST102094,35.0,14,1834.31,6,917.16,73,2.0,0.033,0.53,13,0.68,1,1,4.5,Yes,Bronze,Email,West,Card,1
CUST100240,25.0,10,1586.25,3,1586.25,24,0.0,0.048,0.142,10,0.56,0,2,4.7,Yes,Bronze,Referral,North,UPI,0
CUST102351,40.0,20,,1,2830.41,28,1.0,0.008,0.344,16,0.725,0,1,3.6,Yes,Bronze,Referral,South,UPI,0
CUST101370,19.0,16,1341.0,4,1005.75,16,1.0,0.19,0.477,9,,1,0,3.3,Yes,Gold,Organic,West,NetBanking,0
CUST101057,38.0,22,2908.63,1,6000.0,41,0.0,0.103,0.216,10,0.603,0,2,3.2,Yes,Bronze,Organic,North,UPI,0
CUST104816,53.0,20,1718.55,2,2577.82,38,2.0,0.015,0.492,10,0.904,0,1,3.4,Yes,Bronze,,East,UPI,0
CUST100199,32.0,26,5172.1,2,6000.0,47,0.0,0.176,0.322,14,0.469,0,0,3.0,Yes,Gold,Referral,North,Card,0
CUST102280,46.0,28,2492.46,4,1869.34,25,,0.105,0.155,5,0.602,0,0,4.9,Yes,Platinum,Referral,West,Card,0
CUST104749,18.0,12,1010.84,5,606.5,7,0.0,0.063,0.685,12,0.472,0,0,3.3,Yes,Bronze,Organic,West,Card,0
CUST102220,35.0,58,1730.82,2,2596.23,81,2.0,0.217,0.535,10,0.516,0,1,4.1,Yes,Silver,Paid Search,South,UPI,0
CUST104771,18.0,18,,4,2069.24,60,1.0,0.07,0.229,12,0.515,1,1,4.4,No,Bronze,Paid Search,West,UPI,0
CUST102819,42.0,58,1261.08,1,,57,4.0,0.077,0.07,9,0.692,0,0,3.4,No,Bronze,Organic,Central,NetBanking,0
CUST103150,37.0,31,2026.69,3,2026.69,63,0.0,0.052,0.21,11,0.401,1,0,3.6,Yes,Gold,Social,West,COD,0
CUST104256,18.0,8,2782.77,1,6000.0,43,3.0,0.134,0.123,10,0.851,1,0,4.2,No,Silver,Paid Search,South,UPI,0
CUST103107,35.0,21,1233.1,2,1849.65,11,0.0,0.105,0.345,13,0.867,0,1,2.7,Yes,Platinum,Organic,North,UPI,0
CUST101973,51.0,59,2123.34,1,6000.0,76,0.0,0.063,0.168,8,0.686,1,0,4.2,No,Bronze,Email,East,Card,1
CUST101375,38.0,19,2877.75,3,2877.75,38,1.0,0.044,0.652,11,0.678,0,2,3.1,Yes,Silver,Referral,Central,Card,0
CUST103968,28.0,12,4738.08,3,4738.08,43,2.0,0.019,0.247,12,0.624,0,1,4.9,No,Silver,Paid Search,East,Card,1
CUST104062,27.0,8,1307.76,3,1307.76,9,1.0,0.106,0.204,10,0.551,0,0,4.5,Yes,Bronze,Referral,Central,Card,0
CUST104445,23.0,10,898.06,2,1347.09,29,1.0,0.082,0.221,10,0.841,0,0,3.1,No,Silver,Social,South,UPI,0
CUST103557,38.0,3,1089.39,9,363.13,40,1.0,0.048,0.604,10,0.74,0,2,2.3,No,Silver,Social,West,UPI,0
CUST100964,34.0,21,3837.37,2,5756.06,79,0.0,0.007,0.582,13,0.757,1,2,3.7,No,Silver,Paid Search,West,Wallet,0
CUST100179,37.0,19,968.68,5,581.21,44,0.0,0.055,0.098,12,0.727,0,3,3.9,Yes,Bronze,Organic,East,Card,1
CUST103698,23.0,26,1457.21,3,1457.21,97,2.0,0.173,0.46,13,0.605,0,0,2.9,No,Bronze,Social,South,UPI,1
CUST103821,46.0,45,3167.7,4,2375.77,19,0.0,0.018,0.255,16,0.623,0,1,3.6,No,Silver,Organic,West,Card,0
CUST104878,39.0,36,2378.57,4,1783.93,47,1.0,0.092,0.079,7,0.583,1,0,3.5,Yes,Bronze,Email,North,UPI,0
CUST103899,37.0,33,3065.12,3,3065.12,40,2.0,0.105,0.339,8,0.843,0,0,4.0,Yes,Bronze,Paid Search,North,Card,0
CUST104487,23.0,22,1345.15,0,863.99,44,0.0,0.012,0.509,11,0.614,1,1,4.5,Yes,Bronze,Social,South,COD,1
CUST103238,43.0,51,2711.32,7,1161.99,48,2.0,0.101,0.455,6,0.405,0,3,3.9,Yes,Bronze,Paid Search,North,UPI,1
CUST102974,35.0,20,1480.3,2,2220.45,52,2.0,0.095,0.279,11,0.594,1,2,3.6,Yes,Gold,Partner,Central,Wallet,0
CUST103580,40.0,29,1370.14,3,1370.14,63,1.0,0.175,0.213,8,0.952,0,2,2.3,Yes,Gold,Organic,East,UPI,0
CUST102887,35.0,13,2755.84,6,1377.92,69,0.0,0.112,0.24,14,0.756,1,2,1.8,Yes,Bronze,Referral,North,Card,1
CUST102575,38.0,18,2234.35,2,3351.52,16,0.0,0.004,0.775,18,0.723,0,0,4.4,Yes,Bronze,Organic,Central,UPI,0
CUST101419,34.0,11,3097.57,5,1858.54,69,2.0,0.144,0.18,10,0.425,0,1,5.0,Yes,Silver,Referral,Central,Card,0
CUST103907,24.0,13,3363.46,4,2522.6,18,2.0,0.078,0.289,10,0.749,0,2,3.1,Yes,Bronze,Social,West,UPI,0
CUST104673,36.0,24,2874.97,3,2874.97,47,1.0,0.214,0.32,11,0.759,0,1,5.0,Yes,Bronze,Organic,East,UPI,0
CUST104902,34.0,8,5055.74,3,5055.74,7,0.0,0.146,0.336,6,0.573,0,2,4.2,Yes,Bronze,Organic,South,UPI,0
CUST101860,41.0,10,923.83,6,461.92,56,0.0,0.04,0.503,9,0.685,0,2,4.7,Yes,Silver,Social,East,Card,1
CUST100008,34.0,15,8000.0,8,3000.0,91,1.0,0.077,0.236,5,0.653,2,1,4.6,Yes,Gold,Organic,West,Card,0
CUST102894,27.0,9,1834.89,5,1100.93,6,1.0,0.1,0.383,21,0.735,0,1,4.4,Yes,Silver,Referral,Central,UPI,0
CUST102847,28.0,26,1766.52,7,757.08,67,2.0,0.083,0.264,8,0.707,0,0,3.3,Yes,Gold,Referral,North,Card,0
CUST103664,32.0,24,1703.07,3,1703.07,68,4.0,0.089,0.331,9,0.389,0,0,4.2,Yes,Gold,Organic,North,Card,1
CUST100144,26.0,10,1948.66,5,1169.2,20,1.0,0.003,0.228,11,0.936,0,0,3.6,Yes,Silver,Partner,West,COD,0
CUST102104,31.0,14,1447.24,4,1085.43,84,1.0,0.072,0.078,11,0.508,0,0,3.7,Yes,Gold,Organic,North,UPI,0
CUST103143,37.0,27,942.7,7,404.01,27,2.0,0.107,0.532,9,0.582,0,0,3.6,No,Bronze,Email,East,UPI,0
CUST100841,34.0,48,2134.97,3,2134.97,26,1.0,0.112,0.5,9,0.749,0,1,3.3,Yes,Silver,Social,South,COD,0
CUST101128,32.0,14,907.24,3,907.24,104,0.0,0.048,0.149,7,0.658,0,0,2.0,Yes,Bronze,Social,West,NetBanking,0
CUST100151,24.0,11,3366.25,6,1683.12,74,3.0,0.161,0.225,14,0.749,1,2,3.8,Yes,Silver,Partner,South,Card,0
CUST103591,47.0,17,3333.94,5,2000.36,86,1.0,0.024,0.353,6,0.664,0,0,3.8,No,Silver,Social,North,Card,0
CUST101052,35.0,37,4344.75,2,6000.0,34,0.0,0.065,0.157,12,0.683,0,2,3.4,Yes,Silver,Organic,East,Card,0
CUST101590,20.0,9,2576.42,4,1932.32,23,0.0,0.069,0.151,14,0.742,0,0,3.8,No,Gold,Partner,West,NetBanking,0
CUST103008,31.0,18,1847.49,7,791.78,54,0.0,0.118,0.393,15,0.696,0,2,4.1,Yes,Platinum,Email,West,Card,0
CUST102029,29.0,14,1294.13,2,1941.2,23,3.0,0.034,0.398,8,0.447,0,1,3.5,No,Bronze,Email,South,Card,0
CUST103418,35.0,21,1267.54,6,633.77,50,0.0,0.038,0.312,9,0.671,0,0,3.4,Yes,Silver,Partner,Central,Card,0
CUST101807,34.0,11,4393.56,4,3295.17,50,0.0,0.054,0.115,9,0.827,0,0,3.6,Yes,Gold,Referral,South,Card,0
CUST102696,39.0,8,3385.36,3,3385.36,43,1.0,0.162,0.266,7,0.84,0,0,3.8,Yes,Silver,Social,East,NetBanking,0
CUST103039,33.0,43,1932.43,3,1932.43,47,2.0,0.14,0.219,11,0.459,0,0,3.3,Yes,Bronze,Social,South,UPI,0
CUST100472,31.0,4,3456.6,6,1728.3,28,0.0,0.068,0.312,7,0.505,0,0,3.4,Yes,Platinum,Organic,South,Card,0
CUST103289,24.0,19,1447.35,2,2171.02,28,1.0,0.122,0.112,16,0.603,1,2,4.8,Yes,Bronze,Email,North,UPI,0
CUST104074,22.0,37,7233.51,7,3100.08,33,0.0,0.029,0.619,6,0.786,0,0,2.6,Yes,Gold,Partner,North,,0
CUST103496,44.0,4,7616.91,4,5712.68,56,2.0,0.065,0.294,14,0.901,1,1,4.5,No,Bronze,Partner,North,Card,0
CUST100279,37.0,17,1890.11,2,2835.16,44,1.0,0.046,0.138,8,0.774,0,0,5.0,No,Gold,Social,North,Card,0
CUST101741,49.0,48,2829.73,2,4244.6,94,3.0,0.012,0.103,7,0.632,0,0,3.6,Yes,Silver,Organic,West,Card,1
CUST104624,52.0,7,719.86,4,539.9,112,4.0,0.018,0.402,13,0.486,2,0,3.3,No,Bronze,Paid Search,West,UPI,0
CUST102886,39.0,13,4934.85,6,2467.43,65,3.0,0.173,0.51,6,0.41,0,1,3.7,No,Bronze,Paid Search,East,UPI,1
CUST101941,35.0,10,4069.73,0,1098.35,44,0.0,0.052,0.221,13,0.565,0,0,3.4,Yes,Platinum,Referral,Central,UPI,0
CUST100100,30.0,17,1566.05,4,1174.54,104,5.0,0.15,0.379,8,0.628,0,2,3.6,No,Silver,Organic,South,UPI,0
CUST102804,25.0,34,1119.06,8,419.65,88,0.0,0.284,0.451,8,0.324,0,0,4.2,Yes,Bronze,Organic,West,UPI,0
CUST103570,41.0,12,3036.42,7,1301.32,95,1.0,0.018,0.097,2,0.685,1,0,4.3,Yes,Silver,Social,South,Wallet,1
CUST103684,23.0,16,2216.04,4,1662.03,98,1.0,0.079,0.652,10,0.56,0,1,4.4,Yes,Bronze,Organic,North,NetBanking,0
CUST103661,38.0,27,1906.98,5,1144.19,32,0.0,0.065,0.315,10,0.441,1,1,2.7,No,Gold,Partner,North,UPI,1
CUST100530,,22,980.97,5,588.58,15,0.0,0.042,0.27,10,0.803,0,1,,No,Platinum,Referral,West,Wallet,0
CUST101886,23.0,15,4369.59,2,6000.0,72,1.0,0.091,0.118,8,0.562,0,0,3.3,Yes,Bronze,Organic,West,UPI,1
CUST100681,40.0,15,1378.26,8,516.85,22,2.0,0.11,0.269,10,0.716,2,0,4.0,Yes,Silver,Partner,South,UPI,1
CUST103794,19.0,12,2488.34,2,3732.51,50,0.0,0.003,0.314,9,0.653,0,1,3.6,No,Silver,Paid Search,South,NetBanking,0
CUST103944,46.0,31,1749.6,3,1749.6,39,1.0,0.028,0.22,13,0.802,2,0,2.5,No,Silver,Organic,South,,0
