amount,transaction_hour,merchant_risk,customer_age,account_age_days,transactions_last_24h,avg_transaction_amount,failed_transactions,international_transaction,device_risk,previous_fraud,is_fraud
616.77,11,0.525,47,288,3,191.74,1,0,0.492,0,0
147.37,7,0.426,22,2719,1,188.99,1,0,0.173,0,0
35.7,6,0.215,54,216,1,93.21,0,0,0.621,1,0
202.62,7,0.67,59,2681,8,90.45,0,1,0.104,0,0
300.69,22,0.053,29,1037,7,37.09,2,0,0.293,0,1
193.62,10,0.3,39,1939,3,503.68,1,1,0.095,0,0
177.45,6,0.313,43,3460,6,116.37,1,1,0.523,0,0
136.88,16,0.349,40,2066,5,86.27,1,0,0.331,0,0
48.1,11,0.181,48,347,7,263.15,0,0,0.157,0,0
66.12,13,0.41,51,2591,4,297.06,3,0,0.143,1,1
50.51,12,0.352,47,620,4,298.03,0,0,0.317,0,0
364.89,18,0.053,43,779,6,79.94,0,1,0.309,0,0
374.14,14,0.25,53,616,4,39.49,0,1,0.146,0,0
42.99,17,0.335,56,2019,4,91.43,2,0,0.373,0,1
134.73,9,0.039,67,2104,3,95.51,1,0,0.034,0,0
2193.02,0,0.431,54,2911,9,39.17,0,0,0.209,0,0
272.29,1,0.107,25,1159,1,200.7,1,1,0.204,0,0
519.49,7,0.256,57,1683,3,339.97,0,0,0.445,0,0
60.1,13,0.184,45,1680,4,144.11,0,0,0.35,0,0
250.17,6,0.348,41,3024,3,123.47,0,1,0.267,0,0
82.69,6,0.541,18,143,2,161.04,1,1,0.244,0,0
3615.94,7,0.4,51,2684,3,155.78,1,0,0.349,0,0
22.88,6,0.061,26,2407,7,155.61,0,1,0.317,0,0
1293.36,8,0.195,23,2367,6,48.28,1,0,0.319,0,0
134.82,10,0.49,70,3391,7,76.32,1,0,0.326,0,0
157.47,3,0.155,63,1123,5,56.06,0,0,0.447,0,0
21.13,17,0.288,20,464,5,145.32,1,0,0.417,1,0
35.4,5,0.361,31,3409,6,258.81,0,0,0.227,0,0
70.32,16,0.166,35,2117,5,70.03,0,0,0.506,0,1
87.31,17,0.645,52,1426,7,130.38,1,0,0.69,0,0
238.37,17,0.246,70,3288,4,189.89,1,0,0.079,0,0
134.44,9,0.11,43,1920,8,74.29,2,1,0.556,0,0
122.69,23,0.678,26,255,5,142.86,1,0,0.063,1,1
249.35,17,0.04,66,1661,7,199.92,1,0,0.195,0,0
402.05,4,0.195,40,3407,3,172.41,0,0,0.182,0,0
440.88,9,0.252,26,1972,1,110.26,0,0,0.475,0,0
387.33,21,0.234,38,3383,7,106.65,0,1,0.297,0,0
20.34,21,0.053,20,3182,2,300.47,1,0,0.442,0,0
64.92,8,0.264,68,1786,3,48.67,3,0,0.032,0,0
256.4,22,0.128,72,1447,0,145.76,1,0,0.587,0,0
151.35,15,0.231,27,1545,4,41.94,1,1,0.438,0,0
244.73,9,0.449,42,863,3,99.12,0,0,0.584,0,0
118.99,9,0.255,68,675,2,31.01,0,0,0.054,0,0
867.36,8,0.243,53,1335,3,66.36,0,0,0.149,0,0
973.75,19,0.196,48,438,6,333.65,3,0,0.107,0,0
105.94,23,0.499,43,1516,7,263.36,1,0,0.473,0,0
483.05,12,0.458,40,2449,4,49.11,1,0,0.274,0,1
100.67,15,0.32,73,1149,2,126.25,2,0,0.216,0,0
35.81,0,0.411,19,1139,3,119.52,0,0,0.562,0,0
138.16,0,0.325,72,2988,2,65.17,2,0,0.421,0,0
48.13,2,0.302,18,3615,4,112.94,0,0,0.235,0,0
79.45,1,0.108,74,1780,6,92.49,1,0,0.686,0,0
791.95,15,0.01,60,1589,8,190.4,1,0,0.425,0,0
72.3,21,0.118,34,2563,1,256.6,0,0,0.525,0,0
114.1,13,0.233,19,1483,6,109.13,0,0,0.653,0,0
419.52,5,0.46,53,3170,4,130.18,1,1,0.271,0,0
67.19,6,0.22,63,1547,3,165.27,1,0,0.135,0,0
275.06,23,0.132,63,1866,5,112.78,1,0,0.104,0,0
124.84,16,0.414,20,3530,5,237.89,2,0,0.703,0,1
479.49,10,0.039,35,1186,2,95.55,0,0,0.324,0,0
555.8,7,0.144,57,542,3,20.32,0,0,0.212,0,0
47.32,3,0.255,59,1474,2,50.94,0,0,0.03,0,0
26.42,9,0.2,21,1894,2,125.15,0,0,0.167,0,0
163.66,21,0.382,70,2083,5,43.82,1,0,0.178,1,0
103.72,6,0.121,70,816,3,237.53,3,0,0.741,0,1
55.99,18,0.333,42,547,5,316.35,1,0,0.241,0,0
21.59,17,0.514,23,473,5,147.03,1,1,0.258,0,0
344.46,20,0.234,43,1759,2,245.44,1,0,0.651,0,0
64.32,23,0.139,72,2989,9,150.83,0,0,0.206,0,0
263.06,2,0.313,45,2434,1,87.89,0,0,0.467,0,0
180.32,8,0.34,33,2025,2,396.72,2,0,0.172,0,0
120.38,20,0.444,40,1426,6,131.59,1,0,0.428,0,0
1113.51,22,0.297,22,434,1,436.27,0,1,0.399,1,0
57.35,11,0.296,64,212,2,64.83,0,0,0.192,0,0
69.31,16,0.171,63,3309,4,245.19,0,0,0.196,0,0
167.85,23,0.649,43,3195,2,129.49,0,0,0.185,0,0
135.68,19,0.046,60,1621,7,147.33,1,0,0.183,0,0
2253.34,16,0.406,22,3083,2,163.39,1,1,0.537,0,1
377.33,21,0.112,55,1050,3,71.66,2,1,0.316,0,0
194.28,13,0.141,32,1320,2,129.73,0,1,0.401,0,0
75.08,14,0.62,69,1877,7,239.51,1,1,0.356,0,0
216.94,14,0.591,62,3426,2,728.91,2,0,0.459,0,0
83.27,3,0.296,60,2402,5,38.83,1,0,0.586,0,1
178.52,20,0.614,60,2700,7,202.22,1,0,0.341,0,0
369.21,15,0.147,69,808,4,142.43,0,1,0.396,0,0
1242.36,18,0.097,43,1336,3,69.22,0,0,0.129,0,0
594.87,10,0.129,74,760,0,87.47,1,0,0.04,0,0
48.81,3,0.148,71,2514,6,58.03,2,0,0.411,0,0
246.62,23,0.242,57,1558,3,54.34,1,0,0.35,0,0
36.35,15,0.264,46,2017,7,323.42,1,1,0.48,0,0
51.67,10,0.448,27,2524,3,135.02,0,0,0.473,0,1
53.12,12,0.494,67,318,7,70.99,2,0,0.115,0,0
129.76,11,0.351,51,728,5,82.84,2,0,0.443,0,0
92.81,12,0.208,56,237,9,37.01,1,0,0.163,0,0
246.72,19,0.196,19,3122,0,235.74,0,0,0.361,0,0
64.25,23,0.498,42,2179,3,114.17,1,0,0.374,1,0
489.18,11,0.159,50,527,8,140.49,3,0,0.12,0,0
192.46,4,0.308,38,1847,8,458.73,0,0,0.196,0,0
45.18,23,0.355,60,748,5,151.01,0,0,0.524,0,0
81.22,22,0.259,31,3014,0,106.11,2,0,0.284,0,0
291.44,10,0.383,43,3603,6,116.46,1,0,0.403,0,0
139.19,12,0.328,55,2054,3,135.48,2,0,0.275,1,0
209.86,7,0.208,71,2362,3,75.51,1,0,0.244,1,1
271.54,4,0.273,54,649,2,230.26,2,0,0.613,0,0
243.24,3,0.181,21,3536,3,233.02,0,0,0.598,1,0
50.8,4,0.318,65,1236,10,234.05,1,0,0.486,0,0
438.21,16,0.135,42,610,5,164.69,0,0,0.524,0,0
90.77,0,0.368,34,2378,5,89.86,2,0,0.324,0,0
40.75,12,0.134,67,808,3,49.71,2,0,0.293,0,0
246.84,16,0.406,53,3451,2,108.41,0,1,0.58,0,1
437.8,18,0.307,48,990,1,32.6,1,0,0.197,0,0
120.71,18,0.283,47,404,0,162.59,0,0,0.535,0,0
32.62,17,0.59,40,1600,10,117.05,0,0,0.351,0,0
111.27,20,0.496,31,1593,1,49.28,0,0,0.061,0,0
95.02,15,0.283,40,2738,4,193.82,1,0,0.344,0,0
335.46,6,0.322,61,1677,7,84.92,0,0,0.649,0,0
100.96,4,0.271,26,2099,3,162.43,0,0,0.107,0,0
125.36,0,0.418,27,279,6,107.64,1,1,0.797,1,1
211.93,5,0.357,31,2416,7,254.65,1,0,0.343,0,0
87.69,18,0.274,41,1641,3,186.33,1,0,0.243,0,0
100.32,12,0.053,53,635,7,185.25,0,1,0.041,0,0
36.04,18,0.133,24,2455,2,163.48,2,0,0.32,0,0
134.9,14,0.539,65,1030,4,48.27,0,1,0.373,0,0
110.22,10,0.24,29,101,3,72.96,0,0,0.437,0,0
271.26,13,0.194,42,1571,3,73.81,0,1,0.096,0,1
71.66,11,0.304,39,2873,5,126.88,1,0,0.182,0,0
281.07,21,0.426,44,3287,5,258.48,1,1,0.137,0,0
66.05,17,0.226,18,622,2,157.29,1,0,0.258,0,0
47.99,13,0.248,27,1129,1,163.0,1,1,0.504,0,0
149.59,5,0.414,38,1682,2,49.09,0,0,0.277,0,0
98.28,22,0.254,52,3487,6,137.84,1,0,0.41,0,0
78.13,21,0.214,55,507,3,412.37,1,0,0.266,0,0
280.18,10,0.154,55,1916,1,199.11,0,0,0.408,1,0
160.55,13,0.481,41,3316,5,215.07,1,0,0.419,0,0
111.97,2,0.541,26,1176,1,298.61,0,0,0.298,0,0
25.12,21,0.101,60,3461,5,201.98,1,0,0.678,0,1
240.06,7,0.063,27,2751,7,47.47,1,0,0.178,0,0
177.01,3,0.146,62,220,3,48.13,2,0,0.464,0,0
265.75,1,0.336,38,2525,5,181.82,1,0,0.174,0,0
468.38,20,0.096,19,1686,4,42.34,1,0,0.475,0,0
233.86,2,0.437,20,371,3,60.06,0,1,0.701,0,1
811.95,19,0.558,53,3641,5,31.79,1,0,0.194,0,0
50.64,14,0.429,57,1153,3,90.78,1,0,0.563,1,0
179.42,8,0.439,27,2261,5,154.81,0,0,0.379,0,0
171.3,10,0.138,75,625,5,59.48,1,0,0.375,0,0
430.07,23,0.409,21,2527,4,32.68,0,0,0.114,0,0
51.95,5,0.31,61,3263,5,64.76,0,0,0.095,0,0
184.78,9,0.337,62,692,1,340.74,2,0,0.271,0,0
237.47,7,0.211,46,2617,5,91.95,1,0,0.139,0,0
263.11,16,0.137,45,528,5,198.47,0,0,0.233,0,0
65.0,15,0.178,26,2080,4,57.26,0,0,0.302,0,0
68.95,3,0.528,36,2491,4,162.88,1,1,0.193,0,1
103.22,22,0.516,35,3389,5,62.78,0,0,0.361,0,0
126.99,10,0.325,52,1190,1,130.25,1,0,0.338,0,0
572.98,2,0.117,45,1336,8,119.34,0,0,0.333,0,0
51.54,12,0.026,38,2028,4,23.76,0,0,0.109,0,0
546.36,14,0.18,71,1068,6,107.65,1,0,0.416,0,0
250.34,6,0.321,25,2657,0,42.92,0,0,0.124,0,0
397.71,13,0.174,44,1740,3,68.08,1,0,0.295,0,0
27.04,11,0.028,18,135,10,118.74,3,0,0.129,1,0
147.53,16,0.333,43,3489,4,434.96,1,0,0.416,0,0
59.37,6,0.161,30,3242,4,55.27,1,0,0.223,0,0
166.21,19,0.185,42,2734,3,177.0,1,0,0.38,0,0
231.14,23,0.076,47,886,1,236.96,3,0,0.312,0,0
273.82,9,0.259,36,1016,6,55.11,0,0,0.359,0,0
152.0,3,0.239,30,3265,5,118.7,0,0,0.048,0,0
201.8,5,0.411,41,3437,5,349.63,2,0,0.625,0,1
76.68,19,0.318,35,378,3,160.73,1,0,0.501,0,0
49.08,15,0.382,72,2270,0,70.74,0,0,0.508,0,0
25.25,17,0.444,65,1579,3,209.35,0,0,0.228,0,1
44.27,23,0.123,41,2639,3,82.4,2,0,0.169,0,0
91.13,7,0.186,45,131,2,91.01,1,0,0.67,0,0
71.5,13,0.362,75,1488,4,59.38,1,0,0.055,0,0
478.28,5,0.4,21,476,5,178.73,1,0,0.185,0,1
97.72,2,0.434,70,1954,2,101.18,1,0,0.356,0,0
473.11,0,0.17,58,983,1,134.88,0,0,0.084,0,0
137.83,17,0.64,19,3352,3,276.53,0,0,0.204,0,0
38.45,20,0.124,25,2997,5,514.39,0,1,0.714,0,1
35.49,21,0.334,64,2565,4,79.33,1,0,0.257,0,0
96.85,11,0.418,37,3436,5,212.91,0,0,0.331,0,0
132.49,18,0.231,55,2436,5,32.17,1,1,0.361,0,1
19.94,14,0.416,53,1783,4,94.18,0,0,0.054,0,0
252.07,6,0.507,27,461,5,56.98,0,1,0.149,0,1
187.39,22,0.48,32,1407,2,246.91,0,1,0.356,0,0
1122.83,0,0.496,38,1954,5,246.1,1,0,0.106,0,0
194.14,16,0.357,64,2234,3,151.93,0,0,0.142,0,0
32.96,1,0.506,32,2332,3,68.27,1,1,0.3,0,1
142.89,21,0.19,49,935,1,84.35,1,0,0.598,0,0
34.98,3,0.208,68,391,7,216.46,0,1,0.102,0,0
94.18,16,0.204,24,437,7,236.92,0,0,0.262,0,0
180.26,2,0.19,52,3155,3,332.7,1,0,0.232,0,0
99.52,20,0.56,34,2080,3,93.92,0,0,0.582,0,0
50.11,8,0.191,27,644,6,545.56,1,0,0.181,0,0
185.64,19,0.163,55,3581,5,94.41,2,0,0.12,0,0
45.88,14,0.097,70,1383,2,140.66,1,0,0.208,0,0
113.92,17,0.167,56,1974,3,61.71,4,0,0.536,0,0
56.55,21,0.278,18,203,1,118.52,1,0,0.096,0,0
55.17,8,0.304,45,3004,3,132.65,0,0,0.315,0,0
161.76,21,0.566,74,1594,6,80.09,1,0,0.26,0,0
123.81,20,0.093,73,1907,5,97.39,1,1,0.483,0,0
138.92,16,0.502,71,307,1,152.37,0,0,0.292,0,0
258.11,23,0.348,26,2532,1,171.88,1,1,0.185,0,0
377.13,15,0.5,63,2123,10,125.28,3,0,0.18,0,0
821.07,1,0.222,19,2514,2,216.89,0,0,0.269,0,0
80.97,2,0.087,19,1628,6,314.55,0,0,0.525,0,0
444.29,15,0.366,75,334,5,20.39,1,1,0.407,0,1
184.08,9,0.146,75,2370,3,94.55,2,1,0.279,0,0
199.73,13,0.167,42,1454,3,181.93,0,0,0.287,0,0
48.88,19,0.701,66,3391,3,13.48,0,1,0.34,0,0
160.13,3,0.503,37,50,2,100.03,0,0,0.628,0,0
101.94,14,0.227,55,1011,6,34.54,0,0,0.278,0,0
189.04,22,0.456,62,3483,8,396.19,1,0,0.12,0,0
197.77,10,0.323,23,1642,5,70.34,1,0,0.03,0,0
186.61,20,0.284,49,370,3,158.69,0,0,0.37,0,0
1916.39,15,0.058,35,1031,5,191.38,1,0,0.168,0,0
567.63,7,0.507,23,1384,2,66.73,0,1,0.152,0,0
1781.46,0,0.44,19,1390,6,22.1,0,0,0.435,0,0
52.21,5,0.176,58,2053,3,210.44,1,0,0.149,0,0
115.16,1,0.156,67,3267,5,89.28,1,0,0.042,0,0
173.83,4,0.466,62,1811,3,86.59,1,0,0.199,0,0
55.79,21,0.218,71,2430,4,183.75,0,0,0.105,1,0
37.72,14,0.165,68,405,2,63.03,1,0,0.597,0,1
106.19,0,0.187,28,1748,4,676.33,1,1,0.318,0,0
517.76,11,0.314,18,1511,6,132.66,3,0,0.142,0,0
42.78,0,0.296,49,1933,6,213.28,0,1,0.1,0,1
187.06,19,0.019,30,388,3,113.73,0,0,0.156,0,0
2088.8,2,0.057,28,2883,3,153.06,0,0,0.304,0,0
191.41,8,0.127,39,1519,6,318.05,2,0,0.507,0,0
651.93,18,0.453,54,2365,5,204.81,1,0,0.545,0,0
87.45,10,0.421,35,2431,3,164.53,0,1,0.248,0,1
346.92,19,0.372,41,905,3,219.54,2,0,0.156,0,0
76.56,9,0.145,62,2328,3,197.65,0,0,0.294,0,0
32.64,19,0.252,48,451,1,32.9,0,1,0.407,0,0
144.88,21,0.621,30,2521,6,287.05,1,0,0.343,0,0
453.68,6,0.148,70,64,1,63.88,0,0,0.139,0,0
556.3,11,0.386,18,394,6,174.44,0,0,0.385,0,0
139.79,14,0.275,74,3390,4,14.42,0,0,0.131,0,0
317.01,20,0.27,60,463,4,282.42,4,0,0.624,0,0
51.3,17,0.337,23,2652,5,172.02,1,1,0.385,0,0
14.85,14,0.134,71,108,3,49.69,0,0,0.269,1,0
55.26,4,0.548,47,986,4,136.67,1,0,0.333,0,0
69.63,0,0.185,26,1486,2,108.89,1,0,0.587,0,0
58.18,1,0.311,19,620,1,144.49,2,0,0.274,0,1
119.81,9,0.306,39,754,4,72.36,2,0,0.219,0,0
384.25,22,0.256,52,2824,4,189.44,0,0,0.401,0,1
516.41,14,0.146,70,2394,5,134.73,1,0,0.234,0,0
267.29,12,0.497,45,1837,4,113.39,0,0,0.616,0,0
98.41,8,0.281,22,840,5,280.79,2,0,0.182,0,0
218.98,8,0.056,67,394,1,41.76,0,0,0.502,0,0
57.52,20,0.264,25,366,2,132.44,1,0,0.277,0,0
186.81,23,0.203,42,3605,4,121.01,3,0,0.214,0,0
610.44,2,0.53,27,2718,1,162.35,0,0,0.311,0,0
96.9,3,0.153,19,3547,3,93.65,0,0,0.362,0,1
54.51,14,0.205,46,3479,1,416.03,1,0,0.149,0,0
32.66,9,0.133,26,172,3,376.09,2,1,0.25,0,0
63.58,17,0.127,67,2972,4,297.87,0,0,0.392,0,0
36.77,19,0.374,47,3196,4,221.5,0,0,0.382,0,0
731.02,2,0.146,23,2569,8,246.9,1,0,0.478,0,0
45.32,14,0.156,44,950,4,101.51,0,0,0.221,0,0
184.66,22,0.122,70,2702,4,87.79,2,0,0.585,0,0
281.01,17,0.511,39,978,5,120.85,1,0,0.256,0,0
303.27,23,0.126,59,1476,2,275.86,1,0,0.42,0,0
700.05,21,0.428,73,2306,3,70.01,1,1,0.106,0,1
13.15,4,0.378,51,777,5,88.15,2,0,0.119,1,0
208.64,12,0.203,31,2415,3,75.15,2,0,0.266,0,0
91.18,23,0.16,40,2555,5,51.73,1,0,0.216,0,0
161.76,19,0.088,22,1862,1,158.53,0,0,0.633,0,0
417.98,5,0.07,46,2172,4,129.49,0,0,0.205,0,0
507.87,0,0.197,31,379,6,285.04,1,0,0.164,0,0
206.92,5,0.137,50,3359,9,172.86,1,0,0.366,0,0
88.7,9,0.488,40,338,3,231.68,1,0,0.167,0,0
30.86,11,0.181,20,256,3,89.77,2,1,0.204,0,0
35.79,4,0.457,66,2514,3,114.28,1,0,0.153,0,0
477.85,8,0.302,34,2539,8,37.01,1,0,0.226,0,0
108.94,1,0.245,33,3637,7,161.36,1,0,0.283,0,1
98.31,1,0.085,63,1792,3,200.01,0,0,0.529,0,0
479.01,5,0.028,20,217,3,185.32,1,1,0.609,0,1
257.88,5,0.166,38,3123,5,81.48,1,0,0.224,0,0
49.82,19,0.17,41,2416,4,66.16,1,1,0.478,0,0
388.38,5,0.224,32,1948,5,302.39,2,0,0.18,0,0
343.26,14,0.169,62,1243,6,72.0,4,1,0.161,0,1
77.67,9,0.284,48,2912,5,157.5,1,1,0.488,0,0
89.86,1,0.132,29,1318,5,39.19,1,0,0.803,0,1
172.32,23,0.276,43,2931,3,83.85,1,0,0.359,0,0
76.29,12,0.273,35,2851,3,180.88,1,0,0.312,1,0
241.3,5,0.253,18,436,4,77.05,0,0,0.839,1,0
47.52,15,0.067,50,2125,7,113.82,1,0,0.241,0,0
113.68,22,0.116,63,2528,3,89.91,0,0,0.64,0,0
105.37,11,0.447,50,3169,5,104.97,2,0,0.227,0,0
383.6,0,0.255,67,55,2,213.83,1,0,0.267,0,0
49.78,16,0.53,66,647,2,56.29,0,1,0.081,0,0
120.53,8,0.208,62,136,2,70.39,3,0,0.301,0,0
329.64,21,0.248,43,3260,6,78.49,0,0,0.422,1,1
1239.12,3,0.023,60,2047,1,240.61,2,0,0.122,0,0
321.15,8,0.134,70,1448,6,348.03,0,0,0.235,0,0
202.53,19,0.187,28,641,3,138.67,2,1,0.372,0,0
118.55,0,0.366,67,565,4,334.17,0,0,0.401,0,1
197.46,17,0.684,21,300,4,56.91,1,0,0.44,0,0
115.7,23,0.424,57,3574,6,104.77,3,1,0.097,0,1
163.54,15,0.437,21,3016,4,208.96,1,0,0.386,0,0
14.64,12,0.154,20,1926,5,145.72,1,0,0.474,0,0
150.55,20,0.264,70,2261,0,158.75,0,0,0.343,0,0
515.99,0,0.06,73,3442,2,51.47,1,0,0.634,0,0
273.2,13,0.273,30,3093,8,47.28,0,1,0.323,0,0
46.95,9,0.252,24,2450,1,136.56,0,0,0.084,1,1
25.57,0,0.13,72,2590,5,65.36,2,0,0.593,0,0
242.11,0,0.371,48,582,2,134.88,1,0,0.407,0,0
474.77,13,0.253,46,1791,4,102.79,0,0,0.342,0,1
369.99,15,0.26,46,3505,5,467.16,1,0,0.131,0,0
756.85,4,0.2,41,3005,6,187.22,1,0,0.106,0,0
873.28,7,0.767,30,670,5,173.01,0,0,0.08,0,0
56.06,10,0.549,72,3344,7,130.49,1,0,0.589,0,0
20.7,17,0.227,59,2903,8,203.41,0,0,0.74,0,1
80.83,0,0.47,20,653,1,74.21,1,0,0.255,0,0
179.38,18,0.703,51,1617,9,112.52,0,0,0.297,0,0
32.48,22,0.323,19,2519,4,140.26,0,0,0.471,0,0
53.37,19,0.406,30,2487,6,105.62,1,0,0.408,0,0
205.27,4,0.369,61,2885,2,196.66,0,0,0.345,0,0
37.02,1,0.143,67,2077,3,98.62,0,0,0.33,0,0
155.14,10,0.143,21,2837,4,388.35,3,0,0.031,0,0
39.55,22,0.142,38,620,4,154.31,1,0,0.162,0,0
161.63,7,0.324,47,1175,4,75.69,1,0,0.292,0,0
241.41,14,0.086,27,1358,1,116.32,1,0,0.308,0,0
134.27,12,0.298,43,2773,4,339.05,0,0,0.629,0,0
143.37,16,0.405,71,1984,3,174.99,0,0,0.451,0,0
151.56,10,0.409,63,3061,7,79.14,2,0,0.189,0,0
82.96,8,0.295,66,595,2,29.91,1,0,0.463,0,0
59.37,2,0.043,74,1798,4,111.06,1,0,0.443,0,0
71.19,18,0.302,57,1039,7,79.27,1,1,0.668,0,0
524.01,1,0.445,22,2842,1,75.79,1,1,0.343,0,0
122.21,11,0.19,39,435,5,166.79,1,1,0.234,0,1
77.86,14,0.405,20,1549,2,60.74,1,0,0.162,0,0
279.48,11,0.384,27,3580,1,60.09,1,0,0.147,1,1
127.63,16,0.259,75,2244,3,131.27,1,0,0.323,0,0
77.98,22,0.194,30,3244,3,106.14,1,0,0.616,0,0
264.97,21,0.204,31,3096,3,314.07,0,1,0.189,0,1
94.45,19,0.301,21,3305,6,168.77,0,0,0.46,0,0
40.73,12,0.204,21,2738,1,77.46,1,0,0.086,0,0
401.93,16,0.104,24,848,4,145.16,1,0,0.346,1,1
143.85,17,0.295,18,1769,6,96.86,1,0,0.414,0,0
234.9,18,0.129,69,2195,6,120.5,0,0,0.421,0,0
123.41,3,0.122,53,2542,9,284.12,0,0,0.646,0,0
269.47,7,0.124,32,134,2,224.47,0,0,0.205,0,0
325.25,0,0.359,57,2440,8,109.33,1,0,0.218,0,0
550.21,16,0.077,56,808,3,312.29,0,0,0.341,0,0
95.61,12,0.312,35,1280,5,188.06,1,0,0.312,1,0
968.91,15,0.368,47,633,1,193.62,3,1,0.138,0,0
80.89,18,0.326,34,3516,6,132.95,0,0,0.165,0,0
112.09,3,0.338,28,3512,4,67.65,1,0,0.618,0,0
22.58,23,0.085,60,1955,4,325.63,0,0,0.174,0,0
608.17,10,0.605,52,1906,4,77.17,2,0,0.251,0,0
24.48,15,0.197,32,350,8,191.94,1,0,0.507,0,0
302.36,12,0.322,48,1287,2,72.03,0,0,0.12,0,0
329.59,10,0.252,47,120,8,117.11,1,0,0.228,0,0
137.77,11,0.167,74,1860,3,375.32,1,0,0.318,0,0
141.32,11,0.694,65,129,4,157.79,0,0,0.036,0,0
446.45,0,0.167,72,2749,2,121.93,0,0,0.087,0,0
85.67,23,0.245,22,46,2,57.66,1,0,0.173,0,0
346.69,8,0.321,72,691,6,210.9,0,0,0.209,0,0
996.39,17,0.273,39,798,3,206.17,1,0,0.26,0,0
