customer_id,date,segment,region,plan,monthly_revenue,churn,churn_risk
C1072,2025-02-01,SMB,East,Pro,111.93,Yes,High
C1073,2025-02-01,SMB,North,Basic,15.85,No,Low
C1074,2025-02-01,Startup,West,Premium,351.48,No,Low
C1075,2025-02-01,SMB,West,Basic,39.07,No,Low
C1076,2025-02-01,SMB,South,Premium,393.57,No,Medium
C1077,2025-02-01,Consumer,East,Basic,19.67,No,Medium
C1078,2025-02-01,Consumer,West,Premium,364.43,No,Medium
C1079,2025-02-01,Consumer,West,Pro,139.72,No,Low
C1080,2025-02-01,SMB,West,Basic,37.32,No,Medium
C1081,2025-02-01,Startup,East,Basic,17.71,No,Low
C1082,2025-02-01,SMB,South,Pro,63.84,No,Medium
C1083,2025-02-01,Consumer,North,Basic,29.27,No,Low
C1084,2025-02-01,SMB,North,Pro,140.48,No,Medium
C1085,2025-02-01,Consumer,East,Premium,283.13,Yes,High
C1086,2025-02-01,Consumer,South,Premium,483.7,No,Medium
C1087,2025-02-01,Startup,West,Basic,32.0,No,Medium
C1088,2025-02-01,Consumer,North,Premium,471.84,No,Medium
C1089,2025-02-01,Consumer,South,Pro,116.3,Yes,High
C1090,2025-02-01,Consumer,East,Basic,24.11,No,Low
C1091,2025-02-01,SMB,East,Premium,247.39,No,Low
C1092,2025-02-01,Consumer,South,Pro,124.9,Yes,High
C1093,2025-02-01,Consumer,South,Premium,378.11,No,Low
C1094,2025-02-01,Consumer,South,Pro,73.85,No,Low
C1095,2025-02-01,Startup,North,Basic,27.91,No,Medium
C1096,2025-02-01,Consumer,West,Basic,25.89,No,Low
C1097,2025-02-01,SMB,South,Premium,176.6,No,Medium
C1098,2025-02-01,Enterprise,North,Premium,447.6,No,Low
C1099,2025-02-01,SMB,North,Pro,87.06,No,Low
C1100,2025-02-01,Consumer,West,Premium,186.94,No,Medium
C1101,2025-03-01,Consumer,West,Pro,123.38,No,Low
C1102,2025-03-01,Startup,North,Premium,357.37,No,Low
C1103,2025-03-01,SMB,West,Pro,125.05,No,Medium
C1104,2025-03-01,SMB,East,Pro,82.5,No,Low
C1105,2025-03-01,SMB,South,Premium,395.41,No,Low
C1106,2025-03-01,Enterprise,West,Premium,321.0,No,Medium
C1107,2025-03-01,Startup,West,Pro,129.29,Yes,High
C1108,2025-03-01,Consumer,East,Basic,35.35,No,Medium
C1109,2025-03-01,SMB,East,Premium,265.78,No,Low
C1110,2025-03-01,SMB,South,Basic,21.74,Yes,Medium
C1111,2025-03-01,SMB,East,Premium,246.77,No,Medium
C1112,2025-03-01,Consumer,North,Premium,253.69,No,Low
C1113,2025-03-01,Consumer,South,Basic,16.59,Yes,High
C1114,2025-03-01,Startup,West,Premium,185.91,Yes,High
C1115,2025-03-01,Startup,North,Basic,48.79,No,Low
C1116,2025-03-01,Consumer,South,Pro,57.41,No,Low
C1117,2025-03-01,Enterprise,West,Pro,80.38,No,Low
C1118,2025-03-01,Startup,West,Premium,228.99,No,Low
C1119,2025-03-01,SMB,North,Pro,92.88,No,Low
C1120,2025-03-01,Consumer,South,Basic,22.39,No,Low
C1121,2025-03-01,SMB,West,Basic,15.09,No,Medium
C1122,2025-03-01,SMB,North,Basic,39.74,No,Low
C1123,2025-03-01,Consumer,South,Enterprise,2075.66,No,Medium
C1124,2025-03-01,SMB,North,Pro,114.76,No,Low
C1125,2025-03-01,Enterprise,West,Premium,358.27,No,Low
C1126,2025-03-01,Enterprise,West,Pro,119.97,No,Medium
C1127,2025-03-01,SMB,East,Pro,138.94,No,Medium
C1128,2025-03-01,Enterprise,North,Basic,38.6,No,Medium
C1129,2025-03-01,Consumer,West,Pro,76.95,Yes,High
C1130,2025-03-01,Startup,West,Pro,77.82,No,Low
C1131,2025-03-01,Consumer,South,Pro,90.83,No,Low
C1132,2025-03-01,SMB,North,Pro,78.82,No,Medium
C1133,2025-03-01,Startup,North,Basic,26.31,No,Low
C1134,2025-03-01,Consumer,West,Pro,91.32,No,Low
C1135,2025-03-01,Startup,West,Premium,221.25,No,Low
C1136,2025-03-01,Consumer,South,Pro,52.89,No,Low
C1137,2025-03-01,SMB,West,Basic,29.28,No,Low
C1138,2025-03-01,Consumer,East,Pro,65.4,No,Low
C1139,2025-03-01,SMB,West,Pro,97.22,No,Low
C1140,2025-03-01,SMB,East,Pro,124.63,Yes,High
C1141,2025-03-01,Consumer,North,Premium,268.96,No,Low
C1142,2025-03-01,SMB,South,Basic,35.54,No,Low
C1143,2025-03-01,SMB,West,Pro,83.24,No,Low
C1144,2025-03-01,Consumer,South,Premium,493.27,No,Low
C1145,2025-03-01,Consumer,West,Pro,81.82,No,Low
C1146,2025-03-01,Consumer,South,Premium,378.21,No,Low
C1147,2025-03-01,Startup,North,Pro,136.97,No,Low
C1148,2025-03-01,Startup,South,Pro,122.24,No,Medium
C1149,2025-03-01,Enterprise,North,Premium,242.76,No,Low
C1150,2025-03-01,Consumer,West,Premium,450.77,No,Low
C1151,2025-04-01,Consumer,South,Basic,17.39,No,Low
C1152,2025-04-01,Consumer,West,Pro,59.84,No,Low
C1153,2025-04-01,SMB,East,Basic,16.01,No,Low
C1154,2025-04-01,SMB,South,Pro,74.42,No,Medium
C1155,2025-04-01,SMB,West,Basic,45.48,No,Low
C1156,2025-04-01,Consumer,North,Basic,31.14,No,Low
C1157,2025-04-01,Consumer,West,Pro,78.76,No,Low
C1158,2025-04-01,Consumer,East,Enterprise,1098.31,No,Medium
C1159,2025-04-01,Startup,South,Basic,49.98,No,Low
C1160,2025-04-01,SMB,West,Pro,79.59,No,Low
C1161,2025-04-01,SMB,West,Pro,118.58,No,Low
C1162,2025-04-01,Consumer,South,Enterprise,2051.48,No,Low
C1163,2025-04-01,Startup,South,Pro,117.78,No,Medium
C1164,2025-04-01,Startup,North,Enterprise,1792.68,No,Low
C1165,2025-04-01,Startup,West,Premium,181.55,No,Medium
C1166,2025-04-01,SMB,East,Basic,33.88,No,Medium
C1167,2025-04-01,Consumer,East,Basic,43.86,No,Low
C1168,2025-04-01,Consumer,West,Pro,57.53,No,Low
C1169,2025-04-01,Consumer,East,Premium,278.02,No,Low
C1170,2025-04-01,Startup,West,Pro,117.28,No,Medium
C1171,2025-04-01,Consumer,East,Enterprise,716.69,No,Low
C1172,2025-04-01,Consumer,East,Basic,17.21,No,Medium
C1173,2025-04-01,Startup,North,Basic,16.59,Yes,High
C1174,2025-04-01,Enterprise,West,Premium,197.48,No,Medium
C1175,2025-04-01,Startup,West,Premium,459.89,No,Low
C1176,2025-04-01,Consumer,South,Basic,39.16,No,Low
C1177,2025-04-01,Consumer,East,Basic,39.0,No,Medium
C1178,2025-04-01,Enterprise,North,Basic,48.89,No,Low
C1179,2025-04-01,Consumer,South,Pro,109.71,Yes,High
C1180,2025-04-01,Consumer,South,Premium,221.82,No,Medium
C1181,2025-04-01,Startup,North,Premium,231.55,No,Medium
C1182,2025-04-01,SMB,North,Enterprise,2475.05,No,Low
C1183,2025-04-01,Consumer,East,Basic,15.52,No,Low
C1184,2025-04-01,Enterprise,North,Basic,19.44,No,Low
C1185,2025-04-01,Startup,South,Premium,329.63,Yes,Medium
C1186,2025-04-01,Consumer,East,Basic,42.41,No,Medium
C1187,2025-04-01,Startup,West,Enterprise,621.65,No,Low
C1188,2025-04-01,Consumer,East,Pro,140.97,Yes,High
C1189,2025-04-01,Startup,East,Basic,24.63,No,Medium
C1190,2025-04-01,SMB,North,Pro,79.49,No,Low
C1191,2025-04-01,Consumer,South,Basic,37.91,No,Medium
C1192,2025-04-01,SMB,West,Premium,294.83,No,Low
C1193,2025-04-01,Consumer,West,Basic,25.94,No,Low
C1194,2025-04-01,Enterprise,East,Premium,182.63,No,Medium
C1195,2025-04-01,Consumer,North,Pro,108.65,No,Low
C1196,2025-04-01,SMB,North,Premium,479.4,No,Medium
C1197,2025-04-01,Consumer,South,Pro,85.16,No,Low
C1198,2025-04-01,Consumer,North,Basic,18.79,No,Low
C1199,2025-04-01,Consumer,North,Pro,130.72,No,Medium
C1200,2025-04-01,Startup,East,Pro,119.35,Yes,High
C1201,2025-05-01,Consumer,West,Pro,68.14,No,Medium
C1202,2025-05-01,Enterprise,South,Premium,490.13,No,Medium
C1203,2025-05-01,SMB,North,Pro,65.74,No,Low
C1204,2025-05-01,Consumer,East,Basic,41.41,Yes,High
C1205,2025-05-01,SMB,North,Pro,110.71,No,Low
C1206,2025-05-01,SMB,East,Basic,38.74,No,Medium
C1207,2025-05-01,Enterprise,South,Pro,109.93,Yes,High
C1208,2025-05-01,Consumer,West,Premium,251.31,Yes,High
C1209,2025-05-01,SMB,East,Pro,120.37,No,Medium
C1210,2025-05-01,Enterprise,East,Premium,164.81,Yes,High
C1211,2025-05-01,Startup,West,Pro,120.95,No,Low
C1212,2025-05-01,Enterprise,East,Basic,43.05,No,Medium
C1213,2025-05-01,Enterprise,North,Premium,235.16,No,Medium
C1214,2025-05-01,SMB,North,Basic,26.88,No,Low
C1215,2025-05-01,Startup,East,Basic,32.85,No,Low
C1216,2025-05-01,Consumer,East,Premium,435.26,No,Low
C1217,2025-05-01,SMB,West,Pro,126.02,No,Low
C1218,2025-05-01,Startup,East,Pro,107.95,No,Medium
C1219,2025-05-01,Consumer,East,Pro,65.1,Yes,High
C1220,2025-05-01,Consumer,West,Pro,85.19,Yes,High
C1221,2025-05-01,Enterprise,West,Pro,78.71,No,Low
C1222,2025-05-01,Startup,South,Pro,129.18,No,Low
C1223,2025-05-01,SMB,East,Pro,65.09,Yes,High
C1224,2025-05-01,Consumer,West,Basic,37.61,Yes,Medium
C1225,2025-05-01,Consumer,West,Pro,110.98,No,Low
C1226,2025-05-01,SMB,East,Basic,35.93,No,Medium
C1227,2025-05-01,Enterprise,South,Basic,38.74,No,Medium
C1228,2025-05-01,SMB,West,Pro,64.14,No,Medium
C1229,2025-05-01,Enterprise,East,Premium,179.65,No,Medium
C1230,2025-05-01,Consumer,North,Pro,132.9,No,Medium
C1231,2025-05-01,Startup,South,Pro,86.18,No,Low
C1232,2025-05-01,SMB,North,Premium,217.2,No,Low
C1233,2025-05-01,SMB,North,Premium,327.69,No,Medium
C1234,2025-05-01,Consumer,South,Premium,366.31,No,Low
C1235,2025-05-01,SMB,West,Pro,112.47,No,Medium
C1236,2025-05-01,Enterprise,East,Pro,121.96,No,Medium
C1237,2025-05-01,Consumer,South,Premium,231.9,No,Low
C1238,2025-05-01,SMB,West,Enterprise,2468.88,No,Low
C1239,2025-05-01,Startup,South,Pro,66.21,Yes,Medium
C1240,2025-05-01,Consumer,North,Basic,31.82,No,Low
C1241,2025-05-01,SMB,West,Premium,245.48,No,Low
C1242,2025-05-01,Enterprise,West,Enterprise,2133.41,No,Low
C1243,2025-05-01,Enterprise,South,Pro,73.58,No,Low
C1244,2025-05-01,Enterprise,South,Enterprise,2178.35,No,Low
C1245,2025-05-01,Enterprise,West,Enterprise,1444.91,No,Medium
C1246,2025-05-01,SMB,West,Basic,17.77,No,Low
C1247,2025-05-01,Enterprise,West,Basic,25.54,Yes,High
C1248,2025-05-01,Enterprise,South,Premium,324.94,No,Medium
C1249,2025-05-01,Consumer,West,Basic,15.05,No,Medium
C1250,2025-05-01,SMB,North,Pro,102.35,No,Medium
C1251,2025-06-01,SMB,North,Pro,113.57,No,Low
C1252,2025-06-01,SMB,East,Basic,23.44,No,Low
C1253,2025-06-01,Enterprise,West,Pro,83.85,No,Medium
C1254,2025-06-01,Consumer,West,Pro,68.23,No,Medium
C1255,2025-06-01,Enterprise,East,Basic,42.69,No,Low
C1256,2025-06-01,Startup,South,Enterprise,1586.06,No,Medium
C1257,2025-06-01,SMB,North,Premium,166.73,No,Low
C1258,2025-06-01,Consumer,East,Pro,90.0,No,Low
C1259,2025-06-01,Consumer,East,Pro,99.75,No,Medium
C1260,2025-06-01,Consumer,East,Premium,177.62,No,Low
C1261,2025-06-01,SMB,West,Basic,38.13,No,Medium
C1262,2025-06-01,SMB,West,Pro,94.71,No,Low
C1263,2025-06-01,SMB,West,Enterprise,2395.81,Yes,Medium
C1264,2025-06-01,SMB,West,Premium,387.79,No,Low
C1265,2025-06-01,Enterprise,North,Basic,42.25,No,Low
C1266,2025-06-01,Startup,South,Pro,144.88,No,Low
C1267,2025-06-01,Startup,North,Pro,114.96,No,Low
C1268,2025-06-01,Consumer,East,Pro,88.7,No,Low
C1269,2025-06-01,Consumer,South,Basic,36.42,No,Low
C1270,2025-06-01,Enterprise,North,Premium,308.21,No,Low
C1271,2025-06-01,Consumer,North,Enterprise,2473.15,No,Medium
C1272,2025-06-01,Startup,South,Basic,25.5,Yes,Medium
C1273,2025-06-01,Consumer,South,Pro,62.14,No,Low
C1274,2025-06-01,Consumer,South,Basic,34.39,No,Medium
C1275,2025-06-01,Startup,West,Basic,25.83,No,Medium
C1276,2025-06-01,Startup,North,Premium,438.17,Yes,High
C1277,2025-06-01,SMB,South,Pro,84.45,No,Medium
C1278,2025-06-01,Consumer,South,Basic,32.6,No,Low
C1279,2025-06-01,SMB,East,Basic,47.72,No,Medium
C1280,2025-06-01,Consumer,East,Basic,37.23,No,Low
C1281,2025-06-01,Startup,South,Basic,37.43,No,Medium
C1282,2025-06-01,SMB,North,Pro,140.2,No,Medium
C1283,2025-06-01,Consumer,East,Basic,16.59,No,Medium
C1284,2025-06-01,Consumer,East,Premium,295.81,No,Low
C1285,2025-06-01,Startup,East,Basic,23.57,No,Low
C1286,2025-06-01,Startup,South,Pro,65.81,No,Low
C1287,2025-06-01,SMB,West,Basic,45.15,No,Low
C1288,2025-06-01,Enterprise,North,Pro,106.17,No,Low
C1289,2025-06-01,SMB,West,Basic,18.39,No,Low
C1290,2025-06-01,SMB,East,Premium,205.89,No,Medium
C1291,2025-06-01,SMB,West,Basic,49.86,No,Low
C1292,2025-06-01,Enterprise,East,Enterprise,1510.89,No,Low
C1293,2025-06-01,Enterprise,West,Basic,35.91,No,Medium
C1294,2025-06-01,SMB,East,Basic,18.76,Yes,High
C1295,2025-06-01,Consumer,East,Pro,90.06,No,Low
C1296,2025-06-01,Startup,North,Basic,32.65,No,Low
C1297,2025-06-01,Enterprise,East,Basic,28.06,No,Medium
C1298,2025-06-01,Consumer,North,Basic,32.82,No,Low
C1299,2025-06-01,Enterprise,South,Basic,31.58,No,Medium
C1300,2025-06-01,SMB,East,Pro,66.25,No,Medium
C1301,2025-07-01,Startup,East,Pro,100.97,No,Medium
C1302,2025-07-01,Startup,East,Basic,26.59,Yes,High
C1303,2025-07-01,Consumer,East,Premium,390.82,Yes,High
C1304,2025-07-01,Consumer,North,Premium,421.66,No,Medium
C1305,2025-07-01,Startup,South,Basic,37.02,No,Low
C1306,2025-07-01,Consumer,North,Basic,35.04,No,Low
C1307,2025-07-01,SMB,West,Pro,91.3,No,Medium
C1308,2025-07-01,Consumer,East,Premium,171.8,No,Low
C1309,2025-07-01,Consumer,East,Pro,87.68,No,Low
C1310,2025-07-01,Startup,East,Pro,136.77,No,Medium
C1311,2025-07-01,Startup,East,Basic,23.63,No,Low
C1312,2025-07-01,Consumer,East,Premium,391.58,No,Low
C1313,2025-07-01,Startup,West,Enterprise,1943.33,No,Medium
C1314,2025-07-01,Consumer,East,Pro,84.51,No,Low
C1315,2025-07-01,Enterprise,East,Enterprise,658.06,No,Medium
C1316,2025-07-01,Consumer,East,Basic,43.98,No,Medium
C1317,2025-07-01,Enterprise,South,Pro,108.68,No,Medium
C1318,2025-07-01,Startup,South,Basic,29.47,No,Low
C1319,2025-07-01,Enterprise,West,Pro,142.91,No,Low
C1320,2025-07-01,Consumer,North,Premium,250.54,No,Low
C1321,2025-07-01,Consumer,South,Basic,40.85,No,Low
C1322,2025-07-01,SMB,West,Premium,476.87,Yes,High
C1323,2025-07-01,SMB,North,Premium,455.3,No,Low
C1324,2025-07-01,SMB,West,Pro,142.85,No,Low
C1325,2025-07-01,Consumer,East,Basic,32.65,No,Low
C1326,2025-07-01,SMB,East,Pro,75.73,No,Medium
C1327,2025-07-01,Consumer,West,Pro,125.73,No,Medium
C1328,2025-07-01,Consumer,South,Pro,58.67,No,Low
C1329,2025-07-01,Startup,East,Enterprise,513.66,No,Low
C1330,2025-07-01,Consumer,East,Basic,40.3,Yes,Medium
C1331,2025-07-01,Consumer,East,Basic,19.14,No,Low
C1332,2025-07-01,Consumer,South,Pro,144.06,No,Low
C1333,2025-07-01,Consumer,West,Pro,95.5,No,Low
C1334,2025-07-01,Consumer,South,Enterprise,2014.7,No,Low
C1335,2025-07-01,Consumer,East,Pro,128.74,No,Medium
C1336,2025-07-01,Enterprise,South,Pro,56.18,No,Medium
C1337,2025-07-01,Startup,South,Basic,26.48,No,Low
C1338,2025-07-01,Consumer,West,Pro,139.89,No,Low
C1339,2025-07-01,Enterprise,East,Pro,106.39,No,Medium
C1340,2025-07-01,Consumer,North,Pro,131.65,No,Medium
C1341,2025-07-01,Enterprise,West,Basic,17.23,No,Low
C1342,2025-07-01,Enterprise,West,Pro,126.9,No,Medium
C1343,2025-07-01,SMB,West,Premium,306.99,No,Low
C1344,2025-07-01,Enterprise,North,Enterprise,2249.11,No,Low
C1345,2025-07-01,SMB,North,Pro,102.88,No,Low
C1346,2025-07-01,Consumer,West,Enterprise,1426.01,No,Low
C1347,2025-07-01,Consumer,North,Basic,27.12,No,Medium
C1348,2025-07-01,Enterprise,South,Pro,111.49,No,Low
C1349,2025-07-01,SMB,North,Basic,16.18,No,Medium
C1350,2025-07-01,SMB,South,Basic,30.36,No,Low
C1351,2025-08-01,Startup,East,Basic,43.55,No,Low
C1352,2025-08-01,SMB,East,Premium,494.99,No,Low
C1353,2025-08-01,SMB,West,Pro,109.17,No,Low
C1354,2025-08-01,Startup,East,Basic,27.05,No,Low
C1355,2025-08-01,Consumer,West,Pro,79.99,No,Medium
C1356,2025-08-01,SMB,North,Basic,45.01,No,Low
C1357,2025-08-01,Startup,East,Enterprise,1614.57,Yes,High
C1358,2025-08-01,SMB,South,Pro,142.22,No,Low
C1359,2025-08-01,Enterprise,South,Pro,110.5,Yes,High
C1360,2025-08-01,Consumer,East,Pro,117.15,No,Low
C1361,2025-08-01,SMB,North,Enterprise,923.62,No,Medium
C1362,2025-08-01,Consumer,South,Premium,470.05,No,Medium
C1363,2025-08-01,SMB,East,Basic,26.26,No,Low
C1364,2025-08-01,SMB,West,Pro,138.28,No,Medium
C1365,2025-08-01,Consumer,South,Basic,22.11,No,Low
C1366,2025-08-01,Consumer,West,Basic,34.37,No,Medium
C1367,2025-08-01,SMB,West,Basic,23.05,No,Low
C1368,2025-08-01,Startup,West,Enterprise,1175.13,No,Low
C1369,2025-08-01,Startup,West,Premium,273.26,Yes,Medium
C1370,2025-08-01,SMB,North,Premium,496.61,No,Medium
C1371,2025-08-01,Consumer,West,Basic,43.63,Yes,High
C1372,2025-08-01,Enterprise,West,Pro,56.8,No,Low
C1373,2025-08-01,SMB,West,Pro,116.68,No,Low
C1374,2025-08-01,Enterprise,East,Pro,91.13,Yes,Medium
C1375,2025-08-01,Startup,South,Basic,32.58,No,Low
C1376,2025-08-01,Enterprise,East,Basic,20.21,No,Medium
C1377,2025-08-01,Consumer,West,Basic,28.89,No,Low
C1378,2025-08-01,Startup,North,Enterprise,951.71,No,Low
C1379,2025-08-01,Enterprise,South,Pro,105.27,Yes,High
C1380,2025-08-01,Enterprise,North,Premium,375.72,No,Low
C1381,2025-08-01,SMB,North,Enterprise,1884.58,No,Low
C1382,2025-08-01,Consumer,North,Pro,78.04,No,Medium
C1383,2025-08-01,SMB,West,Premium,155.48,No,Low
C1384,2025-08-01,Consumer,East,Basic,34.74,No,Low
C1385,2025-08-01,SMB,East,Premium,426.67,No,Low
C1386,2025-08-01,Enterprise,West,Pro,133.87,No,Medium
C1387,2025-08-01,Consumer,West,Basic,37.19,No,Low
C1388,2025-08-01,SMB,West,Pro,87.54,No,Medium
C1389,2025-08-01,Enterprise,East,Pro,129.81,No,Low
C1390,2025-08-01,SMB,East,Premium,371.87,No,Low
C1391,2025-08-01,Enterprise,North,Basic,25.79,No,Low
C1392,2025-08-01,Enterprise,North,Basic,30.71,No,Low
C1393,2025-08-01,Enterprise,West,Pro,59.31,No,Low
C1394,2025-08-01,Enterprise,South,Pro,127.92,No,Medium
C1395,2025-08-01,Startup,East,Basic,28.33,Yes,High
C1396,2025-08-01,Startup,North,Basic,30.21,No,Low
C1397,2025-08-01,SMB,South,Enterprise,1941.8,No,Medium
C1398,2025-08-01,Startup,West,Basic,15.24,No,Medium
C1399,2025-08-01,Consumer,South,Basic,26.72,No,Medium
C1400,2025-08-01,SMB,West,Pro,119.53,No,Low
C1401,2025-09-01,Consumer,South,Basic,39.32,No,Medium
C1402,2025-09-01,SMB,South,Basic,42.51,No,Medium
C1403,2025-09-01,Startup,West,Pro,118.17,No,Medium
C1404,2025-09-01,Consumer,West,Basic,42.92,No,Low
C1405,2025-09-01,Consumer,West,Basic,25.6,No,Low
C1406,2025-09-01,Consumer,West,Basic,49.67,No,Low
C1407,2025-09-01,Startup,North,Premium,275.84,No,Medium
C1408,2025-09-01,Enterprise,North,Basic,38.26,No,Medium
C1409,2025-09-01,Startup,West,Pro,114.67,No,Low
C1410,2025-09-01,Enterprise,South,Basic,22.77,No,Medium
C1411,2025-09-01,SMB,South,Pro,127.23,No,Medium
C1412,2025-09-01,SMB,North,Basic,18.66,No,Low
C1413,2025-09-01,Consumer,West,Premium,271.92,No,Low
C1414,2025-09-01,SMB,East,Basic,40.27,No,Low
C1415,2025-09-01,Enterprise,South,Premium,157.9,No,Low
C1416,2025-09-01,Consumer,West,Premium,330.6,No,Low
C1417,2025-09-01,Consumer,West,Basic,29.18,No,Medium
C1418,2025-09-01,SMB,West,Premium,459.08,No,Low
C1419,2025-09-01,Enterprise,North,Basic,24.74,No,Low
C1420,2025-09-01,Consumer,East,Pro,86.58,No,Low
C1421,2025-09-01,Consumer,West,Pro,146.59,No,Low
C1422,2025-09-01,Startup,East,Basic,44.59,No,Medium
C1423,2025-09-01,Consumer,East,Pro,117.21,No,Low
C1424,2025-09-01,Enterprise,South,Pro,64.14,No,Medium
C1425,2025-09-01,Startup,South,Pro,98.67,No,Medium
C1426,2025-09-01,Startup,North,Pro,64.03,No,Low
C1427,2025-09-01,Consumer,West,Enterprise,1469.22,No,Low
C1428,2025-09-01,SMB,North,Pro,121.01,No,Low
C1429,2025-09-01,Startup,East,Premium,227.19,Yes,High
C1430,2025-09-01,SMB,North,Pro,124.25,No,Medium
C1431,2025-09-01,Startup,North,Basic,34.01,No,Medium
C1432,2025-09-01,Consumer,South,Pro,71.85,No,Medium
C1433,2025-09-01,SMB,West,Enterprise,1399.46,No,Low
C1434,2025-09-01,Consumer,East,Basic,43.42,No,Medium
C1435,2025-09-01,Consumer,South,Pro,92.82,No,Low
C1436,2025-09-01,Consumer,East,Pro,103.23,No,Low
C1437,2025-09-01,Consumer,North,Basic,35.05,No,Medium
C1438,2025-09-01,Enterprise,South,Premium,294.06,Yes,High
C1439,2025-09-01,Consumer,West,Basic,20.12,No,Low
C1440,2025-09-01,Startup,North,Pro,76.87,No,Low
C1441,2025-09-01,Startup,East,Premium,182.58,No,Low
C1442,2025-09-01,Startup,North,Pro,108.2,No,Medium
C1443,2025-09-01,Consumer,West,Pro,116.41,No,Low
