Age,AnnualIncome,Gender,City,DeviceType,Membership,PaymentMethod,TrafficSource,SessionDuration,PagesVisited,PreviousPurchases,CartValue,Purchased
37,993738,Female,Chennai,Desktop,Basic,Net Banking,Google Ads,44.08,12,11,4091.98,1
45,875275,Male,Hyderabad,Mobile,Silver,UPI,Referral,23.85,10,4,7125.67,1
24,1003651,Female,Mumbai,Mobile,Basic,Debit Card,Email,47.28,8,9,5907.97,1
25,1440527,Male,Bengaluru,Mobile,Gold,UPI,Email,30.08,15,12,18378.43,1
52,1733731,Male,Pune,Tablet,Platinum,Net Banking,Referral,11.67,5,9,866.3,1
31,375716,Female,Chennai,Mobile,Gold,UPI,Referral,44.35,4,12,15474.82,1
34,764567,Male,Bengaluru,Desktop,Basic,Net Banking,Organic,15.88,20,5,19040.47,1
53,495172,Female,Hyderabad,Mobile,Basic,Credit Card,Referral,29.96,19,1,12070.01,1
57,1070695,Female,Delhi,Mobile,Gold,Debit Card,Email,5.46,4,6,23295.97,1
21,180126,Female,Delhi,Desktop,Platinum,Credit Card,Referral,37.45,15,12,17726.23,1
19,1018761,Male,Mumbai,Mobile,Silver,UPI,Organic,40.29,17,2,18723.3,1
23,1256208,Female,Delhi,Desktop,Silver,Credit Card,Organic,23.34,12,14,5003.64,1
59,680315,Female,Chennai,Tablet,Basic,Debit Card,Organic,57.31,3,0,19454.66,1
21,1338521,Female,Delhi,Desktop,Gold,Credit Card,Organic,52.58,10,9,20819.16,1
46,497320,Male,Mumbai,Mobile,Silver,Debit Card,Social Media,42.77,15,2,9095.53,1
35,1479445,Male,Pune,Desktop,Basic,Debit Card,Referral,43.11,10,8,5412.74,1
43,921426,Female,Hyderabad,Mobile,Basic,Credit Card,Google Ads,15.89,18,9,9687.76,0
51,678716,Male,Hyderabad,Desktop,Gold,Net Banking,Referral,39.75,1,10,18516.24,1
27,1223917,Female,Delhi,Desktop,Basic,UPI,Social Media,12.69,3,10,10499.21,1
53,1403975,Female,Bengaluru,Desktop,Basic,Net Banking,Organic,9.5,12,14,18442.63,1
31,642120,Female,Hyderabad,Mobile,Silver,Net Banking,Social Media,59.97,1,5,2927.76,1
48,1363445,Female,Pune,Mobile,Basic,Credit Card,Email,37.72,3,10,20169.69,1
32,358954,Female,Delhi,Mobile,Basic,UPI,Email,26.43,3,5,6404.87,0
25,849078,Female,Mumbai,Desktop,Gold,UPI,Referral,18.0,5,3,6298.33,1
31,1263136,Female,Pune,Mobile,Gold,Net Banking,Referral,36.63,19,14,14800.49,1
40,464260,Female,Delhi,Mobile,Gold,Credit Card,Google Ads,3.93,1,7,1845.94,0
57,312717,Male,Pune,Desktop,Gold,UPI,Google Ads,6.59,4,4,754.81,1
38,1407171,Male,Hyderabad,Mobile,Silver,Net Banking,Email,2.94,4,6,6599.61,0
33,828373,Female,Mumbai,Mobile,Gold,UPI,Organic,30.45,17,8,13497.88,1
35,559862,Male,Delhi,Mobile,Silver,Credit Card,Social Media,36.44,14,12,22699.65,1
41,674592,Male,Chennai,Mobile,Gold,Credit Card,Google Ads,4.69,18,12,21176.24,1
43,1328734,Male,Mumbai,Mobile,Platinum,Credit Card,Google Ads,43.55,1,15,12312.12,1
42,1397078,Female,Chennai,Mobile,Basic,UPI,Organic,14.59,16,13,1022.59,1
58,1661074,Female,Pune,Mobile,,Debit Card,Organic,41.43,3,15,13427.79,1
46,510388,Female,Bengaluru,Mobile,Silver,UPI,Referral,58.93,9,15,17649.41,1
32,498408,Female,Mumbai,Desktop,Basic,Debit Card,Social Media,41.78,4,4,8545.2,1
18,648276,Female,Pune,Mobile,Basic,Credit Card,Organic,53.11,5,10,2865.48,1
42,1194920,Male,Chennai,Mobile,Gold,Net Banking,Google Ads,56.94,11,13,7036.34,1
24,237545,Female,Hyderabad,Tablet,Platinum,Debit Card,Google Ads,29.72,9,4,19312.56,1
26,691411,Male,Hyderabad,Mobile,Silver,Credit Card,Email,42.44,3,13,8845.97,1
41,1005656,Female,Bengaluru,Mobile,Basic,Credit Card,Organic,51.27,6,3,20318.34,1
18,1200020,Female,Mumbai,Desktop,Basic,Debit Card,Referral,22.04,11,5,8056.08,1
25,1064377,Male,Mumbai,Tablet,Gold,Net Banking,Social Media,16.42,9,1,4172.52,1
41,193224,Male,Mumbai,Desktop,Silver,Credit Card,Referral,56.85,15,2,10952.62,1
28,220738,Male,Pune,Desktop,Basic,Debit Card,Google Ads,43.85,3,0,11361.64,0
34,1122654,Male,Bengaluru,Desktop,Silver,Net Banking,Referral,13.96,1,1,501.09,1
25,1409336,Male,Mumbai,Mobile,Basic,Net Banking,Google Ads,27.5,20,1,3014.42,1
52,1197433,Female,Pune,Desktop,Silver,Credit Card,Google Ads,47.99,19,7,4704.66,1
52,646725,Female,Hyderabad,,,UPI,Google Ads,33.28,14,7,2928.32,1
50,843937,Female,Chennai,Tablet,Silver,UPI,Google Ads,39.35,17,1,8604.0,1
22,1760934,Female,Pune,Mobile,Gold,Credit Card,Google Ads,45.47,14,12,24119.11,1
59,1354737,Female,Hyderabad,Mobile,Silver,Net Banking,Email,37.7,17,13,12779.64,1
56,1761530,Female,Hyderabad,Mobile,Gold,Credit Card,Referral,32.86,14,5,15726.14,1
58,1024193,Male,Chennai,Desktop,Gold,Debit Card,Email,45.23,12,14,8974.02,1
45,478512,Female,Hyderabad,Mobile,Basic,UPI,Email,43.93,16,4,8154.85,1
24,842143,,Bengaluru,Desktop,Silver,Debit Card,Organic,38.16,1,2,676.35,1
26,746202,Other,Chennai,Desktop,Basic,Credit Card,Organic,22.23,13,4,12558.31,1
25,1430155,Female,Hyderabad,Mobile,Gold,Credit Card,Organic,24.94,6,4,12141.86,1
29,832026,Female,Delhi,Desktop,Silver,Net Banking,Social Media,58.26,17,4,4029.99,1
51,1176530,Male,Pune,Desktop,Platinum,Net Banking,Organic,7.63,12,2,19131.67,1
50,951253,Female,Hyderabad,Desktop,Basic,Net Banking,Referral,16.84,19,14,12367.59,1
40,684471,Female,Bengaluru,Mobile,Gold,Debit Card,Email,30.05,6,2,8540.95,1
41,1558246,Male,Mumbai,Mobile,Gold,Net Banking,Referral,50.37,7,3,3758.03,1
54,986388,Male,Hyderabad,Mobile,Gold,Credit Card,Organic,10.66,1,6,13848.8,1
52,1447543,Female,Mumbai,Mobile,Basic,Net Banking,Social Media,17.34,1,11,18845.14,1
57,563152,Male,Delhi,Tablet,Silver,UPI,Social Media,4.88,5,11,7121.78,1
39,1134652,Female,Hyderabad,Mobile,Gold,Net Banking,Email,42.65,6,11,5547.98,1
44,274270,Male,Chennai,Desktop,Basic,Debit Card,Referral,15.05,16,13,13096.18,1
52,1225482,Male,Mumbai,Mobile,Basic,UPI,Google Ads,23.93,16,1,3968.05,1
18,1771961,Female,Delhi,Mobile,Silver,UPI,Referral,27.18,14,9,16698.67,1
52,1375889,Male,Chennai,Desktop,Silver,UPI,Organic,53.59,1,3,15173.06,1
54,338768,Female,Chennai,Desktop,Basic,Debit Card,Google Ads,25.27,13,3,2268.34,1
31,1475302,Male,Chennai,Mobile,Basic,Credit Card,Social Media,9.57,20,0,1009.36,1
20,750451,Male,Chennai,Mobile,Basic,Net Banking,Email,31.93,10,15,15545.19,1
18,199816,Female,Hyderabad,Mobile,Gold,UPI,Email,57.81,10,9,7427.91,1
22,1147344,Female,Pune,Mobile,Gold,UPI,Social Media,36.85,9,15,2252.5,1
43,937907,Female,Hyderabad,Mobile,Gold,UPI,Organic,59.02,13,7,19009.77,1
31,494997,Female,Hyderabad,Mobile,Platinum,Credit Card,Social Media,50.63,3,0,7919.7,1
56,1384565,Female,Delhi,Mobile,Silver,Credit Card,Organic,3.12,18,7,11544.03,1
44,1435100,Male,Delhi,Desktop,Basic,Debit Card,Google Ads,39.85,20,6,5996.64,1
26,1218896,Male,Pune,Mobile,Basic,Credit Card,Social Media,17.92,2,8,15720.2,0
32,1380454,Female,Delhi,Mobile,Basic,Net Banking,Organic,34.02,17,7,7607.06,1
32,910880,Female,Bengaluru,Mobile,Platinum,Debit Card,Google Ads,17.48,19,15,24203.72,1
43,1754623,Female,Pune,Desktop,Silver,Debit Card,Social Media,21.58,13,4,17603.39,1
59,961452,Male,Delhi,Desktop,Basic,Net Banking,Email,55.47,13,7,3504.38,1
30,1663741,Male,Pune,Mobile,Silver,Net Banking,Social Media,13.19,1,13,10475.7,1
49,313554,Female,Hyderabad,Desktop,Silver,Net Banking,Referral,52.57,2,14,9696.99,1
56,631282,Female,Hyderabad,Mobile,Gold,Debit Card,Social Media,2.8,1,10,13402.75,1
49,1322077,Female,Pune,Mobile,Basic,Debit Card,Referral,6.36,5,9,21064.07,1
21,444223,Female,Bengaluru,Mobile,Platinum,Debit Card,Google Ads,51.43,3,11,14627.21,1
47,1288252,Female,Bengaluru,Mobile,Silver,Net Banking,Social Media,38.2,7,15,1632.76,1
54,1402108,,Pune,Desktop,Basic,Net Banking,Google Ads,45.09,13,14,16419.85,1
40,777135,Male,Delhi,Desktop,Gold,UPI,Google Ads,13.36,18,11,305.81,1
56,400178,Male,Mumbai,Mobile,Basic,Credit Card,Organic,32.69,7,2,19521.02,1
32,1378097,Male,Bengaluru,Desktop,Platinum,UPI,Google Ads,44.5,1,14,16699.24,1
60,606752,Female,Chennai,Mobile,Platinum,Net Banking,Google Ads,38.01,5,9,7788.76,1
46,768365,Male,Hyderabad,Mobile,Gold,Debit Card,Social Media,28.83,17,6,7381.8,1
53,1004690,Female,Pune,Mobile,Gold,Net Banking,Social Media,57.63,8,11,19977.0,1
30,883662,Male,Chennai,Mobile,Basic,Credit Card,Email,40.89,15,3,19605.08,1
49,1485585,Male,Pune,Mobile,Platinum,UPI,Organic,54.56,20,4,8872.33,1
24,1366293,Male,Hyderabad,Mobile,Silver,UPI,Google Ads,44.06,4,15,7543.8,1
39,1610491,Male,Hyderabad,Mobile,Gold,Debit Card,Organic,44.39,2,8,14039.64,1
45,742288,Female,,Mobile,Platinum,UPI,Referral,5.72,5,6,308.3,1
19,1779601,Male,Bengaluru,Desktop,Platinum,UPI,Google Ads,22.21,1,3,2158.41,1
59,480709,Female,Chennai,Mobile,Gold,Net Banking,Organic,51.64,5,5,3241.62,1
23,1123026,Male,Pune,Tablet,Basic,UPI,Email,14.72,6,9,4716.75,1
45,1414816,Male,Hyderabad,Mobile,Platinum,UPI,Email,7.81,2,13,12849.25,1
45,1503062,Male,Chennai,Desktop,Silver,UPI,Google Ads,20.24,1,10,24806.82,0
37,1531526,Female,Mumbai,Desktop,Platinum,Debit Card,Referral,14.01,4,6,16350.07,1
47,1539490,Female,Chennai,Desktop,Gold,Debit Card,Email,55.59,7,12,1626.34,1
28,1307199,Male,Delhi,Mobile,Basic,Net Banking,Email,52.21,1,9,13186.93,1
45,1593897,Male,Chennai,Desktop,Silver,UPI,Referral,30.48,1,12,12466.47,1
42,1197289,Female,Delhi,Mobile,Silver,Debit Card,Organic,4.62,8,8,3689.78,1
56,1087425,Male,Delhi,Mobile,Gold,Debit Card,Email,43.16,20,3,23014.78,1
50,363675,Male,Delhi,Mobile,Basic,Net Banking,Social Media,37.78,16,15,11075.05,1
18,832465,Female,Mumbai,Mobile,Silver,Credit Card,Email,58.26,13,9,24864.52,1
44,1445030,Female,Chennai,Mobile,Basic,UPI,Organic,33.98,18,2,10559.8,1
30,1178748,Male,Chennai,Tablet,Gold,Debit Card,Organic,20.85,20,7,15238.15,1
58,1338151,Female,Mumbai,Desktop,Silver,Net Banking,Google Ads,31.62,10,14,2708.59,1
20,1213024,Female,Hyderabad,Mobile,Basic,Net Banking,Social Media,58.78,12,0,11410.27,0
56,1436182,Male,Bengaluru,Tablet,Basic,Net Banking,Organic,42.09,1,8,6045.27,0
23,685815,Female,Chennai,Mobile,Basic,Debit Card,Referral,40.65,10,12,20905.56,1
25,1521398,Female,Bengaluru,Tablet,Silver,UPI,Social Media,15.2,9,0,19619.6,1
44,256218,Male,Pune,Mobile,Basic,Credit Card,Social Media,44.87,3,1,20622.08,1
26,767518,Male,Pune,Mobile,Basic,UPI,Referral,45.27,19,12,18117.88,1
54,950044,Male,Mumbai,Desktop,Platinum,Net Banking,Email,19.72,9,7,20833.81,1
50,1564775,Female,Pune,Desktop,Gold,Net Banking,Referral,29.54,10,8,5100.64,1
59,629589,Male,Pune,Desktop,Silver,Credit Card,Referral,18.38,19,6,11355.89,1
41,658446,Female,Hyderabad,Tablet,Platinum,UPI,Email,16.26,16,15,17326.99,1
32,642052,Female,Hyderabad,Desktop,Basic,Net Banking,Email,2.53,18,2,15971.07,1
49,1562978,Male,Hyderabad,Desktop,Silver,Net Banking,Email,17.83,14,6,17937.23,1
49,1268562,Female,Pune,Desktop,Silver,UPI,Email,33.68,3,5,5684.03,1
41,527739,Male,Mumbai,Desktop,Silver,Net Banking,Email,1.09,2,1,2551.02,0
58,652327,Female,Delhi,Mobile,Silver,UPI,Referral,17.71,1,2,22928.48,1
29,1555649,Female,Delhi,Desktop,Silver,Net Banking,Google Ads,53.0,18,10,14048.28,1
56,777794,Male,Bengaluru,Mobile,Silver,UPI,Google Ads,36.03,9,12,3930.27,1
19,214911,Male,Delhi,Desktop,Gold,Credit Card,Organic,36.86,13,11,19856.57,1
20,605037,Male,Delhi,,Basic,Net Banking,Google Ads,24.8,2,12,22881.76,1
54,910399,Male,Hyderabad,Desktop,Basic,Credit Card,Google Ads,40.91,7,9,4322.13,1
34,1158039,Male,Hyderabad,Desktop,Basic,Net Banking,Referral,12.21,16,9,20453.57,1
19,1079885,Male,Pune,Desktop,Basic,Net Banking,Email,49.31,19,12,23337.3,1
19,788746,Other,Bengaluru,Mobile,Silver,Debit Card,Email,7.88,15,11,23465.2,1
45,1240751,Male,Chennai,Desktop,Basic,UPI,Referral,39.7,11,14,22862.5,1
40,1085667,Male,Bengaluru,Mobile,Gold,Credit Card,Google Ads,21.13,1,4,13705.88,1
54,496915,Female,Bengaluru,Mobile,Basic,Credit Card,Referral,45.1,7,9,8969.66,1
49,679876,Male,Mumbai,Mobile,Basic,Credit Card,Organic,33.44,20,3,281.09,1
50,791213,Other,Pune,Mobile,Gold,UPI,Email,27.69,8,1,1616.71,1
18,948734,Female,Mumbai,Mobile,Basic,Debit Card,Social Media,11.0,10,3,10778.09,0
36,1294934,Female,Bengaluru,Desktop,Silver,Credit Card,Organic,38.57,5,11,10043.22,1
19,1639119,Male,Bengaluru,Mobile,Gold,UPI,Organic,58.51,9,7,4699.38,1
43,227057,Male,Bengaluru,Mobile,Basic,Net Banking,Referral,49.71,1,4,9947.45,1
49,1496870,Male,Delhi,Mobile,Basic,Credit Card,Google Ads,4.54,2,4,4448.79,1
23,434726,Female,Mumbai,Mobile,Silver,Credit Card,Email,23.2,19,12,21234.9,1
49,458176,Male,Bengaluru,Desktop,Basic,Debit Card,Social Media,55.61,14,11,7525.05,1
21,1755062,Male,Hyderabad,Mobile,Basic,Credit Card,Organic,30.68,20,11,15004.25,1
28,888754,Other,Pune,Mobile,Basic,Credit Card,Social Media,40.06,10,9,12620.79,1
34,1117583,Male,Pune,Mobile,Basic,Net Banking,Google Ads,54.84,9,2,1391.86,1
55,1395868,Male,Hyderabad,Mobile,Silver,UPI,Google Ads,52.55,10,12,23561.62,1
41,324931,Male,Pune,Mobile,Gold,UPI,Social Media,30.61,6,7,13227.93,1
22,1672252,Other,Delhi,Mobile,Silver,Debit Card,Email,26.82,17,5,8193.94,1
51,342491,Male,Delhi,Desktop,Basic,Net Banking,Google Ads,21.04,6,1,4037.35,1
23,1609585,Female,Chennai,Desktop,Basic,UPI,Social Media,43.42,4,1,8529.31,1
39,581921,Female,Chennai,Mobile,Gold,Net Banking,Organic,17.93,20,8,610.74,1
28,440910,Male,Chennai,Tablet,Silver,UPI,Social Media,15.74,3,12,9152.6,1
33,1251812,Female,Pune,Mobile,Gold,Net Banking,Social Media,22.02,19,6,13334.0,1
50,267955,Male,Delhi,Mobile,Silver,Debit Card,Referral,11.46,18,9,21809.47,1
26,807433,Male,Delhi,Tablet,Silver,Credit Card,Google Ads,42.01,4,8,17215.62,1
23,1459361,Female,,Mobile,Silver,Debit Card,Email,37.36,8,13,2878.4,1
33,1323490,,Hyderabad,Tablet,Basic,UPI,Email,29.49,17,15,3778.88,1
46,387990,Female,Delhi,Mobile,Silver,Debit Card,Referral,24.03,5,5,10760.27,0
20,558387,Female,Hyderabad,Mobile,Silver,Credit Card,Email,54.63,13,14,4973.12,1
37,718884,Male,Chennai,Mobile,Basic,Debit Card,Social Media,2.72,1,4,793.46,1
53,1176261,Male,Chennai,Desktop,Basic,UPI,Referral,46.38,13,11,20144.87,1
36,1422845,Male,Pune,Desktop,Gold,UPI,Organic,54.21,4,0,586.11,1
43,572417,Male,Chennai,Desktop,Platinum,Debit Card,Google Ads,27.33,14,11,20784.17,1
20,1160020,Male,Pune,Mobile,Silver,Credit Card,Google Ads,33.49,3,5,3688.19,1
36,318155,Male,Bengaluru,Mobile,Basic,Debit Card,Google Ads,56.72,5,5,24369.49,1
37,1349250,Male,Bengaluru,Mobile,Basic,Credit Card,Social Media,13.52,7,2,15136.46,1
49,1086739,Male,Mumbai,Mobile,Gold,Net Banking,Organic,31.69,1,2,18401.08,1
24,1485289,Female,Pune,Tablet,Basic,Credit Card,Referral,29.01,12,15,2851.04,1
58,1670077,Female,Mumbai,Mobile,Platinum,Net Banking,Referral,16.25,11,14,21566.39,1
50,723351,Male,Mumbai,Desktop,Basic,Debit Card,Google Ads,49.3,8,2,20995.89,1
57,247642,Female,Bengaluru,Desktop,Silver,Credit Card,Organic,54.08,6,2,16359.52,1
56,270093,Female,Pune,Mobile,Silver,Net Banking,Organic,47.13,2,6,12606.64,1
35,1736182,Male,Bengaluru,Desktop,Gold,Net Banking,Organic,12.53,19,9,18065.08,1
57,397215,Female,Mumbai,Mobile,Silver,Net Banking,Email,6.12,20,10,247.61,1
18,215954,Female,Pune,Mobile,Silver,UPI,Email,36.72,20,1,14851.77,1
28,1256432,Female,Mumbai,Mobile,Platinum,Debit Card,Google Ads,4.37,14,9,21200.41,1
45,706861,Male,Delhi,Mobile,Basic,Net Banking,Organic,40.7,1,12,8986.81,1
42,739655,Female,Pune,Mobile,Gold,Credit Card,Organic,32.3,10,9,2796.4,1
40,675553,Male,Pune,Mobile,Basic,Net Banking,Referral,40.1,16,1,10579.84,1
48,942092,Female,Mumbai,Mobile,Gold,UPI,Referral,35.82,4,2,18204.9,1
47,1066040,Female,Delhi,Mobile,Silver,Debit Card,Google Ads,25.94,11,9,2771.8,1
59,502918,Female,Hyderabad,Desktop,Basic,UPI,Organic,12.85,16,11,5230.61,1
52,1252328,Female,Bengaluru,Desktop,Gold,UPI,Google Ads,19.04,20,6,3774.04,1
24,1021461,Female,Mumbai,Mobile,Basic,UPI,Referral,31.95,1,2,19944.0,0
33,328757,Male,Pune,Mobile,Basic,Credit Card,Referral,39.46,16,6,1666.03,1
43,1542413,Male,Bengaluru,Desktop,Silver,Debit Card,Email,46.99,19,8,17196.0,1
19,296739,Female,Bengaluru,Mobile,Silver,Debit Card,Google Ads,46.26,9,10,9224.78,1
18,1466585,Male,Bengaluru,Desktop,Silver,Credit Card,Google Ads,58.39,9,9,18919.2,1
29,960316,Male,Hyderabad,Mobile,Basic,Debit Card,Organic,17.86,9,11,24113.15,1
22,1436556,Male,Chennai,Mobile,Basic,UPI,Organic,5.2,17,14,2952.18,1
54,1485185,Male,Mumbai,Mobile,Basic,Debit Card,Email,21.39,12,10,7928.19,1
49,1617398,Female,Chennai,Mobile,Basic,Credit Card,Social Media,44.85,13,3,20272.12,1
26,516676,Female,Chennai,Desktop,Silver,UPI,Social Media,26.85,8,6,6727.34,1
58,1572714,Female,Chennai,Mobile,Gold,Credit Card,Social Media,49.25,16,8,5456.5,1
52,1546853,Female,Bengaluru,Desktop,Platinum,Net Banking,Google Ads,33.41,18,13,20651.91,1
36,1194929,Male,Delhi,Desktop,Gold,UPI,Google Ads,55.86,1,7,24678.35,1
33,1746847,Male,Bengaluru,Mobile,Basic,UPI,Referral,56.92,1,7,13966.33,1
20,503412,Female,,Desktop,Silver,Debit Card,Google Ads,5.09,12,8,7023.41,1
37,665417,Male,Pune,Mobile,Basic,UPI,Google Ads,27.93,6,13,10024.29,0
41,1660035,Female,Pune,Mobile,,Credit Card,Google Ads,36.97,9,4,4336.25,0
50,368456,Female,Chennai,Desktop,Silver,Debit Card,Email,16.1,5,13,19070.99,1
41,735941,Male,Bengaluru,Mobile,Basic,Net Banking,Google Ads,25.02,16,4,19359.5,1
28,1386305,Female,Chennai,Mobile,Basic,Credit Card,Organic,40.98,18,2,21890.51,1
25,408504,Female,Pune,Mobile,Platinum,Net Banking,Organic,14.38,17,4,762.4,1
53,832665,Female,Delhi,Mobile,Silver,Net Banking,Referral,36.52,18,15,14093.34,1
55,1754486,Male,Mumbai,Desktop,Silver,Net Banking,Email,42.15,1,7,5434.96,0
57,753044,Male,Chennai,Desktop,Basic,UPI,Organic,6.34,19,11,8587.99,1
37,1269385,Female,Delhi,Desktop,Basic,Credit Card,Email,30.35,8,4,19645.39,1
52,1769589,Male,Mumbai,Desktop,Gold,Credit Card,Email,16.52,3,3,4881.64,1
42,896756,Male,Hyderabad,Mobile,Basic,UPI,Referral,43.74,5,7,15994.71,1
52,231226,Female,Chennai,Mobile,Silver,Debit Card,Email,12.18,8,6,16398.7,1
42,679512,Male,Chennai,Mobile,Basic,Net Banking,Google Ads,53.64,19,14,23856.94,1
46,1704357,Female,Hyderabad,Mobile,Silver,Credit Card,Email,26.43,18,13,19401.51,1
35,1257978,Female,Hyderabad,Mobile,Basic,UPI,Referral,12.68,18,13,20110.52,1
35,1232839,Female,Chennai,Tablet,Gold,Net Banking,Referral,26.84,1,5,13336.86,0
19,1220993,Male,Hyderabad,Mobile,Gold,Debit Card,Referral,25.12,15,4,4750.84,1
52,1406476,Female,Bengaluru,Mobile,Gold,Debit Card,Organic,26.31,18,13,10696.53,1
33,752212,Male,Mumbai,Mobile,Basic,Net Banking,Google Ads,35.55,7,4,13782.29,1
58,516326,Male,Mumbai,Desktop,Gold,Debit Card,Organic,31.75,16,12,16992.64,1
53,404137,Female,Mumbai,Desktop,Silver,Credit Card,Social Media,9.84,16,9,15231.96,1
50,1680844,Male,Bengaluru,Mobile,Silver,Credit Card,Google Ads,4.87,15,1,9910.05,1
21,1109168,Male,Hyderabad,Mobile,Silver,Credit Card,Email,44.04,6,12,6706.3,1
50,1526457,Female,Delhi,Desktop,Basic,Debit Card,Referral,34.02,9,14,4288.95,1
31,543476,Male,Hyderabad,Mobile,Basic,Credit Card,Social Media,22.18,7,3,17376.75,1
38,1580283,Male,Chennai,Mobile,Gold,UPI,Google Ads,48.69,14,7,16170.43,1
37,1739161,Female,Pune,Desktop,Basic,Credit Card,Organic,23.9,11,7,17215.57,1
25,871757,Female,Mumbai,Desktop,Silver,Credit Card,Referral,47.96,16,10,9375.93,1
24,570719,Female,Hyderabad,Mobile,Silver,Debit Card,Organic,19.04,6,0,6633.95,0
20,1707937,Male,Delhi,Desktop,Gold,Credit Card,Google Ads,5.3,16,1,19017.06,1
34,1329947,Male,Chennai,Desktop,Platinum,Net Banking,Google Ads,56.03,20,4,19363.82,1
50,742997,Male,Bengaluru,Mobile,Gold,UPI,Social Media,24.28,16,8,11444.85,1
